%310
@RELATION AT0000809058
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,1438.45,?,?,?,?,?
3,48222.72,1422.15,?,?,?,?,?
4,47888.16,1424.57,?,?,?,?,?
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,47589.33,1408.87,?,?,?,?,?
8,47379.63,1416.22,?,?,?,?,?
9,47407.28,1418.24,?,?,?,?,?
10,47546.91,1427.00,?,?,?,?,?
11,47440.80,1431.50,?,?,?,?,?
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,47470.12,1429.59,?,?,?,?,?
15,47086.54,1424.03,?,?,?,?,?
16,47521.39,1459.06,?,?,?,?,?
17,47661.37,1480.62,?,?,?,?,?
18,47813.69,1463.04,?,?,?,?,?
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,47936.61,1473.28,?,?,?,?,?
22,47872.80,1474.10,?,?,?,?,?
23,47733.24,1466.26,?,?,?,?,?
24,47942.04,1462.14,?,?,?,?,?
25,47613.95,1453.75,?,?,?,?,?
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,47324.06,1428.40,?,?,?,?,?
29,47328.40,1414.71,?,?,?,?,?
30,46917.19,1409.63,?,?,?,?,?
31,46840.15,1412.77,?,?,?,?,?
32,46945.58,1424.75,?,?,?,?,?
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,46556.55,1376.74,?,?,?,?,?
36,46674.78,1376.05,?,?,?,?,?
37,46149.14,1368.56,?,?,?,?,?
38,46329.66,1379.50,?,?,?,?,?
39,46741.54,1389.85,?,?,?,?,?
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,46786.74,1393.28,?,?,?,?,?
43,46399.26,1383.89,?,?,?,?,?
44,46406.74,1354.82,?,?,?,?,?
45,46211.54,1313.43,?,?,?,?,?
46,46370.13,1349.87,?,?,?,?,?
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,46508.27,1365.73,?,?,?,?,?
50,46490.89,1352.40,?,?,?,?,?
51,46051.76,1342.16,?,?,?,?,?
52,45879.90,1322.82,?,?,?,?,?
53,45948.12,1345.82,?,?,?,?,?
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,46286.28,1357.55,?,?,?,?,?
57,45868.35,1359.10,?,?,?,?,?
58,46241.92,1359.06,?,?,?,?,?
59,46280.36,1354.30,?,?,?,?,?
60,46341.14,1347.19,?,?,?,?,?
61,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?
63,46137.70,1363.77,?,?,?,?,?
64,46676.09,1397.73,?,?,?,?,?
65,46762.65,1387.52,?,?,?,?,?
66,46745.26,1372.44,?,?,?,?,?
67,47074.39,1370.33,?,?,?,?,?
68,?,?,?,?,?,?,?
69,?,?,?,?,?,?,?
70,46933.03,1396.97,?,?,?,?,?
71,47010.40,1423.31,?,?,?,?,?
72,46888.37,1423.72,?,?,?,?,?
73,47223.68,1436.51,?,?,?,?,?
74,47125.93,1431.31,?,?,?,?,?
75,?,?,?,?,?,?,?
76,?,?,?,?,?,?,?
77,46668.41,1419.01,?,?,?,?,?
78,46029.35,1400.23,?,?,?,?,?
79,46068.24,1396.66,?,?,?,?,?
80,45580.47,1372.60,?,?,?,?,?
81,45066.18,1354.95,?,?,?,?,?
82,?,?,?,?,?,?,?
83,?,?,?,?,?,?,?
84,44585.10,1336.25,?,?,?,?,?
85,44724.88,1334.81,?,?,?,?,?
86,45247.90,1332.17,?,?,?,?,?
87,45147.57,1335.61,?,?,?,?,?
88,?,?,?,?,?,?,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?
92,45304.74,1342.68,?,?,?,?,?
93,44604.61,1315.67,?,?,?,?,?
94,44623.89,1312.91,?,?,?,?,?
95,44597.66,1319.91,?,?,?,?,?
96,?,?,?,?,?,?,?
97,?,?,?,?,?,?,?
98,44590.97,1329.86,?,?,?,?,?
99,44725.03,1322.63,?,?,?,?,?
100,45091.63,1341.74,?,?,?,?,?
101,45688.48,1350.66,?,?,?,?,?
102,45525.92,1356.50,?,?,?,?,?
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,44724.14,1314.18,?,?,?,?,?
106,?,?,?,?,?,?,?
107,43916.24,1291.19,?,?,?,?,?
108,43364.70,1280.02,?,?,?,?,?
109,43447.75,1280.06,?,?,?,?,?
110,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?
112,43360.30,1292.08,?,?,?,?,?
113,43159.57,1277.53,?,?,?,?,?
114,43356.73,1283.16,?,?,?,?,?
115,43482.18,1295.48,?,?,?,?,?
116,43665.21,1299.40,?,?,?,?,?
117,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?
119,43882.16,1311.59,?,?,?,?,?
120,44162.18,1303.66,?,?,?,?,?
121,?,?,?,?,?,?,?
122,43991.51,1274.69,?,?,?,?,?
123,?,?,?,?,?,?,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,44541.73,1283.84,?,?,?,?,?
127,44742.22,1301.78,36280313.41,10613.41,4851.30,?,13.41
128,45117.94,1318.36,32898213.64,2313.64,4456.65,13.41,13.64
129,44943.16,1323.45,3802513.65,1213.65,518.44,13.64,13.65
130,44895.35,1326.21,43989713.73,4813.73,5993.96,13.65,13.73
131,?,?,?,?,?,13.73,?
132,?,?,?,?,?,?,?
133,45207.84,1330.79,3180813.66,1413.66,433.84,?,13.66
134,45771.11,1313.36,31333313.70,1913.70,4290.61,13.66,13.70
135,46102.42,1324.54,13051113.75,1713.75,1820.98,13.70,13.75
136,45992.03,1332.96,23955813.84,1013.84,3296.28,13.75,13.84
137,46078.68,1345.72,11731713.75,613.75,1615.70,13.84,13.75
138,?,?,?,?,?,13.75,?
139,?,?,?,?,?,?,?
140,46041.35,1341.55,87013.70,613.70,11.91,?,13.70
141,45851.80,1351.99,5379013.68,713.68,744.14,13.70,13.68
142,45933.66,1344.81,497014.10,814.10,69.33,13.68,14.10
143,45687.76,1350.88,1301613.85,1013.85,180.39,14.10,13.85
144,46145.44,1393.25,22709013.85,613.85,3144.85,13.85,13.85
145,?,?,?,?,?,13.85,?
146,?,?,?,?,?,?,?
147,47277.10,1431.34,430913.85,913.85,59.37,?,13.85
148,47579.87,1444.94,25628313.95,1313.95,3575.05,13.85,13.95
149,47476.64,1464.18,43788313.81,1813.81,6081.34,13.95,13.81
150,?,?,?,?,?,13.81,?
151,47806.34,1471.74,1675013.81,213.81,231.32,?,13.81
152,?,?,?,?,?,13.81,?
153,?,?,?,?,?,?,?
154,47175.79,1461.53,40642013.52,1113.52,5505.35,?,13.52
155,47620.68,1476.35,73056213.45,813.45,9821.99,13.52,13.45
156,47805.94,1489.88,49107413.60,1213.60,6614.11,13.45,13.60
157,47573.66,1469.75,34505013.64,1113.64,4709.05,13.60,13.64
158,48209.65,1514.93,21975013.52,613.52,2971.31,13.64,13.52
159,?,?,?,?,?,13.52,?
160,?,?,?,?,?,?,?
161,48495.01,1524.65,39816513.55,1213.55,5387.92,?,13.55
162,48324.52,1551.97,32418013.34,2013.34,4303.55,13.55,13.34
163,48383.93,1598.45,10452513.10,1313.10,1368.85,13.34,13.10
164,48152.82,1595.96,10935512.93,712.93,1412.21,13.10,12.93
165,48273.42,1585.79,882013.18,413.18,115.65,12.93,13.18
166,?,?,?,?,?,13.18,?
167,?,?,?,?,?,?,?
168,48131.61,1583.00,2735013.03,813.03,359.44,?,13.03
169,48119.72,1588.25,11450013.09,713.09,1499.71,13.03,13.09
170,47743.10,1571.15,30739013.04,1113.04,4011.50,13.09,13.04
171,45870.00,1544.23,013.04,013.04,0.00,13.04,13.04
172,44732.92,1507.70,52853213.25,713.25,6935.98,13.04,13.25
173,?,?,?,?,?,13.25,?
174,?,?,?,?,?,?,?
175,44824.62,1501.45,10323012.58,1412.58,1300.79,?,12.58
176,44966.09,1503.06,50012.57,712.57,6.25,12.58,12.57
177,44893.99,1492.93,2402212.72,212.72,305.56,12.57,12.72
178,43667.37,1472.46,21174712.55,1412.55,2677.76,12.72,12.55
179,44747.79,1476.14,23775912.48,1212.48,3000.37,12.55,12.48
180,?,?,?,?,?,12.48,?
181,?,?,?,?,?,?,?
182,44769.00,1492.65,23535313.10,1413.10,3023.34,?,13.10
183,45533.94,1495.04,44507013.02,1413.02,5783.83,13.10,13.02
184,45184.98,1487.37,18638612.74,2612.74,2387.07,13.02,12.74
185,45613.75,1499.27,21896112.85,1012.85,2806.11,12.74,12.85
186,45110.89,1482.20,5752012.98,512.98,743.20,12.85,12.98
187,?,?,?,?,?,12.98,?
188,?,?,?,?,?,?,?
189,44534.34,1474.90,10029913.42,513.42,1321.85,?,13.42
190,44342.23,1456.02,2712013.38,413.38,361.60,13.42,13.38
191,45068.55,1468.88,3444713.07,213.07,449.12,13.38,13.07
192,45712.72,1484.29,6000013.31,813.31,798.60,13.07,13.31
193,46150.78,1481.99,54413.31,113.31,7.24,13.31,13.31
194,?,?,?,?,?,13.31,?
195,?,?,?,?,?,?,?
196,46218.05,1489.11,20285113.23,813.23,2687.82,?,13.23
197,46155.10,1489.88,30460013.16,513.16,4017.80,13.23,13.16
198,46287.08,1499.74,10015013.24,413.24,1326.22,13.16,13.24
199,46221.23,1491.54,3013.12,113.12,0.39,13.24,13.12
200,46399.74,1495.90,1850813.20,713.20,244.31,13.12,13.20
201,?,?,?,?,?,13.20,?
202,?,?,?,?,?,?,?
203,46361.70,1484.19,24346913.06,1313.06,3198.40,?,13.06
204,46714.43,1494.62,38252012.97,1112.97,4992.72,13.06,12.97
205,46835.98,1489.09,39071112.90,2512.90,5112.63,12.97,12.90
206,46713.02,1474.03,28299512.86,912.86,3645.66,12.90,12.86
207,46258.91,1469.58,8670212.90,312.90,1111.96,12.86,12.90
208,?,?,?,?,?,12.90,?
209,?,?,?,?,?,?,?
210,46480.62,1481.47,2000013.02,213.02,260.50,?,13.02
211,46663.41,1464.82,91013.00,213.00,11.90,13.02,13.00
212,46925.65,1472.71,1839413.10,713.10,239.59,13.00,13.10
213,47370.81,1481.84,46013.14,113.14,6.04,13.10,13.14
214,48325.33,1499.33,7013.31,113.31,0.93,13.14,13.31
215,?,?,?,?,?,13.31,?
216,?,?,?,?,?,?,?
217,48458.44,1492.08,345713.20,213.20,45.43,?,13.20
218,47942.81,1487.96,315013.27,413.27,42.07,13.20,13.27
219,48306.55,1495.92,728113.16,313.16,95.77,13.27,13.16
220,48862.88,1508.03,285413.11,913.11,37.53,13.16,13.11
221,49125.36,1513.10,883913.22,513.22,115.99,13.11,13.22
222,?,?,?,?,?,13.22,?
223,?,?,?,?,?,?,?
224,49580.16,1510.53,877213.15,813.15,114.48,?,13.15
225,49747.66,1507.50,2884813.19,1113.19,377.33,13.15,13.19
226,50223.95,1512.82,226113.18,313.18,29.86,13.19,13.18
227,?,?,?,?,?,13.18,?
228,49976.48,1502.62,7025813.36,713.36,938.79,?,13.36
229,?,?,?,?,?,13.36,?
230,?,?,?,?,?,?,?
231,49772.46,1499.73,390613.20,413.20,51.80,?,13.20
232,49162.16,1472.26,131513.10,613.10,17.18,13.20,13.10
233,49128.05,1477.77,63513.05,213.05,8.30,13.10,13.05
234,49846.48,1471.70,128413.00,1013.00,16.75,13.05,13.00
235,49895.10,1463.61,9191912.88,1712.88,1185.54,13.00,12.88
