%310
@RELATION HU0000068952
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,3693.16,832.17,34056251.50,8251.50,8543.00,?,251.50
3,48222.72,3710.02,839.05,13846255.00,15255.00,3479.99,251.50,255.00
4,47888.16,3657.91,845.71,15200255.00,5255.00,3876.00,255.00,255.00
5,?,?,?,?,?,?,255.00,?
6,?,?,?,?,?,?,?,?
7,47589.33,3577.63,849.25,20125260.00,8260.00,5206.23,?,260.00
8,47379.63,3549.00,854.96,30386260.00,21260.00,7896.72,260.00,260.00
9,47407.28,3553.37,851.76,6240258.80,4258.80,1614.78,260.00,258.80
10,47546.91,3577.53,851.10,20018258.20,5258.20,5169.62,258.80,258.20
11,47440.80,3544.79,850.72,20060248.20,9248.20,5156.59,258.20,248.20
12,?,?,?,?,?,?,248.20,?
13,?,?,?,?,?,?,?,?
14,47470.12,3566.85,856.11,10086259.00,12259.00,2613.83,?,259.00
15,47086.54,3547.24,855.54,4659258.00,3258.00,1205.71,259.00,258.00
16,47521.39,3670.64,849.49,1043257.00,4257.00,267.76,258.00,257.00
17,47661.37,3644.48,854.27,132258.00,4258.00,34.05,257.00,258.00
18,47813.69,3698.62,845.61,119259.00,3259.00,31.23,258.00,259.00
19,?,?,?,?,?,?,259.00,?
20,?,?,?,?,?,?,?,?
21,47936.61,3721.02,857.64,1073267.90,4267.90,288.29,?,267.90
22,47872.80,3722.27,858.70,2055267.00,5267.00,549.23,267.90,267.00
23,47733.24,3760.57,853.17,900263.80,1263.80,237.42,267.00,263.80
24,47942.04,3778.89,865.46,20260.00,1260.00,5.20,263.80,260.00
25,47613.95,3769.37,867.33,6401260.50,6260.50,1674.29,260.00,260.50
26,?,?,?,?,?,?,260.50,?
27,?,?,?,?,?,?,?,?
28,47324.06,3682.15,862.14,11259.00,1259.00,2.85,?,259.00
29,47328.40,3685.98,861.04,64259.10,3259.10,16.58,259.00,259.10
30,46917.19,3645.60,868.36,10004263.20,3263.20,2636.04,259.10,263.20
31,46840.15,3607.52,873.28,31265.00,4265.00,8.19,263.20,265.00
32,46945.58,3644.46,873.87,9265.00,2265.00,2.39,265.00,265.00
33,?,?,?,?,?,?,265.00,?
34,?,?,?,?,?,?,?,?
35,46556.55,3612.41,865.72,4000262.80,1262.80,1051.20,?,262.80
36,46674.78,3630.18,868.83,5020262.50,2262.50,1320.25,262.80,262.50
37,46149.14,3536.94,868.89,5393262.50,5262.50,1416.80,262.50,262.50
38,46329.66,3535.96,869.69,17260.00,2260.00,4.41,262.50,260.00
39,46741.54,3562.82,870.75,306899253.00,12253.00,76780.46,260.00,253.00
40,?,?,?,?,?,?,253.00,?
41,?,?,?,?,?,?,?,?
42,46786.74,3594.60,870.67,14254.00,2254.00,3.56,?,254.00
43,46399.26,3633.37,874.02,11010255.80,4255.80,2815.24,254.00,255.80
44,46406.74,3701.80,874.66,14254.70,2254.70,3.57,255.80,254.70
45,46211.54,3689.43,870.38,12012245.00,7245.00,2999.05,254.70,245.00
46,46370.13,3737.74,873.83,5034255.00,4255.00,1283.50,245.00,255.00
47,?,?,?,?,?,?,255.00,?
48,?,?,?,?,?,?,?,?
49,46508.27,3727.26,869.62,10255.00,1255.00,2.55,?,255.00
50,46490.89,3822.74,861.33,32255.00,5255.00,7.66,255.00,255.00
51,46051.76,3822.87,862.42,25218259.80,10259.80,6480.71,255.00,259.80
52,45879.90,3827.84,859.18,124250.00,2250.00,31.21,259.80,250.00
53,45948.12,3855.76,860.24,5250.00,2250.00,1.31,250.00,250.00
54,?,?,?,?,?,?,250.00,?
55,?,?,?,?,?,?,?,?
