%310
@RELATION IM00B58FMW76
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,3693.16,3337.81,37.81,2.67,?,7.81
3,48222.72,3710.02,07.81,07.81,0.00,7.81,7.81
4,47888.16,3657.91,1917.75,17.75,1.48,7.81,7.75
5,?,?,?,?,?,7.75,?
6,?,?,?,?,?,?,?
7,47589.33,3577.63,07.75,07.75,0.00,?,7.75
8,47379.63,3549.00,07.75,07.75,0.00,7.75,7.75
9,47407.28,3553.37,1507.65,17.65,1.15,7.75,7.65
10,47546.91,3577.53,53317.02,107.02,37.61,7.65,7.02
11,47440.80,3544.79,1917.01,17.01,1.34,7.02,7.01
12,?,?,?,?,?,7.01,?
13,?,?,?,?,?,?,?
14,47470.12,3566.85,14146.45,66.45,9.91,?,6.45
15,47086.54,3547.24,13086.42,86.42,8.56,6.45,6.42
16,47521.39,3670.64,06.42,06.42,0.00,6.42,6.42
17,47661.37,3644.48,17.07,17.07,0.01,6.42,7.07
18,47813.69,3698.62,2617.69,47.69,1.80,7.07,7.69
19,?,?,?,?,?,7.69,?
20,?,?,?,?,?,?,?
21,47936.61,3721.02,07.69,07.69,0.00,?,7.69
22,47872.80,3722.27,07.69,07.69,0.00,7.69,7.69
23,47733.24,3760.57,3027.00,17.00,2.11,7.69,7.00
24,47942.04,3778.89,17.69,17.69,0.01,7.00,7.69
25,47613.95,3769.37,1497.00,37.00,1.01,7.69,7.00
26,?,?,?,?,?,7.00,?
27,?,?,?,?,?,?,?
28,47324.06,3682.15,07.00,07.00,0.00,?,7.00
29,47328.40,3685.98,07.00,07.00,0.00,7.00,7.00
30,46917.19,3645.60,07.00,07.00,0.00,7.00,7.00
31,46840.15,3607.52,07.00,07.00,0.00,7.00,7.00
32,46945.58,3644.46,07.00,07.00,0.00,7.00,7.00
33,?,?,?,?,?,7.00,?
34,?,?,?,?,?,?,?
35,46556.55,3612.41,07.00,07.00,0.00,?,7.00
36,46674.78,3630.18,07.00,07.00,0.00,7.00,7.00
37,46149.14,3536.94,07.00,07.00,0.00,7.00,7.00
38,46329.66,3535.96,07.00,07.00,0.00,7.00,7.00
39,46741.54,3562.82,07.00,07.00,0.00,7.00,7.00
40,?,?,?,?,?,7.00,?
