%310
@RELATION LT0000127466
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,832.17,35000.60,10.60,2.10,?,0.60
3,783.15,48222.72,3696.13,839.05,27090.58,20.58,1.57,0.60,0.58
4,781.69,47888.16,3651.18,845.71,00.58,00.58,0.00,0.58,0.58
5,?,?,?,?,?,?,?,0.58,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,849.25,15000.60,20.60,0.90,?,0.60
8,780.70,47379.63,3576.33,854.96,00.60,00.60,0.00,0.60,0.60
9,784.82,47407.28,3508.84,851.76,00.60,00.60,0.00,0.60,0.60
10,788.85,47546.91,3558.48,851.10,00.60,00.60,0.00,0.60,0.60
11,795.36,47440.80,3558.82,850.72,51970.65,80.65,3.30,0.60,0.65
12,?,?,?,?,?,?,?,0.65,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,856.11,29300.65,40.65,1.83,?,0.65
15,794.59,47086.54,3558.20,855.54,10000.67,20.67,0.66,0.65,0.67
16,796.34,47521.39,3558.19,849.49,00.67,00.67,0.00,0.67,0.67
17,803.56,47661.37,3543.16,854.27,10000.61,10.61,0.61,0.67,0.61
18,807.72,47813.69,3562.92,845.61,20000.63,20.63,1.26,0.61,0.63
19,?,?,?,?,?,?,?,0.63,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,857.64,30150.65,40.65,1.96,?,0.65
22,808.23,47872.80,3655.10,858.70,00.65,00.65,0.00,0.65,0.65
23,808.40,47733.24,3659.94,853.17,10020.65,30.65,0.65,0.65,0.65
24,811.80,47942.04,3700.17,865.46,00.65,00.65,0.00,0.65,0.65
