%310
@RELATION LU0627170920
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,832.17,1998880.78,1010.78,151.70,?,0.78
3,783.15,48222.72,839.05,623390.76,520.76,47.51,0.78,0.76
4,781.69,47888.16,845.71,1559160.74,780.74,114.12,0.76,0.74
5,?,?,?,?,?,?,0.74,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,849.25,511860.73,320.73,36.84,?,0.73
8,780.70,47379.63,854.96,1248920.71,710.71,88.31,0.73,0.71
9,784.82,47407.28,851.76,1126430.70,590.70,78.35,0.71,0.70
10,788.85,47546.91,851.10,1716620.69,820.69,116.94,0.70,0.69
11,795.36,47440.80,850.72,2745160.70,1270.70,196.32,0.69,0.70
12,?,?,?,?,?,?,0.70,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,856.11,2099750.71,820.71,151.15,?,0.71
15,794.59,47086.54,855.54,1587120.70,880.70,112.26,0.71,0.70
16,796.34,47521.39,849.49,497100.70,360.70,34.44,0.70,0.70
17,803.56,47661.37,854.27,515030.69,210.69,36.03,0.70,0.69
18,807.72,47813.69,845.61,722780.70,330.70,50.22,0.69,0.70
19,?,?,?,?,?,?,0.70,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,857.64,242120.70,180.70,16.89,?,0.70
22,808.23,47872.80,858.70,279470.70,300.70,19.30,0.70,0.70
23,808.40,47733.24,853.17,184800.71,200.71,12.84,0.70,0.71
24,811.80,47942.04,865.46,159250.70,110.70,11.01,0.71,0.70
25,812.99,47613.95,867.33,548740.71,340.71,38.65,0.70,0.71
26,?,?,?,?,?,?,0.71,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,862.14,476150.70,280.70,32.90,?,0.70
29,815.93,47328.40,861.04,661410.69,430.69,45.10,0.70,0.69
30,815.59,46917.19,868.36,300310.68,310.68,20.44,0.69,0.68
31,817.14,46840.15,873.28,217600.69,160.69,14.79,0.68,0.69
32,818.68,46945.58,873.87,1192320.67,630.67,79.94,0.69,0.67
33,?,?,?,?,?,?,0.67,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,865.72,261110.69,190.69,17.81,?,0.69
36,816.68,46674.78,868.83,87730.69,180.69,5.94,0.69,0.69
37,813.75,46149.14,868.89,24870.69,70.69,1.69,0.69,0.69
38,811.13,46329.66,869.69,346960.69,210.69,23.58,0.69,0.69
