%310
@RELATION NL0000687309
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,2710.26,2835.52,5906525.99,3525.99,1535.29,?,25.99
3,2588.67,48222.72,2698.71,2832.46,9099025.90,8125.90,2358.33,25.99,25.90
4,2588.47,47888.16,2695.86,2814.73,18659225.45,12225.45,4727.91,25.90,25.45
5,?,?,?,?,?,?,?,25.45,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,2663.04,2793.31,92822425.27,13925.27,23458.77,?,25.27
8,2587.38,47379.63,2620.57,2790.64,54113525.71,13325.71,13710.30,25.27,25.71
9,2573.27,47407.28,2619.40,2784.62,10446427.30,15327.30,2845.50,25.71,27.30
10,2592.53,47546.91,2677.70,2800.96,1253127.53,10827.53,349.83,27.30,27.53
11,2611.26,47440.80,2696.86,2815.88,1052527.51,5427.51,290.12,27.53,27.51
12,?,?,?,?,?,?,?,27.51,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,2672.08,2820.74,158227.20,2327.20,43.44,?,27.20
15,2598.51,47086.54,2690.48,2817.16,1713426.95,6926.95,457.49,27.20,26.95
16,2598.53,47521.39,2744.45,2825.40,1777427.00,2527.00,479.87,26.95,27.00
17,2618.14,47661.37,2771.35,2848.09,252127.20,1627.20,68.10,27.00,27.20
18,2626.72,47813.69,2772.18,2864.72,325727.20,2227.20,88.39,27.20,27.20
19,?,?,?,?,?,?,?,27.20,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,2757.38,2890.14,60626.99,1326.99,16.27,?,26.99
22,2636.01,47872.80,2736.45,2892.80,135127.30,2427.30,36.23,26.99,27.30
23,2626.76,47733.24,2683.43,2890.57,674526.45,3826.45,178.36,27.30,26.45
24,2646.20,47942.04,2707.85,2898.85,297726.36,1626.36,78.83,26.45,26.36
25,2642.64,47613.95,2697.00,2897.93,259827.04,3327.04,68.68,26.36,27.04
26,?,?,?,?,?,?,?,27.04,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,2704.07,2886.17,217326.28,2326.28,57.18,?,26.28
29,2623.78,47328.40,2673.73,2878.58,2205525.60,4525.60,567.29,26.28,25.60
30,2612.20,46917.19,2682.83,2876.68,175725.99,3025.99,44.60,25.60,25.99
31,2597.73,46840.15,2642.41,2880.57,2067425.65,1525.65,529.07,25.99,25.65
