%310
@RELATION NL0006106007
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,1438.45,2835.52,74490.81,80.81,5.84,?,0.81
3,48222.72,1422.15,2832.46,99990.82,30.82,8.18,0.81,0.82
4,47888.16,1424.57,2814.73,171180.82,80.82,13.98,0.82,0.82
5,?,?,?,?,?,?,0.82,?
6,?,?,?,?,?,?,?,?
7,47589.33,1408.87,2793.31,00.82,00.82,0.00,?,0.82
8,47379.63,1416.22,2790.64,00.82,00.82,0.00,0.82,0.82
9,47407.28,1418.24,2784.62,20810.82,40.82,1.71,0.82,0.82
10,47546.91,1427.00,2800.96,390390.91,370.91,33.61,0.82,0.91
11,47440.80,1431.50,2815.88,3000.91,10.91,0.27,0.91,0.91
12,?,?,?,?,?,?,0.91,?
13,?,?,?,?,?,?,?,?
14,47470.12,1429.59,2820.74,15950.87,20.87,1.42,?,0.87
15,47086.54,1424.03,2817.16,20050.87,30.87,1.74,0.87,0.87
16,47521.39,1459.06,2825.40,10000.87,10.87,0.87,0.87,0.87
17,47661.37,1480.62,2848.09,50000.87,40.87,4.35,0.87,0.87
18,47813.69,1463.04,2864.72,52390.89,40.89,4.58,0.87,0.89
19,?,?,?,?,?,?,0.89,?
20,?,?,?,?,?,?,?,?
21,47936.61,1473.28,2890.14,27550.88,60.88,2.44,?,0.88
22,47872.80,1474.10,2892.80,90000.84,50.84,7.76,0.88,0.84
23,47733.24,1466.26,2890.57,105000.89,70.89,9.15,0.84,0.89
24,47942.04,1462.14,2898.85,354260.88,70.88,31.18,0.89,0.88
25,47613.95,1453.75,2897.93,37090.90,30.90,3.28,0.88,0.90
26,?,?,?,?,?,?,0.90,?
27,?,?,?,?,?,?,?,?
28,47324.06,1428.40,2886.17,10000.90,20.90,0.90,?,0.90
29,47328.40,1414.71,2878.58,1000.90,10.90,0.09,0.90,0.90
30,46917.19,1409.63,2876.68,00.90,00.90,0.00,0.90,0.90
31,46840.15,1412.77,2880.57,00.90,00.90,0.00,0.90,0.90
32,46945.58,1424.75,2883.81,580.88,10.88,0.05,0.90,0.88
33,?,?,?,?,?,?,0.88,?
34,?,?,?,?,?,?,?,?
35,46556.55,1376.74,2856.17,00.88,00.88,0.00,?,0.88
36,46674.78,1376.05,2843.49,1640.88,10.88,0.14,0.88,0.88
37,46149.14,1368.56,2811.05,44500.90,20.90,3.93,0.88,0.90
38,46329.66,1379.50,2815.91,39590.89,30.89,3.50,0.90,0.89
39,46741.54,1389.85,2825.70,135000.88,20.88,11.88,0.89,0.88
40,?,?,?,?,?,?,0.88,?
41,?,?,?,?,?,?,?,?
42,46786.74,1393.28,2826.84,00.88,00.88,0.00,?,0.88
43,46399.26,1383.89,2821.25,110200.90,60.90,9.75,0.88,0.90
44,46406.74,1354.82,2825.02,00.90,00.90,0.00,0.90,0.90
45,46211.54,1313.43,2825.15,1500.90,10.90,0.14,0.90,0.90
46,46370.13,1349.87,2838.22,214500.88,50.88,18.92,0.90,0.88
47,?,?,?,?,?,?,0.88,?
48,?,?,?,?,?,?,?,?
49,46508.27,1365.73,2848.48,140080.88,20.88,12.33,?,0.88
50,46490.89,1352.40,2843.90,57500.88,40.88,5.06,0.88,0.88
51,46051.76,1342.16,2831.71,2478910.95,780.95,232.85,0.88,0.95
52,45879.90,1322.82,2801.83,2301000.95,180.95,214.28,0.95,0.95
53,45948.12,1345.82,2817.57,37620.96,50.96,3.52,0.95,0.96
54,?,?,?,?,?,?,0.96,?
55,?,?,?,?,?,?,?,?
56,46286.28,1357.55,2840.57,76380.96,80.96,7.33,?,0.96
57,45868.35,1359.10,2831.16,22190.95,30.95,2.07,0.96,0.95
58,46241.92,1359.06,2855.69,327980.91,270.91,29.55,0.95,0.91
59,46280.36,1354.30,2865.27,542290.98,270.98,49.53,0.91,0.98
60,46341.14,1347.19,2859.05,23430.94,40.94,2.16,0.98,0.94
61,?,?,?,?,?,?,0.94,?
62,?,?,?,?,?,?,?,?
63,46137.70,1363.77,2860.68,24800.92,30.92,2.28,?,0.92
64,46676.09,1397.73,2868.06,46330.93,40.93,4.30,0.92,0.93
65,46762.65,1387.52,2872.90,3272441.04,1021.04,338.87,0.93,1.04
66,46745.26,1372.44,2873.49,647040.99,460.99,64.11,1.04,0.99
67,47074.39,1370.33,2906.74,283040.99,190.99,27.63,0.99,0.99
68,?,?,?,?,?,?,0.99,?
69,?,?,?,?,?,?,?,?
70,46933.03,1396.97,2914.24,38321.00,51.00,3.82,?,1.00
71,47010.40,1423.31,2911.38,104791.01,121.01,10.34,1.00,1.01
72,46888.37,1423.72,2901.67,688781.03,261.03,69.83,1.01,1.03
73,47223.68,1436.51,2912.13,275001.00,71.00,27.21,1.03,1.00
74,47125.93,1431.31,2909.77,01.00,01.00,0.00,1.00,1.00
75,?,?,?,?,?,?,1.00,?
76,?,?,?,?,?,?,?,?
77,46668.41,1419.01,2900.59,172361.01,71.01,17.24,?,1.01
78,46029.35,1400.23,2868.24,100001.01,71.01,9.94,1.01,1.01
79,46068.24,1396.66,2874.75,19711.00,21.00,1.98,1.01,1.00
80,45580.47,1372.60,2833.61,258030.93,100.93,24.50,1.00,0.93
81,45066.18,1354.95,2800.67,416490.93,560.93,37.95,0.93,0.93
82,?,?,?,?,?,?,0.93,?
83,?,?,?,?,?,?,?,?
84,44585.10,1336.25,2780.21,7630.92,10.92,0.70,?,0.92
