%310
@RELATION PLAB00000019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,349020.15,2120.15,69.27,?,20.15
3,10554.18,48222.72,48505.50,2832.46,25820.25,420.25,5.18,20.15,20.25
4,10519.33,47888.16,48143.94,2814.73,124320.59,920.59,25.23,20.25,20.59
5,?,?,?,?,?,?,?,20.59,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,90520.69,920.69,18.77,?,20.69
8,10500.71,47379.63,47624.67,2790.64,5972020.20,420.20,1206.64,20.69,20.20
9,10503.06,47407.28,47668.58,2784.62,15020.20,220.20,3.03,20.20,20.20
10,10496.80,47546.91,47798.66,2800.96,11520.20,120.20,2.32,20.20,20.20
11,10595.04,47440.80,47690.97,2815.88,020.20,020.20,0.00,20.20,20.20
12,?,?,?,?,?,?,?,20.20,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,020.20,020.20,0.00,?,20.20
15,10638.06,47086.54,47346.41,2817.16,176020.78,1420.78,36.20,20.20,20.78
16,10673.05,47521.39,47794.60,2825.40,159820.20,320.20,32.24,20.78,20.20
17,10767.29,47661.37,47936.81,2848.09,100020.20,120.20,20.20,20.20,20.20
18,10903.93,47813.69,48104.67,2864.72,30019.90,319.90,5.99,20.20,19.90
19,?,?,?,?,?,?,?,19.90,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,897720.55,1120.55,183.61,?,20.55
22,11073.63,47872.80,48127.89,2892.80,1943720.87,1720.87,404.19,20.55,20.87
23,11071.80,47733.24,47999.21,2890.57,1081421.25,1421.25,227.17,20.87,21.25
24,11108.21,47942.04,48203.43,2898.85,199621.80,721.80,42.82,21.25,21.80
25,11174.05,47613.95,47851.99,2897.93,476023.00,3223.00,108.46,21.80,23.00
26,?,?,?,?,?,?,?,23.00,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,2887422.40,1322.40,646.99,?,22.40
29,11165.66,47328.40,47565.10,2878.58,136124.90,824.90,32.40,22.40,24.90
30,11183.61,46917.19,47113.08,2876.68,376523.60,1823.60,88.82,24.90,23.60
31,11245.80,46840.15,47011.43,2880.57,373324.00,2824.00,88.63,23.60,24.00
32,11241.00,46945.58,47121.08,2883.81,161423.96,723.96,37.86,24.00,23.96
33,?,?,?,?,?,?,?,23.96,?
34,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,2856.17,283223.50,923.50,65.87,?,23.50
