%310
@RELATION PLACSA000014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,90424.40,524.40,21.47,?,24.40
3,48222.72,48505.50,2832.46,45424.40,224.40,11.08,24.40,24.40
4,47888.16,48143.94,2814.73,15024.00,224.00,3.60,24.40,24.00
5,?,?,?,?,?,?,24.00,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,024.00,024.00,0.00,?,24.00
8,47379.63,47624.67,2790.64,190325.80,1225.80,47.84,24.00,25.80
9,47407.28,47668.58,2784.62,49025.90,525.90,12.67,25.80,25.90
10,47546.91,47798.66,2800.96,2525.90,125.90,0.65,25.90,25.90
11,47440.80,47690.97,2815.88,2526.29,226.29,0.66,25.90,26.29
12,?,?,?,?,?,?,26.29,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,16526.35,726.35,4.35,?,26.35
15,47086.54,47346.41,2817.16,30926.40,626.40,8.08,26.35,26.40
16,47521.39,47794.60,2825.40,24226.40,526.40,6.35,26.40,26.40
17,47661.37,47936.81,2848.09,27526.40,326.40,7.26,26.40,26.40
18,47813.69,48104.67,2864.72,4126.39,226.39,1.08,26.40,26.39
19,?,?,?,?,?,?,26.39,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,15126.15,426.15,3.95,?,26.15
22,47872.80,48127.89,2892.80,5125.70,225.70,1.31,26.15,25.70
23,47733.24,47999.21,2890.57,115825.60,925.60,29.63,25.70,25.60
24,47942.04,48203.43,2898.85,4025.00,125.00,1.00,25.60,25.00
25,47613.95,47851.99,2897.93,168225.70,1425.70,43.49,25.00,25.70
26,?,?,?,?,?,?,25.70,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,243826.79,2326.79,64.89,?,26.79
29,47328.40,47565.10,2878.58,83026.50,1026.50,22.12,26.79,26.50
30,46917.19,47113.08,2876.68,93326.00,926.00,24.69,26.50,26.00
31,46840.15,47011.43,2880.57,3926.50,226.50,1.03,26.00,26.50
32,46945.58,47121.08,2883.81,8426.50,126.50,2.23,26.50,26.50
33,?,?,?,?,?,?,26.50,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,231726.50,1126.50,61.54,?,26.50
36,46674.78,46862.43,2843.49,72426.50,826.50,19.37,26.50,26.50
37,46149.14,46341.54,2811.05,148526.50,726.50,39.38,26.50,26.50
38,46329.66,46512.72,2815.91,903725.60,1725.60,231.78,26.50,25.60
39,46741.54,46931.40,2825.70,56325.95,725.95,14.60,25.60,25.95
