%310
@RELATION PLACTIN00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,702223.85,1923.85,165.83,?,23.85
3,10554.18,1118.84,48222.72,48505.50,2832.46,213423.49,823.49,50.80,23.85,23.49
4,10519.33,1111.36,47888.16,48143.94,2814.73,11123.39,323.39,2.55,23.49,23.39
5,?,?,?,?,?,?,?,?,23.39,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,26522.92,822.92,6.11,?,22.92
8,10500.71,1101.95,47379.63,47624.67,2790.64,50522.96,1522.96,11.60,22.92,22.96
9,10503.06,1105.51,47407.28,47668.58,2784.62,296822.96,2622.96,68.22,22.96,22.96
10,10496.80,1109.02,47546.91,47798.66,2800.96,66922.76,922.76,15.38,22.96,22.76
11,10595.04,1106.07,47440.80,47690.97,2815.88,5022.76,222.76,1.14,22.76,22.76
12,?,?,?,?,?,?,?,?,22.76,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,222122.82,822.82,50.64,?,22.82
15,10638.06,1098.41,47086.54,47346.41,2817.16,646222.80,2622.80,148.36,22.82,22.80
16,10673.05,1100.21,47521.39,47794.60,2825.40,269623.10,1723.10,61.64,22.80,23.10
17,10767.29,1100.21,47661.37,47936.81,2848.09,1477124.10,3824.10,352.13,23.10,24.10
18,10903.93,1104.63,47813.69,48104.67,2864.72,2058924.00,1524.00,494.23,24.10,24.00
19,?,?,?,?,?,?,?,?,24.00,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,4179825.52,6425.52,1049.26,?,25.52
22,11073.63,1099.21,47872.80,48127.89,2892.80,5786627.00,15227.00,1521.45,25.52,27.00
23,11071.80,1091.82,47733.24,47999.21,2890.57,1219327.99,9827.99,332.39,27.00,27.99
24,11108.21,1093.21,47942.04,48203.43,2898.85,35104328.03,8528.03,9831.85,27.99,28.03
25,11174.05,1084.16,47613.95,47851.99,2897.93,9380528.20,3828.20,2645.10,28.03,28.20
26,?,?,?,?,?,?,?,?,28.20,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,1079.13,47324.06,47553.14,2886.17,1280329.90,11029.90,373.28,?,29.90
29,11165.66,1078.99,47328.40,47565.10,2878.58,2051330.20,11030.20,627.74,29.90,30.20
30,11183.61,1071.11,46917.19,47113.08,2876.68,606330.20,5430.20,184.23,30.20,30.20
31,11245.80,1070.81,46840.15,47011.43,2880.57,1554329.90,9029.90,449.47,30.20,29.90
32,11241.00,1073.47,46945.58,47121.08,2883.81,218329.90,3929.90,65.50,29.90,29.90
33,?,?,?,?,?,?,?,?,29.90,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,1061.01,46556.55,46735.25,2856.17,3823129.70,5729.70,1132.05,?,29.70
36,11060.84,1066.05,46674.78,46862.43,2843.49,308829.00,3329.00,89.85,29.70,29.00
37,10953.57,1054.01,46149.14,46341.54,2811.05,4378229.00,1829.00,1269.69,29.00,29.00
38,10950.03,1057.65,46329.66,46512.72,2815.91,2354128.90,1128.90,682.68,29.00,28.90
39,10986.53,1068.97,46741.54,46931.40,2825.70,385728.75,1628.75,109.98,28.90,28.75
40,?,?,?,?,?,?,?,?,28.75,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,1067.80,46786.74,46988.04,2826.84,160528.50,2328.50,45.55,?,28.50
43,10981.98,1038.81,46399.26,46564.61,2821.25,522428.50,4128.50,144.58,28.50,28.50
44,11022.58,1034.74,46406.74,46569.81,2825.02,1422530.00,5930.00,416.89,28.50,30.00
45,11017.48,1024.61,46211.54,46360.51,2825.15,423230.40,3330.40,128.61,30.00,30.40
46,11071.18,1029.14,46370.13,46523.63,2838.22,46930.32,1130.32,14.05,30.40,30.32
47,?,?,?,?,?,?,?,?,30.32,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,1033.03,46508.27,46665.39,2848.48,505729.16,2629.16,149.23,?,29.16
50,11119.72,1028.99,46490.89,46652.19,2843.90,480429.10,1029.10,139.75,29.16,29.10
51,11014.53,1013.84,46051.76,46198.42,2831.71,2184329.03,1129.03,641.66,29.10,29.03
52,10948.88,1009.79,45879.90,46050.52,2801.83,13309528.20,4128.20,3859.11,29.03,28.20
53,10985.79,1008.41,45948.12,46124.82,2817.57,154129.20,1429.20,44.34,28.20,29.20
54,?,?,?,?,?,?,?,?,29.20,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,1013.72,46286.28,46487.05,2840.57,611930.12,4530.12,184.37,?,30.12
57,10972.28,1007.53,45868.35,46065.85,2831.16,34129.99,729.99,10.09,30.12,29.99
58,11039.20,1014.91,46241.92,46459.99,2855.69,114129.90,2829.90,34.28,29.99,29.90
59,11052.03,1015.09,46280.36,46510.83,2865.27,12688629.35,2829.35,3743.42,29.90,29.35
60,11010.83,1019.44,46341.14,46622.90,2859.05,10072029.25,1429.25,2956.12,29.35,29.25
61,?,?,?,?,?,?,?,?,29.25,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,1017.25,46137.70,46454.13,2860.68,254029.43,1729.43,74.26,?,29.43
64,10997.33,1023.77,46676.09,47001.38,2868.06,8379329.90,1229.90,2459.37,29.43,29.90
65,11042.47,1022.74,46762.65,47090.49,2872.90,89229.80,1229.80,26.37,29.90,29.80
66,11042.08,1022.01,46745.26,47060.66,2873.49,280129.41,1529.41,82.80,29.80,29.41
67,11119.06,1029.77,47074.39,47436.21,2906.74,215030.30,2030.30,64.07,29.41,30.30
68,?,?,?,?,?,?,?,?,30.30,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,1029.96,46933.03,47269.75,2914.24,3197931.77,10931.77,992.28,?,31.77
71,11150.86,1027.64,47010.40,47340.43,2911.38,582232.00,6232.00,188.41,31.77,32.00
72,11194.08,1026.57,46888.37,47235.72,2901.67,212432.00,3132.00,67.47,32.00,32.00
73,11231.22,1033.40,47223.68,47606.16,2912.13,3469132.00,2532.00,1099.83,32.00,32.00
74,11228.39,1030.99,47125.93,47522.10,2909.77,189931.98,1231.98,60.63,32.00,31.98
75,?,?,?,?,?,?,?,?,31.98,?
76,?,?,?,?,?,?,?,?,?,?
