%310
@RELATION PLARCUS00040
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1136.16,48389.84,195013.79,253.79,70.82,?,3.79
3,783.15,48222.72,1132.73,48505.50,137213.68,413.68,49.46,3.79,3.68
4,781.69,47888.16,1123.30,48143.94,60303.68,163.68,21.87,3.68,3.68
5,?,?,?,?,?,?,?,3.68,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1117.54,47820.24,1331854.20,1904.20,545.24,?,4.20
8,780.70,47379.63,1107.35,47624.67,674024.21,1364.21,283.50,4.20,4.21
9,784.82,47407.28,1113.00,47668.58,1164494.50,2084.50,511.01,4.21,4.50
10,788.85,47546.91,1127.31,47798.66,1306804.99,2474.99,624.63,4.50,4.99
11,795.36,47440.80,1133.34,47690.97,1116054.95,1934.95,551.06,4.99,4.95
12,?,?,?,?,?,?,?,4.95,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1138.05,47724.95,844174.84,1514.84,423.39,?,4.84
15,794.59,47086.54,1131.14,47346.41,228414.71,794.71,109.08,4.84,4.71
16,796.34,47521.39,1130.24,47794.60,705005.18,2085.18,363.32,4.71,5.18
17,803.56,47661.37,1132.34,47936.81,425224.99,1364.99,216.77,5.18,4.99
18,807.72,47813.69,1144.65,48104.67,288164.92,854.92,139.95,4.99,4.92
19,?,?,?,?,?,?,?,4.92,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1151.79,48184.37,707055.10,1405.10,363.75,?,5.10
22,808.23,47872.80,1152.16,48127.89,232925.07,725.07,116.83,5.10,5.07
23,808.40,47733.24,1153.46,47999.21,145165.01,435.01,71.81,5.07,5.01
24,811.80,47942.04,1150.21,48203.43,455135.20,1595.20,237.19,5.01,5.20
25,812.99,47613.95,1156.62,47851.99,189875.19,795.19,99.63,5.20,5.19
26,?,?,?,?,?,?,?,5.19,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1160.03,47553.14,210364.98,444.98,106.06,?,4.98
29,815.93,47328.40,1163.93,47565.10,311554.71,904.71,148.89,4.98,4.71
30,815.59,46917.19,1153.92,47113.08,100274.83,354.83,47.93,4.71,4.83
31,817.14,46840.15,1159.78,47011.43,105174.75,354.75,49.57,4.83,4.75
32,818.68,46945.58,1158.21,47121.08,160404.79,404.79,74.53,4.75,4.79
33,?,?,?,?,?,?,?,4.79,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1147.63,46735.25,950064.85,2334.85,474.86,?,4.85
36,816.68,46674.78,1152.32,46862.43,537554.96,1364.96,267.17,4.85,4.96
37,813.75,46149.14,1128.47,46341.54,160555.07,585.07,80.70,4.96,5.07
38,811.13,46329.66,1129.48,46512.72,105425.04,255.04,52.56,5.07,5.04
39,813.77,46741.54,1129.43,46931.40,105034.97,294.97,52.42,5.04,4.97
40,?,?,?,?,?,?,?,4.97,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1129.99,46988.04,93634.92,304.92,46.44,?,4.92
43,817.32,46399.26,1137.86,46564.61,222925.00,435.00,110.33,4.92,5.00
44,817.35,46406.74,1140.25,46569.81,92094.99,194.99,45.52,5.00,4.99
45,818.81,46211.54,1127.06,46360.51,72134.93,224.93,35.23,4.99,4.93
46,826.73,46370.13,1136.50,46523.63,25434.85,144.85,12.24,4.93,4.85
47,?,?,?,?,?,?,?,4.85,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1139.96,46665.39,103845.06,365.06,51.38,?,5.06
50,832.30,46490.89,1135.32,46652.19,392165.20,1035.20,204.27,5.06,5.20
51,830.62,46051.76,1126.36,46198.42,119175.30,375.30,62.42,5.20,5.30
52,823.32,45879.90,1119.98,46050.52,254854.94,744.94,128.70,5.30,4.94
53,826.66,45948.12,1131.52,46124.82,27894.98,194.98,13.86,4.94,4.98
54,?,?,?,?,?,?,?,4.98,?
