%310
@RELATION PLATLNT00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,8631710.13,1020.13,113.08,?,0.13
3,10554.18,48222.72,48505.50,4463420.14,400.14,60.42,0.13,0.14
4,10519.33,47888.16,48143.94,3195590.14,370.14,42.17,0.14,0.14
5,?,?,?,?,?,?,0.14,?
6,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,3785120.14,440.14,49.76,?,0.14
8,10500.71,47379.63,47624.67,3796030.13,420.13,49.43,0.14,0.13
9,10503.06,47407.28,47668.58,8284220.13,900.13,107.72,0.13,0.13
10,10496.80,47546.91,47798.66,5196050.14,630.14,67.62,0.13,0.14
11,10595.04,47440.80,47690.97,107749190.15,5870.15,1580.13,0.14,0.15
12,?,?,?,?,?,?,0.15,?
13,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,68174650.17,4140.17,1126.04,?,0.17
15,10638.06,47086.54,47346.41,49626040.15,2500.15,774.20,0.17,0.15
16,10673.05,47521.39,47794.60,20091540.15,880.15,301.06,0.15,0.15
17,10767.29,47661.37,47936.81,5646230.16,440.16,85.41,0.15,0.16
18,10903.93,47813.69,48104.67,2996030.16,340.16,46.04,0.16,0.16
19,?,?,?,?,?,?,0.16,?
20,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,3957860.16,260.16,61.12,?,0.16
22,11073.63,47872.80,48127.89,27942940.15,1160.15,419.56,0.16,0.15
23,11071.80,47733.24,47999.21,10211320.15,570.15,153.13,0.15,0.15
24,11108.21,47942.04,48203.43,3891630.15,280.15,58.22,0.15,0.15
25,11174.05,47613.95,47851.99,4028430.15,280.15,59.60,0.15,0.15
26,?,?,?,?,?,?,0.15,?
27,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,13321170.14,630.14,188.21,?,0.14
29,11165.66,47328.40,47565.10,16540320.14,870.14,231.63,0.14,0.14
30,11183.61,46917.19,47113.08,1319530.15,180.15,18.91,0.14,0.15
31,11245.80,46840.15,47011.43,11872510.14,570.14,166.38,0.15,0.14
32,11241.00,46945.58,47121.08,2854070.14,310.14,39.54,0.14,0.14
33,?,?,?,?,?,?,0.14,?
34,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,967310.14,180.14,13.20,?,0.14
36,11060.84,46674.78,46862.43,25873100.13,1000.13,336.41,0.14,0.13
37,10953.57,46149.14,46341.54,1422010.14,160.14,19.60,0.13,0.14
38,10950.03,46329.66,46512.72,2216980.13,230.13,29.09,0.14,0.13
39,10986.53,46741.54,46931.40,729900.14,90.14,10.22,0.13,0.14
40,?,?,?,?,?,?,0.14,?
41,?,?,?,?,?,?,?,?
42,10947.75,46786.74,46988.04,13706780.13,920.13,178.50,?,0.13
43,10981.98,46399.26,46564.61,3836710.13,340.13,47.61,0.13,0.13
44,11022.58,46406.74,46569.81,10313160.13,640.13,125.07,0.13,0.13
45,11017.48,46211.54,46360.51,3800260.12,320.12,45.75,0.13,0.12
46,11071.18,46370.13,46523.63,3684340.12,340.12,44.58,0.12,0.12
47,?,?,?,?,?,?,0.12,?
48,?,?,?,?,?,?,?,?
49,11089.91,46508.27,46665.39,1074270.12,270.12,13.05,?,0.12
50,11119.72,46490.89,46652.19,2851630.13,280.13,35.48,0.12,0.13
51,11014.53,46051.76,46198.42,1309510.13,230.13,15.88,0.13,0.13
52,10948.88,45879.90,46050.52,5669540.13,340.13,68.14,0.13,0.13
53,10985.79,45948.12,46124.82,1339070.13,190.13,16.11,0.13,0.13
54,?,?,?,?,?,?,0.13,?
55,?,?,?,?,?,?,?,?
56,11033.69,46286.28,46487.05,3366800.13,390.13,40.46,?,0.13
57,10972.28,45868.35,46065.85,16987270.12,1220.12,202.91,0.13,0.12
58,11039.20,46241.92,46459.99,35817070.13,1670.13,462.22,0.12,0.13
59,11052.03,46280.36,46510.83,7111530.13,460.13,91.13,0.13,0.13
60,11010.83,46341.14,46622.90,571840.13,130.13,7.21,0.13,0.13
61,?,?,?,?,?,?,0.13,?
62,?,?,?,?,?,?,?,?
63,10998.55,46137.70,46454.13,1739900.12,150.12,21.62,?,0.12
64,10997.33,46676.09,47001.38,2009070.12,260.12,25.43,0.12,0.12
65,11042.47,46762.65,47090.49,1599190.13,170.13,19.64,0.12,0.13
66,11042.08,46745.26,47060.66,4128350.13,340.13,50.89,0.13,0.13
67,11119.06,47074.39,47436.21,1524360.12,180.12,19.04,0.13,0.12
68,?,?,?,?,?,?,0.12,?
69,?,?,?,?,?,?,?,?
70,11133.10,46933.03,47269.75,2667210.12,340.12,32.40,?,0.12
71,11150.86,47010.40,47340.43,7233580.13,470.13,88.77,0.12,0.13
72,11194.08,46888.37,47235.72,1118970.12,260.12,13.69,0.13,0.12
73,11231.22,47223.68,47606.16,57740020.13,3790.13,785.06,0.12,0.13
74,11228.39,47125.93,47522.10,32199450.13,1230.13,418.24,0.13,0.13
75,?,?,?,?,?,?,0.13,?
76,?,?,?,?,?,?,?,?
77,11190.20,46668.41,47094.18,2762460.13,220.13,35.54,?,0.13
78,11135.62,46029.35,46473.62,1825760.12,180.12,22.78,0.13,0.12
79,11168.63,46068.24,46511.62,8077290.12,400.12,98.15,0.12,0.12
80,11069.03,45580.47,46017.88,14350950.13,670.13,188.16,0.12,0.13
81,10908.77,45066.18,45473.08,35514860.13,1140.13,455.37,0.13,0.13
82,?,?,?,?,?,?,0.13,?
83,?,?,?,?,?,?,?,?
84,10899.26,44585.10,44946.32,4173570.13,370.13,53.06,?,0.13
85,10815.43,44724.88,45119.16,2942110.13,400.13,35.38,0.13,0.13
86,10867.86,45247.90,45644.09,3031740.13,190.13,38.39,0.13,0.13
87,10938.55,45147.57,45528.85,5911350.13,420.13,71.07,0.13,0.13
88,?,?,?,?,?,?,0.13,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,10998.70,45304.74,45679.51,5206050.12,380.12,62.57,?,0.12
93,10809.87,44604.61,44940.36,18203550.11,900.11,212.63,0.12,0.11
94,10817.23,44623.89,44980.62,11522980.12,820.12,126.89,0.11,0.12
95,10803.99,44597.66,44960.02,9524060.11,490.11,105.20,0.12,0.11
96,?,?,?,?,?,?,0.11,?
97,?,?,?,?,?,?,?,?
98,10819.93,44590.97,44963.96,8602580.11,400.11,89.64,?,0.11
99,10820.89,44725.03,45096.35,1687370.11,240.11,18.16,0.11,0.11
100,10845.27,45091.63,45495.34,14281420.10,830.10,143.05,0.11,0.10
101,10908.65,45688.48,46131.66,14440430.11,930.11,144.37,0.10,0.11
102,10807.45,45525.92,45960.10,3453170.10,290.10,34.68,0.11,0.10
103,?,?,?,?,?,?,0.10,?
104,?,?,?,?,?,?,?,?
105,10663.67,44724.14,45167.65,1397220.10,140.10,14.04,?,0.10
106,?,?,?,?,?,?,0.10,?
107,10431.02,43916.24,44404.81,2223830.10,330.10,22.22,?,0.10
108,10415.53,43364.70,43850.06,3720090.09,240.09,33.60,0.10,0.09
109,10373.60,43447.75,43993.98,401590.10,110.10,3.79,0.09,0.10
110,?,?,?,?,?,?,0.10,?
111,?,?,?,?,?,?,?,?
112,10335.77,43360.30,43892.82,10514890.10,740.10,104.73,?,0.10
113,10282.22,43159.57,43707.88,3887950.09,310.09,38.40,0.10,0.09
114,10264.95,43356.73,43908.95,1087020.09,150.09,9.78,0.09,0.09
115,10327.20,43482.18,44027.03,1251610.09,150.09,11.27,0.09,0.09
116,10407.26,43665.21,44226.06,893380.10,140.10,8.36,0.09,0.10
117,?,?,?,?,?,?,0.10,?
118,?,?,?,?,?,?,?,?
119,10465.41,43882.16,44420.22,447270.10,140.10,4.28,?,0.10
120,10511.46,44162.18,44653.34,1121150.10,180.10,10.91,0.10,0.10
121,?,?,?,?,?,?,0.10,?
122,10554.34,43991.51,44466.89,2475160.10,310.10,24.77,?,0.10
123,?,?,?,?,?,?,0.10,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,10605.72,44541.73,45060.80,2699820.10,200.10,27.05,?,0.10
127,10618.63,44742.22,45244.29,595450.11,90.11,6.32,0.10,0.11
128,10692.81,45117.94,45647.76,550350.11,110.11,5.95,0.11,0.11
129,10714.80,44943.16,45475.08,632870.11,120.11,6.40,0.11,0.11
130,10758.03,44895.35,45408.06,2923710.10,190.10,29.24,0.11,0.10
131,?,?,?,?,?,?,0.10,?
132,?,?,?,?,?,?,?,?
133,10762.74,45207.84,45746.01,1435750.10,70.10,14.37,?,0.10
134,10819.27,45771.11,46336.62,4208290.10,450.10,45.29,0.10,0.10
135,10913.18,46102.42,46676.61,537000.10,80.10,5.47,0.10,0.10
136,10976.80,45992.03,46581.16,3630750.11,230.11,37.85,0.10,0.11
137,10991.63,46078.68,46646.58,1022140.11,170.11,11.04,0.11,0.11
138,?,?,?,?,?,?,0.11,?
139,?,?,?,?,?,?,?,?
140,11070.23,46041.35,46615.31,7960930.11,700.11,88.01,?,0.11
141,11089.17,45851.80,46439.10,6206460.11,570.11,68.29,0.11,0.11
142,11082.19,45933.66,46529.96,650120.11,80.11,6.68,0.11,0.11
143,11050.12,45687.76,46311.26,628790.11,60.11,6.29,0.11,0.11
144,11130.47,46145.44,46783.61,437100.11,50.11,4.78,0.11,0.11
145,?,?,?,?,?,?,0.11,?
146,?,?,?,?,?,?,?,?
147,11329.88,47277.10,47957.54,1504450.11,160.11,15.83,?,0.11
148,11439.53,47579.87,48258.02,22735760.12,570.12,256.81,0.11,0.12
149,11434.08,47476.64,48138.07,4263180.12,290.12,50.48,0.12,0.12
150,?,?,?,?,?,?,0.12,?
151,11518.87,47806.34,48503.87,2909220.12,330.12,34.67,?,0.12
152,?,?,?,?,?,?,0.12,?
153,?,?,?,?,?,?,?,?
154,11428.58,47175.79,47868.36,2289490.12,160.12,25.69,?,0.12
155,11527.78,47620.68,48323.88,115220.11,70.11,1.28,0.12,0.11
156,11566.33,47805.94,48513.29,19741250.11,890.11,217.08,0.11,0.11
157,11598.90,47573.66,48259.19,875900.11,130.11,9.35,0.11,0.11
158,11721.20,48209.65,48918.37,1397920.10,200.10,14.76,0.11,0.10
159,?,?,?,?,?,?,0.10,?
160,?,?,?,?,?,?,?,?
161,11855.82,48495.01,49207.65,1460970.10,150.10,14.69,?,0.10
162,11906.69,48324.52,49050.96,1804490.10,210.10,18.33,0.10,0.10
163,12044.12,48383.93,49098.70,1604040.10,140.10,16.64,0.10,0.10
