%310
@RELATION PLATM0000021
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,2710.26,48389.84,2835.52,1762101.08,1021.08,186.69,?,1.08
3,783.15,48222.72,2698.71,48505.50,2832.46,2393651.11,1431.11,264.72,1.08,1.11
4,781.69,47888.16,2695.86,48143.94,2814.73,2260131.11,1021.11,252.68,1.11,1.11
5,?,?,?,?,?,?,?,?,1.11,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,2663.04,47820.24,2793.31,517001.10,421.10,57.21,?,1.10
8,780.70,47379.63,2620.57,47624.67,2790.64,1606301.14,641.14,180.96,1.10,1.14
9,784.82,47407.28,2619.40,47668.58,2784.62,2673141.22,1791.22,315.81,1.14,1.22
10,788.85,47546.91,2677.70,47798.66,2800.96,3873301.19,1841.19,474.55,1.22,1.19
11,795.36,47440.80,2696.86,47690.97,2815.88,1027841.20,471.20,124.17,1.19,1.20
12,?,?,?,?,?,?,?,?,1.20,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,2672.08,47724.95,2820.74,2587001.17,1361.17,300.01,?,1.17
15,794.59,47086.54,2690.48,47346.41,2817.16,519741.19,381.19,61.70,1.17,1.19
16,796.34,47521.39,2744.45,47794.60,2825.40,2218341.24,1051.24,273.06,1.19,1.24
17,803.56,47661.37,2771.35,47936.81,2848.09,1215941.23,651.23,151.08,1.24,1.23
18,807.72,47813.69,2772.18,48104.67,2864.72,764281.25,461.25,93.88,1.23,1.25
19,?,?,?,?,?,?,?,?,1.25,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,2757.38,48184.37,2890.14,847941.25,441.25,105.62,?,1.25
22,808.23,47872.80,2736.45,48127.89,2892.80,1848171.30,761.30,232.94,1.25,1.30
23,808.40,47733.24,2683.43,47999.21,2890.57,4799101.33,1251.33,635.23,1.30,1.33
24,811.80,47942.04,2707.85,48203.43,2898.85,1122341.33,411.33,149.24,1.33,1.33
25,812.99,47613.95,2697.00,47851.99,2897.93,783511.35,411.35,104.08,1.33,1.35
26,?,?,?,?,?,?,?,?,1.35,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,2704.07,47553.14,2886.17,1274871.31,681.31,168.66,?,1.31
29,815.93,47328.40,2673.73,47565.10,2878.58,590431.33,281.33,78.05,1.31,1.33
