%310
@RELATION PLBAUMA00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,48107.89,1718.26,48389.84,2835.52,28643.85,543.85,12.54,?,43.85
3,48222.72,1714.83,48505.50,2832.46,26343.30,243.30,11.39,43.85,43.30
4,47888.16,1719.23,48143.94,2814.73,2043.31,243.31,0.87,43.30,43.31
5,?,?,?,?,?,?,?,43.31,?
6,?,?,?,?,?,?,?,?,?
7,47589.33,1719.82,47820.24,2793.31,2943.31,343.31,1.24,?,43.31
8,47379.63,1714.18,47624.67,2790.64,043.31,043.31,0.00,43.31,43.31
9,47407.28,1722.98,47668.58,2784.62,143.33,143.33,0.04,43.31,43.33
10,47546.91,1717.51,47798.66,2800.96,51742.85,442.85,22.16,43.33,42.85
11,47440.80,1761.65,47690.97,2815.88,122350.70,2050.70,62.07,42.85,50.70
12,?,?,?,?,?,?,?,50.70,?
13,?,?,?,?,?,?,?,?,?
14,47470.12,1787.10,47724.95,2820.74,42248.10,1348.10,21.25,?,48.10
15,47086.54,1789.24,47346.41,2817.16,3446.72,446.72,1.64,48.10,46.72
16,47521.39,1813.57,47794.60,2825.40,2046.72,246.72,0.93,46.72,46.72
17,47661.37,1796.76,47936.81,2848.09,10747.00,647.00,5.00,46.72,47.00
18,47813.69,1830.45,48104.67,2864.72,147.01,147.01,0.05,47.00,47.01
19,?,?,?,?,?,?,?,47.01,?
20,?,?,?,?,?,?,?,?,?
21,47936.61,1829.00,48184.37,2890.14,30249.00,849.00,14.57,?,49.00
22,47872.80,1822.02,48127.89,2892.80,15850.70,650.70,8.01,49.00,50.70
23,47733.24,1819.73,47999.21,2890.57,3051.70,151.70,1.55,50.70,51.70
24,47942.04,1794.79,48203.43,2898.85,9151.00,451.00,4.60,51.70,51.00
25,47613.95,1818.33,47851.99,2897.93,42552.00,652.00,21.72,51.00,52.00
26,?,?,?,?,?,?,?,52.00,?
27,?,?,?,?,?,?,?,?,?
28,47324.06,1811.61,47553.14,2886.17,28354.50,854.50,15.03,?,54.50
29,47328.40,1804.79,47565.10,2878.58,10253.00,353.00,5.35,54.50,53.00
30,46917.19,1825.50,47113.08,2876.68,19553.00,753.00,10.33,53.00,53.00
31,46840.15,1817.11,47011.43,2880.57,555.00,255.00,0.27,53.00,55.00
32,46945.58,1834.26,47121.08,2883.81,055.00,055.00,0.00,55.00,55.00
33,?,?,?,?,?,?,?,55.00,?
34,?,?,?,?,?,?,?,?,?
35,46556.55,1819.69,46735.25,2856.17,4054.00,354.00,2.19,?,54.00
36,46674.78,1784.50,46862.43,2843.49,300154.00,654.00,162.05,54.00,54.00
37,46149.14,1779.66,46341.54,2811.05,9353.50,453.50,4.84,54.00,53.50
38,46329.66,1758.77,46512.72,2815.91,2000252.00,352.00,1040.11,53.50,52.00
39,46741.54,1769.71,46931.40,2825.70,252.00,252.00,0.10,52.00,52.00
40,?,?,?,?,?,?,?,52.00,?
41,?,?,?,?,?,?,?,?,?
42,46786.74,1762.40,46988.04,2826.84,706451.20,551.20,361.68,?,51.20
43,46399.26,1785.06,46564.61,2821.25,151.20,151.20,0.05,51.20,51.20
44,46406.74,1780.69,46569.81,2825.02,2551.25,151.25,1.28,51.20,51.25
45,46211.54,1783.79,46360.51,2825.15,1151.30,351.30,0.56,51.25,51.30
46,46370.13,1804.96,46523.63,2838.22,17955.00,655.00,9.50,51.30,55.00
47,?,?,?,?,?,?,?,55.00,?
48,?,?,?,?,?,?,?,?,?
49,46508.27,1814.39,46665.39,2848.48,5354.80,554.80,2.91,?,54.80
50,46490.89,1821.72,46652.19,2843.90,9354.50,454.50,5.07,54.80,54.50
51,46051.76,1809.28,46198.42,2831.71,154.50,154.50,0.05,54.50,54.50
52,45879.90,1812.57,46050.52,2801.83,854.50,354.50,0.44,54.50,54.50
53,45948.12,1826.84,46124.82,2817.57,254.50,254.50,0.11,54.50,54.50
54,?,?,?,?,?,?,?,54.50,?
55,?,?,?,?,?,?,?,?,?
56,46286.28,1850.28,46487.05,2840.57,30454.50,654.50,15.95,?,54.50
57,45868.35,1831.29,46065.85,2831.16,254.50,254.50,0.11,54.50,54.50
58,46241.92,1848.22,46459.99,2855.69,177454.90,654.90,97.39,54.50,54.90
59,46280.36,1866.67,46510.83,2865.27,1154.90,254.90,0.60,54.90,54.90
60,46341.14,1880.05,46622.90,2859.05,354.70,354.70,0.16,54.90,54.70
61,?,?,?,?,?,?,?,54.70,?
62,?,?,?,?,?,?,?,?,?
63,46137.70,1870.04,46454.13,2860.68,154.70,154.70,0.05,?,54.70
64,46676.09,1867.84,47001.38,2868.06,254.70,254.70,0.11,54.70,54.70
65,46762.65,1848.50,47090.49,2872.90,1152.75,252.75,0.58,54.70,52.75
66,46745.26,1870.22,47060.66,2873.49,152.85,152.85,0.05,52.75,52.85
67,47074.39,1871.59,47436.21,2906.74,4952.80,252.80,2.59,52.85,52.80
68,?,?,?,?,?,?,?,52.80,?
69,?,?,?,?,?,?,?,?,?
70,46933.03,1873.37,47269.75,2914.24,19154.00,554.00,10.20,?,54.00
71,47010.40,1865.43,47340.43,2911.38,11952.50,552.50,6.25,54.00,52.50
72,46888.37,1864.62,47235.72,2901.67,152.50,152.50,0.05,52.50,52.50
73,47223.68,1848.14,47606.16,2912.13,3152.45,252.45,1.63,52.50,52.45
74,47125.93,1849.89,47522.10,2909.77,10552.50,452.50,5.51,52.45,52.50
75,?,?,?,?,?,?,?,52.50,?
76,?,?,?,?,?,?,?,?,?
77,46668.41,1834.95,47094.18,2900.59,1852.50,252.50,0.95,?,52.50
78,46029.35,1794.48,46473.62,2868.24,10152.50,352.50,5.30,52.50,52.50
79,46068.24,1801.52,46511.62,2874.75,252.70,252.70,0.11,52.50,52.70
80,45580.47,1769.42,46017.88,2833.61,6653.90,453.90,3.56,52.70,53.90
81,45066.18,1707.83,45473.08,2800.67,6254.85,354.85,3.35,53.90,54.85
82,?,?,?,?,?,?,?,54.85,?
83,?,?,?,?,?,?,?,?,?
84,44585.10,1660.44,44946.32,2780.21,12654.65,354.65,6.79,?,54.65
85,44724.88,1648.36,45119.16,2774.13,1754.35,354.35,0.92,54.65,54.35
86,45247.90,1653.10,45644.09,2785.46,154.40,154.40,0.05,54.35,54.40
87,45147.57,1677.23,45528.85,2797.31,254.35,254.35,0.11,54.40,54.35
88,?,?,?,?,?,?,?,54.35,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,45304.74,1656.40,45679.51,2814.33,17152.45,452.45,8.97,?,52.45
93,44604.61,1620.82,44940.36,2769.02,1752.15,352.15,0.87,52.45,52.15
94,44623.89,1588.07,44980.62,2766.19,19650.00,450.00,9.86,52.15,50.00
95,44597.66,1585.00,44960.02,2760.91,250.00,250.00,0.10,50.00,50.00
96,?,?,?,?,?,?,?,50.00,?
97,?,?,?,?,?,?,?,?,?
98,44590.97,1584.03,44963.96,2764.28,22047.40,547.40,10.49,?,47.40
99,44725.03,1600.11,45096.35,2767.26,1547.40,347.40,0.71,47.40,47.40
100,45091.63,1609.16,45495.34,2780.21,147.55,147.55,0.05,47.40,47.55
101,45688.48,1647.89,46131.66,2794.43,71844.89,844.89,32.02,47.55,44.89
102,45525.92,1602.65,45960.10,2783.53,144.89,144.89,0.04,44.89,44.89
103,?,?,?,?,?,?,?,44.89,?
104,?,?,?,?,?,?,?,?,?
105,44724.14,1590.14,45167.65,2754.91,78743.95,1043.95,34.46,?,43.95
106,?,?,?,?,?,?,?,43.95,?
107,43916.24,1578.30,44404.81,2705.88,24041.94,641.94,10.02,?,41.94
108,43364.70,1582.90,43850.06,2695.55,109640.00,1240.00,43.84,41.94,40.00
109,43447.75,1551.70,43993.98,2685.57,140.05,140.05,0.04,40.00,40.05
110,?,?,?,?,?,?,?,40.05,?
111,?,?,?,?,?,?,?,?,?
112,43360.30,1572.53,43892.82,2660.28,4140.00,540.00,1.58,?,40.00
113,43159.57,1577.62,43707.88,2624.40,29938.20,338.20,11.48,40.00,38.20
114,43356.73,1568.91,43908.95,2636.70,3238.00,338.00,1.22,38.20,38.00
115,43482.18,1578.90,44027.03,2658.57,19336.32,336.32,7.01,38.00,36.32
116,43665.21,1567.21,44226.06,2669.93,10138.10,238.10,3.85,36.32,38.10
117,?,?,?,?,?,?,?,38.10,?
118,?,?,?,?,?,?,?,?,?
119,43882.16,1568.27,44420.22,2685.14,3238.10,338.10,1.22,?,38.10
120,44162.18,1577.58,44653.34,2704.84,24838.07,238.07,9.44,38.10,38.07
121,?,?,?,?,?,?,?,38.07,?
122,43991.51,1593.50,44466.89,2695.22,538.10,238.10,0.19,?,38.10
123,?,?,?,?,?,?,?,38.10,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,44541.73,1610.11,45060.80,2714.72,3438.10,338.10,1.30,?,38.10
127,44742.22,1618.85,45244.29,2733.96,105544.33,1744.33,43.06,38.10,44.33
128,45117.94,1640.06,45647.76,2752.14,95649.00,1049.00,45.16,44.33,49.00
129,44943.16,1640.84,45475.08,2760.20,40447.78,1147.78,20.63,49.00,47.78
130,44895.35,1627.28,45408.06,2769.85,114346.50,646.50,53.65,47.78,46.50
131,?,?,?,?,?,?,?,46.50,?
132,?,?,?,?,?,?,?,?,?
133,45207.84,1680.51,45746.01,2790.62,28644.01,444.01,12.88,?,44.01
134,45771.11,1669.79,46336.62,2822.41,19846.04,346.04,8.75,44.01,46.04
135,46102.42,1662.38,46676.61,2848.38,35846.05,746.05,16.46,46.04,46.05
136,45992.03,1668.63,46581.16,2871.70,26944.50,444.50,11.97,46.05,44.50
137,46078.68,1720.89,46646.58,2885.19,044.50,044.50,0.00,44.50,44.50
138,?,?,?,?,?,?,?,44.50,?
139,?,?,?,?,?,?,?,?,?
140,46041.35,1720.79,46615.31,2921.95,24243.50,843.50,10.74,?,43.50
141,45851.80,1715.41,46439.10,2893.12,14743.45,343.45,6.39,43.50,43.45
142,45933.66,1721.17,46529.96,2912.70,043.45,043.45,0.00,43.45,43.45
143,45687.76,1700.24,46311.26,2894.53,51542.50,442.50,21.87,43.45,42.50
144,46145.44,1717.23,46783.61,2929.62,468845.00,1145.00,204.72,42.50,45.00
145,?,?,?,?,?,?,?,45.00,?
146,?,?,?,?,?,?,?,?,?
147,47277.10,1770.93,47957.54,2976.83,145.10,145.10,0.05,?,45.10
148,47579.87,1794.53,48258.02,2997.81,246.18,246.18,0.09,45.10,46.18
149,47476.64,1826.11,48138.07,3000.58,2946.18,146.18,1.34,46.18,46.18
150,?,?,?,?,?,?,?,46.18,?
151,47806.34,1832.70,48503.87,2994.25,046.18,046.18,0.00,?,46.18
152,?,?,?,?,?,?,?,46.18,?
153,?,?,?,?,?,?,?,?,?
154,47175.79,1796.86,47868.36,2970.24,21247.24,847.24,9.69,?,47.24
155,47620.68,1812.04,48323.88,2998.79,247.23,247.23,0.09,47.24,47.23
156,47805.94,1846.56,48513.29,3026.87,134050.00,1150.00,64.17,47.23,50.00
157,47573.66,1856.88,48259.19,3020.15,18650.00,350.00,9.30,50.00,50.00
158,48209.65,1849.90,48918.37,3044.38,250.00,250.00,0.10,50.00,50.00
159,?,?,?,?,?,?,?,50.00,?
160,?,?,?,?,?,?,?,?,?
161,48495.01,1856.85,49207.65,3065.91,50749.10,649.10,24.85,?,49.10
162,48324.52,1866.45,49050.96,3074.89,58050.00,1350.00,28.92,49.10,50.00
163,48383.93,1901.79,49098.70,3098.83,12150.00,550.00,5.93,50.00,50.00
164,48152.82,1913.84,48890.47,3089.32,35750.55,1050.55,17.54,50.00,50.55
165,48273.42,1917.53,49057.66,3092.65,19452.00,652.00,9.96,50.55,52.00
166,?,?,?,?,?,?,?,52.00,?
167,?,?,?,?,?,?,?,?,?
168,48131.61,1911.93,48917.56,3100.24,553.00,253.00,0.27,?,53.00
169,48119.72,1917.62,48891.04,3120.39,3954.00,354.00,2.11,53.00,54.00
170,47743.10,1923.19,48509.84,3122.21,43654.65,654.65,23.77,54.00,54.65
171,45870.00,1891.03,46587.68,3038.18,2752.45,352.45,1.42,54.65,52.45
172,44732.92,1879.16,45456.77,3001.68,7953.45,453.45,4.20,52.45,53.45
173,?,?,?,?,?,?,?,53.45,?
174,?,?,?,?,?,?,?,?,?
175,44824.62,1899.94,45531.46,2990.89,2053.90,353.90,1.05,?,53.90
176,44966.09,1919.70,45672.10,2999.31,1053.99,353.99,0.53,53.90,53.99
177,44893.99,1923.12,45601.51,2972.55,253.99,253.99,0.11,53.99,53.99
178,43667.37,1881.89,44326.49,2915.58,61252.42,352.42,32.08,53.99,52.42
179,44747.79,1851.41,45442.51,2948.80,452.42,152.42,0.21,52.42,52.42
