%310
@RELATION PLBPRMT00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,65436.15,196.15,41.55,?,6.15
3,783.15,48222.72,1714.83,48505.50,22686.14,76.14,13.73,6.15,6.14
4,781.69,47888.16,1719.23,48143.94,36195.96,115.96,22.01,6.14,5.96
5,?,?,?,?,?,?,?,5.96,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,24616.15,146.15,15.00,?,6.15
8,780.70,47379.63,1714.18,47624.67,88556.20,166.20,54.79,6.15,6.20
9,784.82,47407.28,1722.98,47668.58,666.20,26.20,0.41,6.20,6.20
10,788.85,47546.91,1717.51,47798.66,8426.20,56.20,5.17,6.20,6.20
11,795.36,47440.80,1761.65,47690.97,7016.20,46.20,4.33,6.20,6.20
12,?,?,?,?,?,?,?,6.20,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,1526.20,16.20,0.94,?,6.20
15,794.59,47086.54,1789.24,47346.41,48246.19,86.19,29.89,6.20,6.19
16,796.34,47521.39,1813.57,47794.60,3206.19,46.19,1.98,6.19,6.19
17,803.56,47661.37,1796.76,47936.81,39046.05,196.05,23.53,6.19,6.05
18,807.72,47813.69,1830.45,48104.67,18356.05,56.05,11.02,6.05,6.05
19,?,?,?,?,?,?,?,6.05,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,67146.04,226.04,40.36,?,6.04
22,808.23,47872.80,1822.02,48127.89,1926.05,36.05,1.16,6.04,6.05
23,808.40,47733.24,1819.73,47999.21,56676.00,176.00,34.06,6.05,6.00
24,811.80,47942.04,1794.79,48203.43,18305.99,55.99,10.96,6.00,5.99
25,812.99,47613.95,1818.33,47851.99,2025.98,45.98,1.20,5.99,5.98
26,?,?,?,?,?,?,?,5.98,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,3705.97,95.97,2.18,?,5.97
29,815.93,47328.40,1804.79,47565.10,2645.98,55.98,1.58,5.97,5.98
30,815.59,46917.19,1825.50,47113.08,31996.04,96.04,19.25,5.98,6.04
31,817.14,46840.15,1817.11,47011.43,27296.03,66.03,16.49,6.04,6.03
32,818.68,46945.58,1834.26,47121.08,16.00,16.00,0.01,6.03,6.00
33,?,?,?,?,?,?,?,6.00,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,36025.89,135.89,20.86,?,5.89
36,816.68,46674.78,1784.50,46862.43,5215.89,55.89,2.97,5.89,5.89
37,813.75,46149.14,1779.66,46341.54,5385.89,65.89,3.16,5.89,5.89
38,811.13,46329.66,1758.77,46512.72,35325.99,155.99,20.86,5.89,5.99
39,813.77,46741.54,1769.71,46931.40,6805.90,45.90,4.02,5.99,5.90
40,?,?,?,?,?,?,?,5.90,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1762.40,46988.04,1525.90,35.90,0.90,?,5.90
43,817.32,46399.26,1785.06,46564.61,4575.90,35.90,2.70,5.90,5.90
44,817.35,46406.74,1780.69,46569.81,4435.90,55.90,2.60,5.90,5.90
45,818.81,46211.54,1783.79,46360.51,6615.89,75.89,3.88,5.90,5.89
46,826.73,46370.13,1804.96,46523.63,7095.89,45.89,4.10,5.89,5.89
47,?,?,?,?,?,?,?,5.89,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1814.39,46665.39,3015.88,35.88,1.77,?,5.88
50,832.30,46490.89,1821.72,46652.19,5335.88,25.88,3.13,5.88,5.88
51,830.62,46051.76,1809.28,46198.42,1385476.78,2936.78,901.48,5.88,6.78
52,823.32,45879.90,1812.57,46050.52,569286.44,1406.44,371.99,6.78,6.44
53,826.66,45948.12,1826.84,46124.82,91966.57,386.57,59.67,6.44,6.57
54,?,?,?,?,?,?,?,6.57,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1850.28,46487.05,70726.73,306.73,47.01,?,6.73
57,828.81,45868.35,1831.29,46065.85,25646.68,166.68,17.07,6.73,6.68
58,836.69,46241.92,1848.22,46459.99,24646.77,186.77,16.37,6.68,6.77
59,844.08,46280.36,1866.67,46510.83,24806.60,116.60,16.27,6.77,6.60
60,842.02,46341.14,1880.05,46622.90,31806.50,136.50,20.44,6.60,6.50
61,?,?,?,?,?,?,?,6.50,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1870.04,46454.13,75356.43,236.43,48.50,?,6.43
64,845.88,46676.09,1867.84,47001.38,62786.49,286.49,40.32,6.43,6.49
65,849.88,46762.65,1848.50,47090.49,1016.55,26.55,0.66,6.49,6.55
66,855.99,46745.26,1870.22,47060.66,36616.55,116.55,23.83,6.55,6.55
67,861.67,47074.39,1871.59,47436.21,7006.55,56.55,4.55,6.55,6.55
68,?,?,?,?,?,?,?,6.55,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1873.37,47269.75,976.54,46.54,0.63,?,6.54
71,866.79,47010.40,1865.43,47340.43,26036.65,116.65,17.07,6.54,6.65
72,872.90,46888.37,1864.62,47235.72,38666.59,176.59,25.27,6.65,6.59
73,871.52,47223.68,1848.14,47606.16,16346.60,86.60,10.76,6.59,6.60
74,873.21,47125.93,1849.89,47522.10,4096.60,46.60,2.67,6.60,6.60
75,?,?,?,?,?,?,?,6.60,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1834.95,47094.18,24816.59,116.59,16.18,?,6.59
78,864.73,46029.35,1794.48,46473.62,57906.77,256.77,37.40,6.59,6.77
79,862.97,46068.24,1801.52,46511.62,51666.65,156.65,34.02,6.77,6.65
80,850.86,45580.47,1769.42,46017.88,103506.74,236.74,68.22,6.65,6.74
81,845.32,45066.18,1707.83,45473.08,27016.64,126.64,17.89,6.74,6.64
82,?,?,?,?,?,?,?,6.64,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1660.44,44946.32,76676.55,236.55,48.93,?,6.55
85,830.80,44724.88,1648.36,45119.16,39846.54,106.54,25.81,6.55,6.54
86,835.51,45247.90,1653.10,45644.09,5516.53,46.53,3.53,6.54,6.53
87,839.42,45147.57,1677.23,45528.85,10356.50,76.50,6.60,6.53,6.50
88,?,?,?,?,?,?,?,6.50,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1656.40,45679.51,16.39,16.39,0.01,?,6.39
93,828.79,44604.61,1620.82,44940.36,47936.39,126.39,30.33,6.39,6.39
94,824.35,44623.89,1588.07,44980.62,20516.35,76.35,12.66,6.39,6.35
95,819.73,44597.66,1585.00,44960.02,246.35,16.35,0.15,6.35,6.35
96,?,?,?,?,?,?,?,6.35,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1584.03,44963.96,12086.48,136.48,7.75,?,6.48
99,815.74,44725.03,1600.11,45096.35,16.48,16.48,0.01,6.48,6.48
100,820.16,45091.63,1609.16,45495.34,39526.20,126.20,24.44,6.48,6.20
101,824.04,45688.48,1647.89,46131.66,6186.24,66.24,3.84,6.20,6.24
102,819.29,45525.92,1602.65,45960.10,20036.55,46.55,12.52,6.24,6.55
103,?,?,?,?,?,?,?,6.55,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1590.14,45167.65,3016.23,26.23,1.88,?,6.23
106,?,?,?,?,?,?,?,6.23,?
107,796.68,43916.24,1578.30,44404.81,15296.20,116.20,9.41,?,6.20
108,787.39,43364.70,1582.90,43850.06,139245.82,335.82,81.17,6.20,5.82
109,783.37,43447.75,1551.70,43993.98,17775.86,95.86,10.35,5.82,5.86
110,?,?,?,?,?,?,?,5.86,?
111,?,?,?,?,?,?,?,?,?
