%310
@RELATION PLBRE0000012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2626.21,48107.89,3789.17,3791.86,6723.16,48389.84,13455329.00,283329.00,4441.73,?,329.00
3,2629.86,2628.36,48222.72,3797.12,3794.96,6702.54,48505.50,11690326.00,314326.00,3815.42,329.00,326.00
4,2611.26,2601.73,47888.16,3770.27,3756.50,6640.07,48143.94,17481325.50,502325.50,5690.02,326.00,325.50
5,?,?,?,?,?,?,?,?,?,?,325.50,?
6,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2578.48,47589.33,3745.58,3722.95,6569.07,47820.24,34282318.10,681318.10,10919.25,?,318.10
8,2579.49,2562.63,47379.63,3724.40,3700.06,6496.43,47624.67,28493318.00,503318.00,9047.63,318.10,318.00
9,2582.76,2567.59,47407.28,3729.12,3707.22,6538.98,47668.58,8693315.60,226315.60,2747.33,318.00,315.60
10,2592.92,2573.62,47546.91,3743.79,3715.93,6551.72,47798.66,27450317.00,591317.00,8714.71,315.60,317.00
11,2581.72,2557.93,47440.80,3727.62,3693.27,6533.47,47690.97,25813316.30,600316.30,8135.24,317.00,316.30
12,?,?,?,?,?,?,?,?,?,?,316.30,?
13,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2560.14,47470.12,3733.64,3696.46,6626.08,47724.95,44326313.00,474313.00,13899.26,?,313.00
15,2563.15,2532.42,47086.54,3700.81,3656.43,6601.96,47346.41,13210311.40,313311.40,4111.37,313.00,311.40
16,2590.04,2565.15,47521.39,3739.63,3703.70,6601.18,47794.60,13916316.80,347316.80,4340.50,311.40,316.80
17,2595.18,2567.16,47661.37,3747.05,3706.60,6661.60,47936.81,27531319.00,590319.00,8747.72,316.80,319.00
18,2603.26,2572.14,47813.69,3758.73,3713.78,6679.16,48104.67,13480320.50,379320.50,4312.87,319.00,320.50
19,?,?,?,?,?,?,?,?,?,?,320.50,?
20,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2573.67,47936.61,3760.89,3716.00,6648.10,48184.37,6924321.50,96321.50,2224.45,?,321.50
22,2598.05,2566.60,47872.80,3751.19,3705.79,6618.49,48127.89,28298321.10,200321.10,9041.65,321.50,321.10
23,2589.88,2558.39,47733.24,3739.40,3693.93,6574.77,47999.21,29254328.20,407328.20,9500.15,321.10,328.20
24,2601.37,2568.63,47942.04,3756.00,3708.72,6607.93,48203.43,28121335.00,389335.00,9252.43,328.20,335.00
25,2578.18,2542.32,47613.95,3722.51,3670.73,6602.68,47851.99,35011330.00,291330.00,11557.33,335.00,330.00
26,?,?,?,?,?,?,?,?,?,?,330.00,?
27,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2521.50,47324.06,3694.19,3640.67,6592.42,47553.14,15249330.00,299330.00,5014.73,?,330.00
29,2560.73,2524.36,47328.40,3697.32,3644.80,6585.65,47565.10,24209335.00,239335.00,8007.27,330.00,335.00
30,2532.09,2496.15,46917.19,3655.96,3604.07,6398.24,47113.08,22064329.00,621329.00,7348.04,335.00,329.00
31,2522.74,2492.76,46840.15,3642.47,3599.17,6346.89,47011.43,33901323.50,684323.50,10966.12,329.00,323.50
32,2529.59,2499.19,46945.58,3652.36,3608.45,6358.58,47121.08,21714323.00,424323.00,7008.25,323.50,323.00
33,?,?,?,?,?,?,?,?,?,?,323.00,?
34,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2469.73,46556.55,3613.18,3565.92,6358.77,46735.25,15211315.00,310315.00,4847.32,?,315.00
36,2517.38,2485.25,46674.78,3634.73,3588.33,6410.02,46862.43,44522328.00,469328.00,14336.10,315.00,328.00
37,2486.34,2455.47,46149.14,3589.91,3545.34,6389.46,46341.54,24981324.20,556324.20,8160.94,328.00,324.20
38,2495.53,2467.45,46329.66,3603.17,3562.63,6445.36,46512.72,27593327.10,481327.10,8985.47,324.20,327.10
39,2520.06,2495.42,46741.54,3638.59,3603.02,6483.61,46931.40,24457326.60,396326.60,8037.72,327.10,326.60
40,?,?,?,?,?,?,?,?,?,?,326.60,?
41,?,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2497.88,46786.74,3645.53,3606.56,6472.05,46988.04,22998331.00,508331.00,7603.49,?,331.00
43,2492.15,2470.48,46399.26,3598.29,3567.01,6478.54,46564.61,31141332.20,597332.20,10376.36,331.00,332.20
44,2492.46,2471.21,46406.74,3598.75,3568.06,6475.92,46569.81,15135332.40,268332.40,5019.11,332.20,332.40
45,2475.92,2456.36,46211.54,3574.86,3546.62,6469.15,46360.51,24140329.60,516329.60,7946.13,332.40,329.60
46,2488.01,2467.63,46370.13,3592.31,3562.89,6474.72,46523.63,32491331.10,286331.10,10759.05,329.60,331.10
47,?,?,?,?,?,?,?,?,?,?,331.10,?
48,?,?,?,?,?,?,?,?,?,?,?,?
