%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2568.59,48107.89,2644.06,3789.17,6723.16,48389.84,874389.80,4389.80,788.27,?,89.80
3,2629.86,2588.67,48222.72,2649.70,3797.12,6702.54,48505.50,638489.90,5689.90,572.42,89.80,89.90
4,2611.26,2588.47,47888.16,2625.17,3770.27,6640.07,48143.94,1395988.35,10888.35,1242.57,89.90,88.35
5,?,?,?,?,?,?,?,?,?,?,88.35,?
6,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2588.96,47589.33,2607.87,3745.58,6569.07,47820.24,799988.90,11888.90,703.74,?,88.90
8,2579.49,2587.38,47379.63,2600.99,3724.40,6496.43,47624.67,1939189.80,23589.80,1739.76,88.90,89.80
9,2582.76,2573.27,47407.28,2600.72,3729.12,6538.98,47668.58,2063389.95,13689.95,1850.54,89.80,89.95
10,2592.92,2592.53,47546.91,2611.00,3743.79,6551.72,47798.66,3950189.00,16189.00,3516.19,89.95,89.00
11,2581.72,2611.26,47440.80,2601.78,3727.62,6533.47,47690.97,6628188.10,8188.10,5862.97,89.00,88.10
12,?,?,?,?,?,?,?,?,?,?,88.10,?
13,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2605.15,47470.12,2601.51,3733.64,6626.08,47724.95,178588.15,4188.15,157.61,?,88.15
15,2563.15,2598.51,47086.54,2582.97,3700.81,6601.96,47346.41,4594688.65,7788.65,4067.42,88.15,88.65
16,2590.04,2598.53,47521.39,2609.80,3739.63,6601.18,47794.60,326288.10,6588.10,287.50,88.65,88.10
17,2595.18,2618.14,47661.37,2612.25,3747.05,6661.60,47936.81,1328788.20,6888.20,1172.16,88.10,88.20
18,2603.26,2626.72,47813.69,2633.44,3758.73,6679.16,48104.67,805088.30,8488.30,710.39,88.20,88.30
19,?,?,?,?,?,?,?,?,?,?,88.30,?
20,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2635.73,47936.61,2642.75,3760.89,6648.10,48184.37,2417888.25,14288.25,2136.80,?,88.25
22,2598.05,2636.01,47872.80,2636.08,3751.19,6618.49,48127.89,2878387.85,8387.85,2543.95,88.25,87.85
23,2589.88,2626.76,47733.24,2636.70,3739.40,6574.77,47999.21,3203788.30,25588.30,2796.30,87.85,88.30
24,2601.37,2646.20,47942.04,2650.72,3756.00,6607.93,48203.43,3708488.60,16688.60,3279.76,88.30,88.60
25,2578.18,2642.64,47613.95,2622.74,3722.51,6602.68,47851.99,558488.10,3388.10,494.13,88.60,88.10
26,?,?,?,?,?,?,?,?,?,?,88.10,?
27,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2637.81,47324.06,2591.34,3694.19,6592.42,47553.14,224988.25,2188.25,198.72,?,88.25
29,2560.73,2623.78,47328.40,2586.29,3697.32,6585.65,47565.10,34888.00,988.00,30.68,88.25,88.00
30,2532.09,2612.20,46917.19,2576.43,3655.96,6398.24,47113.08,4841887.30,5087.30,4264.35,88.00,87.30
31,2522.74,2597.73,46840.15,2575.55,3642.47,6346.89,47011.43,3746488.50,7488.50,3284.43,87.30,88.50
32,2529.59,2603.21,46945.58,2583.37,3652.36,6358.58,47121.08,3561987.00,6287.00,3103.89,88.50,87.00
33,?,?,?,?,?,?,?,?,?,?,87.00,?
34,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2609.03,46556.55,2547.25,3613.18,6358.77,46735.25,1067089.80,10789.80,936.49,?,89.80
36,2517.38,2595.69,46674.78,2560.42,3634.73,6410.02,46862.43,432688.60,5688.60,383.26,89.80,88.60
37,2486.34,2567.59,46149.14,2519.42,3589.91,6389.46,46341.54,1084588.50,9288.50,948.79,88.60,88.50
38,2495.53,2577.94,46329.66,2528.23,3603.17,6445.36,46512.72,1170090.95,9090.95,1053.86,88.50,90.95
39,2520.06,2587.53,46741.54,2552.12,3638.59,6483.61,46931.40,80690.00,2790.00,72.34,90.95,90.00
40,?,?,?,?,?,?,?,?,?,?,90.00,?
