%310
@RELATION PLCMPLD00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1136.16,48389.84,2835.52,2594913.82,13413.82,363.27,?,13.82
3,10554.18,48222.72,1132.73,48505.50,2832.46,3540313.40,17913.40,476.77,13.82,13.40
4,10519.33,47888.16,1123.30,48143.94,2814.73,9645413.01,16713.01,1258.55,13.40,13.01
5,?,?,?,?,?,?,?,?,13.01,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1117.54,47820.24,2793.31,2468213.00,5513.00,320.53,?,13.00
8,10500.71,47379.63,1107.35,47624.67,2790.64,3698012.48,14912.48,465.88,13.00,12.48
9,10503.06,47407.28,1113.00,47668.58,2784.62,1189612.60,5012.60,149.11,12.48,12.60
10,10496.80,47546.91,1127.31,47798.66,2800.96,5920612.58,15412.58,749.68,12.60,12.58
11,10595.04,47440.80,1133.34,47690.97,2815.88,4700413.08,7913.08,602.65,12.58,13.08
12,?,?,?,?,?,?,?,?,13.08,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1138.05,47724.95,2820.74,4830813.88,17313.88,647.41,?,13.88
15,10638.06,47086.54,1131.14,47346.41,2817.16,1753513.77,9113.77,240.32,13.88,13.77
16,10673.05,47521.39,1130.24,47794.60,2825.40,296713.66,3613.66,40.26,13.77,13.66
17,10767.29,47661.37,1132.34,47936.81,2848.09,8003314.45,21914.45,1134.15,13.66,14.45
18,10903.93,47813.69,1144.65,48104.67,2864.72,6092514.95,23714.95,902.09,14.45,14.95
19,?,?,?,?,?,?,?,?,14.95,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1151.79,48184.37,2890.14,4386515.37,11615.37,668.71,?,15.37
22,11073.63,47872.80,1152.16,48127.89,2892.80,12697816.05,29316.05,1975.25,15.37,16.05
23,11071.80,47733.24,1153.46,47999.21,2890.57,2709616.00,8616.00,433.28,16.05,16.00
24,11108.21,47942.04,1150.21,48203.43,2898.85,2263516.00,7816.00,361.86,16.00,16.00
25,11174.05,47613.95,1156.62,47851.99,2897.93,1992816.14,10616.14,321.76,16.00,16.14
26,?,?,?,?,?,?,?,?,16.14,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1160.03,47553.14,2886.17,4763716.95,20716.95,798.78,?,16.95
29,11165.66,47328.40,1163.93,47565.10,2878.58,5272016.85,22716.85,907.10,16.95,16.85
30,11183.61,46917.19,1153.92,47113.08,2876.68,1465716.85,8016.85,250.30,16.85,16.85
31,11245.80,46840.15,1159.78,47011.43,2880.57,4699116.85,20616.85,776.35,16.85,16.85
32,11241.00,46945.58,1158.21,47121.08,2883.81,2834116.51,15016.51,472.27,16.85,16.51
33,?,?,?,?,?,?,?,?,16.51,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1147.63,46735.25,2856.17,4994416.80,17216.80,844.62,?,16.80
