%310
@RELATION PLDELKO00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,16012.27,52.27,3.26,?,2.27
3,783.15,48222.72,48505.50,216502.05,252.05,43.73,2.27,2.05
4,781.69,47888.16,48143.94,66302.25,132.25,14.15,2.05,2.25
5,?,?,?,?,?,?,2.25,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,91812.45,102.45,20.63,?,2.45
8,780.70,47379.63,47624.67,145932.76,352.76,35.83,2.45,2.76
9,784.82,47407.28,47668.58,23302.77,72.77,6.44,2.76,2.77
10,788.85,47546.91,47798.66,205472.85,492.85,55.74,2.77,2.85
11,795.36,47440.80,47690.97,80832.88,322.88,21.91,2.85,2.88
12,?,?,?,?,?,?,2.88,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,39002.79,122.79,10.46,?,2.79
15,794.59,47086.54,47346.41,107372.70,212.70,27.79,2.79,2.70
16,796.34,47521.39,47794.60,5002.78,12.78,1.39,2.70,2.78
17,803.56,47661.37,47936.81,117302.88,232.88,32.85,2.78,2.88
18,807.72,47813.69,48104.67,161873.33,423.33,49.36,2.88,3.33
19,?,?,?,?,?,?,3.33,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,127373.26,253.26,41.46,?,3.26
22,808.23,47872.80,48127.89,17563.32,103.32,5.47,3.26,3.32
23,808.40,47733.24,47999.21,503.32,13.32,0.17,3.32,3.32
24,811.80,47942.04,48203.43,5403.20,43.20,1.72,3.32,3.20
25,812.99,47613.95,47851.99,114933.38,193.38,38.62,3.20,3.38
26,?,?,?,?,?,?,3.38,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,27633.37,83.37,9.03,?,3.37
29,815.93,47328.40,47565.10,36913.25,133.25,12.20,3.37,3.25
30,815.59,46917.19,47113.08,13763.20,103.20,4.30,3.25,3.20
31,817.14,46840.15,47011.43,3773.19,33.19,1.20,3.20,3.19
32,818.68,46945.58,47121.08,6003.18,33.18,1.91,3.19,3.18
33,?,?,?,?,?,?,3.18,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,473.17,13.17,0.15,?,3.17
36,816.68,46674.78,46862.43,03.17,03.17,0.00,3.17,3.17
37,813.75,46149.14,46341.54,29823.25,63.25,9.58,3.17,3.25
