%310
@RELATION PLDRZPL00032
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,1194810.81,820.81,96.24,?,0.81
3,783.15,48222.72,48505.50,535120.82,350.82,44.15,0.81,0.82
4,781.69,47888.16,48143.94,159800.83,180.83,12.90,0.82,0.83
5,?,?,?,?,?,?,0.83,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,21200.82,30.82,1.74,?,0.82
8,780.70,47379.63,47624.67,133600.84,180.84,11.20,0.82,0.84
9,784.82,47407.28,47668.58,508200.88,440.88,44.09,0.84,0.88
10,788.85,47546.91,47798.66,258170.89,190.89,22.98,0.88,0.89
11,795.36,47440.80,47690.97,93600.90,80.90,8.34,0.89,0.90
12,?,?,?,?,?,?,0.90,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,133620.85,180.85,11.48,?,0.85
15,794.59,47086.54,47346.41,158380.83,120.83,13.24,0.85,0.83
16,796.34,47521.39,47794.60,54740.85,60.85,4.62,0.83,0.85
17,803.56,47661.37,47936.81,64050.84,50.84,5.39,0.85,0.84
18,807.72,47813.69,48104.67,72100.83,80.83,6.03,0.84,0.83
19,?,?,?,?,?,?,0.83,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,425370.82,170.82,34.86,?,0.82
22,808.23,47872.80,48127.89,243920.81,160.81,19.76,0.82,0.81
23,808.40,47733.24,47999.21,232420.81,190.81,18.71,0.81,0.81
24,811.80,47942.04,48203.43,148950.81,100.81,12.04,0.81,0.81
25,812.99,47613.95,47851.99,106000.81,90.81,8.51,0.81,0.81
26,?,?,?,?,?,?,0.81,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,24510.81,100.81,1.97,?,0.81
29,815.93,47328.40,47565.10,15340.81,50.81,1.24,0.81,0.81
30,815.59,46917.19,47113.08,121760.79,80.79,9.62,0.81,0.79
31,817.14,46840.15,47011.43,58020.80,120.80,4.54,0.79,0.80
32,818.68,46945.58,47121.08,791650.77,350.77,59.65,0.80,0.77
33,?,?,?,?,?,?,0.77,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,49690.77,80.77,3.83,?,0.77
36,816.68,46674.78,46862.43,22060.79,30.79,1.73,0.77,0.79
37,813.75,46149.14,46341.54,38110.78,50.78,2.99,0.79,0.78
38,811.13,46329.66,46512.72,00.78,00.78,0.00,0.78,0.78
39,813.77,46741.54,46931.40,200.78,40.78,0.02,0.78,0.78
40,?,?,?,?,?,?,0.78,?
41,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,15640.75,30.75,1.17,?,0.75
43,817.32,46399.26,46564.61,161700.75,80.75,12.03,0.75,0.75
44,817.35,46406.74,46569.81,170770.75,180.75,12.78,0.75,0.75
45,818.81,46211.54,46360.51,148200.73,120.73,11.01,0.75,0.73
46,826.73,46370.13,46523.63,97110.75,80.75,7.25,0.73,0.75
47,?,?,?,?,?,?,0.75,?
48,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,79350.75,100.75,5.93,?,0.75
50,832.30,46490.89,46652.19,395680.74,160.74,29.27,0.75,0.74
51,830.62,46051.76,46198.42,17190.74,40.74,1.28,0.74,0.74
52,823.32,45879.90,46050.52,3410.76,80.76,0.25,0.74,0.76
53,826.66,45948.12,46124.82,75350.76,100.76,5.64,0.76,0.76
54,?,?,?,?,?,?,0.76,?
55,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,58060.75,60.75,4.39,?,0.75
57,828.81,45868.35,46065.85,5250.73,20.73,0.38,0.75,0.73
58,836.69,46241.92,46459.99,3200.74,100.74,0.23,0.73,0.74
59,844.08,46280.36,46510.83,88750.73,130.73,6.55,0.74,0.73
60,842.02,46341.14,46622.90,173870.73,120.73,12.68,0.73,0.73
61,?,?,?,?,?,?,0.73,?
62,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,101620.74,150.74,7.52,?,0.74
64,845.88,46676.09,47001.38,51000.71,30.71,3.62,0.74,0.71
65,849.88,46762.65,47090.49,76430.73,60.73,5.42,0.71,0.73
66,855.99,46745.26,47060.66,207430.72,90.72,14.89,0.73,0.72
67,861.67,47074.39,47436.21,1441540.75,560.75,106.13,0.72,0.75
68,?,?,?,?,?,?,0.75,?
69,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,303470.78,280.78,22.99,?,0.78
71,866.79,47010.40,47340.43,120830.73,150.73,9.16,0.78,0.73
72,872.90,46888.37,47235.72,176800.77,190.77,13.32,0.73,0.77
73,871.52,47223.68,47606.16,3920.77,20.77,0.30,0.77,0.77
74,873.21,47125.93,47522.10,295010.80,230.80,23.24,0.77,0.80
75,?,?,?,?,?,?,0.80,?
76,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,27870.78,50.78,2.19,?,0.78
78,864.73,46029.35,46473.62,126600.78,90.78,9.70,0.78,0.78
79,862.97,46068.24,46511.62,145930.80,100.80,11.33,0.78,0.80
80,850.86,45580.47,46017.88,543920.83,440.83,44.65,0.80,0.83
81,845.32,45066.18,45473.08,527750.82,290.82,43.29,0.83,0.82
82,?,?,?,?,?,?,0.82,?
83,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,288410.77,210.77,22.71,?,0.77
85,830.80,44724.88,45119.16,91180.79,90.79,7.21,0.77,0.79
86,835.51,45247.90,45644.09,622790.78,350.78,47.66,0.79,0.78
87,839.42,45147.57,45528.85,93220.78,80.78,7.18,0.78,0.78
88,?,?,?,?,?,?,0.78,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,840.31,45304.74,45679.51,1600.78,50.78,0.13,?,0.78
93,828.79,44604.61,44940.36,24900.79,80.79,1.88,0.78,0.79
94,824.35,44623.89,44980.62,571120.83,220.83,46.40,0.79,0.83
95,819.73,44597.66,44960.02,66800.82,70.82,5.35,0.83,0.82
96,?,?,?,?,?,?,0.82,?
97,?,?,?,?,?,?,?,?
98,818.75,44590.97,44963.96,20800.81,40.81,1.66,?,0.81
99,815.74,44725.03,45096.35,73460.83,150.83,6.02,0.81,0.83
100,820.16,45091.63,45495.34,151050.80,100.80,11.91,0.83,0.80
101,824.04,45688.48,46131.66,92020.81,60.81,7.05,0.80,0.81
102,819.29,45525.92,45960.10,54070.80,80.80,4.12,0.81,0.80
103,?,?,?,?,?,?,0.80,?
104,?,?,?,?,?,?,?,?
105,814.07,44724.14,45167.65,46590.80,70.80,3.54,?,0.80
106,?,?,?,?,?,?,0.80,?
107,796.68,43916.24,44404.81,170170.75,70.75,12.66,?,0.75
108,787.39,43364.70,43850.06,20000.75,30.75,1.50,0.75,0.75
109,783.37,43447.75,43993.98,4590.74,20.74,0.34,0.75,0.74
110,?,?,?,?,?,?,0.74,?
111,?,?,?,?,?,?,?,?
112,776.37,43360.30,43892.82,550500.61,300.61,35.07,?,0.61
113,769.16,43159.57,43707.88,232200.62,210.62,13.83,0.61,0.62
114,769.82,43356.73,43908.95,111490.62,130.62,6.73,0.62,0.62
115,774.88,43482.18,44027.03,51250.65,70.65,3.28,0.62,0.65
116,777.86,43665.21,44226.06,16530.65,50.65,1.06,0.65,0.65
117,?,?,?,?,?,?,0.65,?
118,?,?,?,?,?,?,?,?
119,779.98,43882.16,44420.22,62200.65,70.65,3.89,?,0.65
120,784.81,44162.18,44653.34,15010.64,30.64,0.93,0.65,0.64
121,?,?,?,?,?,?,0.64,?
122,787.45,43991.51,44466.89,21090.65,50.65,1.31,?,0.65
