%310
@RELATION PLELPO000016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,105270.39,80.39,4.01,?,0.39
3,783.15,48222.72,1422.15,48505.50,2832.46,20.39,20.39,0.00,0.39,0.39
4,781.69,47888.16,1424.57,48143.94,2814.73,310150.38,110.38,11.77,0.39,0.38
5,?,?,?,?,?,?,?,?,0.38,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,56270.38,60.38,2.13,?,0.38
8,780.70,47379.63,1416.22,47624.67,2790.64,94020.38,50.38,3.48,0.38,0.38
9,784.82,47407.28,1418.24,47668.58,2784.62,30320.38,70.38,1.15,0.38,0.38
10,788.85,47546.91,1427.00,47798.66,2800.96,1920.39,40.39,0.07,0.38,0.39
11,795.36,47440.80,1431.50,47690.97,2815.88,24270.39,50.39,0.92,0.39,0.39
12,?,?,?,?,?,?,?,?,0.39,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,379160.39,200.39,14.98,?,0.39
15,794.59,47086.54,1424.03,47346.41,2817.16,682160.40,190.40,27.28,0.39,0.40
16,796.34,47521.39,1459.06,47794.60,2825.40,160210.40,90.40,6.22,0.40,0.40
17,803.56,47661.37,1480.62,47936.81,2848.09,20.40,20.40,0.00,0.40,0.40
18,807.72,47813.69,1463.04,48104.67,2864.72,7440.40,50.40,0.29,0.40,0.40
19,?,?,?,?,?,?,?,?,0.40,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,17820.40,70.40,0.70,?,0.40
22,808.23,47872.80,1474.10,48127.89,2892.80,36010.39,40.39,1.37,0.40,0.39
23,808.40,47733.24,1466.26,47999.21,2890.57,30010.39,70.39,1.14,0.39,0.39
24,811.80,47942.04,1462.14,48203.43,2898.85,601290.39,200.39,22.87,0.39,0.39
25,812.99,47613.95,1453.75,47851.99,2897.93,2627270.39,620.39,105.59,0.39,0.39
26,?,?,?,?,?,?,?,?,0.39,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1428.40,47553.14,2886.17,31480.39,70.39,1.21,?,0.39
29,815.93,47328.40,1414.71,47565.10,2878.58,454880.39,180.39,17.56,0.39,0.39
30,815.59,46917.19,1409.63,47113.08,2876.68,235770.39,120.39,8.93,0.39,0.39
31,817.14,46840.15,1412.77,47011.43,2880.57,20.39,20.39,0.00,0.39,0.39
32,818.68,46945.58,1424.75,47121.08,2883.81,91320.39,70.39,3.47,0.39,0.39
33,?,?,?,?,?,?,?,?,0.39,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1376.74,46735.25,2856.17,10840.39,40.39,0.41,?,0.39
36,816.68,46674.78,1376.05,46862.43,2843.49,47070.39,80.39,1.79,0.39,0.39
37,813.75,46149.14,1368.56,46341.54,2811.05,66410.38,90.38,2.52,0.39,0.38
38,811.13,46329.66,1379.50,46512.72,2815.91,86190.38,100.38,3.19,0.38,0.38
39,813.77,46741.54,1389.85,46931.40,2825.70,61370.39,80.39,2.33,0.38,0.39
40,?,?,?,?,?,?,?,?,0.39,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1393.28,46988.04,2826.84,20.39,20.39,0.00,?,0.39
43,817.32,46399.26,1383.89,46564.61,2821.25,94270.38,90.38,3.56,0.39,0.38
44,817.35,46406.74,1354.82,46569.81,2825.02,360190.37,140.37,13.33,0.38,0.37
45,818.81,46211.54,1313.43,46360.51,2825.15,166070.37,80.37,5.98,0.37,0.37
46,826.73,46370.13,1349.87,46523.63,2838.22,115470.37,100.37,4.26,0.37,0.37
47,?,?,?,?,?,?,?,?,0.37,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1365.73,46665.39,2848.48,50930.37,70.37,1.88,?,0.37
50,832.30,46490.89,1352.40,46652.19,2843.90,47040.39,70.39,1.79,0.37,0.39
51,830.62,46051.76,1342.16,46198.42,2831.71,120710.39,90.39,4.58,0.39,0.39
52,823.32,45879.90,1322.82,46050.52,2801.83,18920.38,50.38,0.70,0.39,0.38
53,826.66,45948.12,1345.82,46124.82,2817.57,5020.38,30.38,0.19,0.38,0.38
54,?,?,?,?,?,?,?,?,0.38,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1357.55,46487.05,2840.57,6780.38,40.38,0.25,?,0.38
57,828.81,45868.35,1359.10,46065.85,2831.16,45020.38,30.38,1.67,0.38,0.38
58,836.69,46241.92,1359.06,46459.99,2855.69,3990.38,50.38,0.15,0.38,0.38
59,844.08,46280.36,1354.30,46510.83,2865.27,146520.39,110.39,5.57,0.38,0.39
60,842.02,46341.14,1347.19,46622.90,2859.05,24020.39,30.39,0.91,0.39,0.39
61,?,?,?,?,?,?,?,?,0.39,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1363.77,46454.13,2860.68,338680.38,130.38,12.54,?,0.38
64,845.88,46676.09,1397.73,47001.38,2868.06,19180.38,60.38,0.69,0.38,0.38
65,849.88,46762.65,1387.52,47090.49,2872.90,17610.38,30.38,0.65,0.38,0.38
66,855.99,46745.26,1372.44,47060.66,2873.49,1229170.39,390.39,47.94,0.38,0.39
67,861.67,47074.39,1370.33,47436.21,2906.74,480850.40,170.40,18.33,0.39,0.40
68,?,?,?,?,?,?,?,?,0.40,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1396.97,47269.75,2914.24,5600.40,50.40,0.22,?,0.40
71,866.79,47010.40,1423.31,47340.43,2911.38,1158220.42,510.42,47.77,0.40,0.42
72,872.90,46888.37,1423.72,47235.72,2901.67,186100.42,100.42,7.77,0.42,0.42
73,871.52,47223.68,1436.51,47606.16,2912.13,33970.40,80.40,1.36,0.42,0.40
74,873.21,47125.93,1431.31,47522.10,2909.77,267750.40,100.40,10.54,0.40,0.40
75,?,?,?,?,?,?,?,?,0.40,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1419.01,47094.18,2900.59,31220.40,50.40,1.22,?,0.40
78,864.73,46029.35,1400.23,46473.62,2868.24,105020.40,70.40,4.13,0.40,0.40
79,862.97,46068.24,1396.66,46511.62,2874.75,67690.40,50.40,2.64,0.40,0.40
80,850.86,45580.47,1372.60,46017.88,2833.61,40010.38,40.38,1.55,0.40,0.38
81,845.32,45066.18,1354.95,45473.08,2800.67,38900.39,80.39,1.49,0.38,0.39
82,?,?,?,?,?,?,?,?,0.39,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1336.25,44946.32,2780.21,77640.39,80.39,2.92,?,0.39
85,830.80,44724.88,1334.81,45119.16,2774.13,53810.39,80.39,2.02,0.39,0.39
86,835.51,45247.90,1332.17,45644.09,2785.46,3100.38,30.38,0.11,0.39,0.38
87,839.42,45147.57,1335.61,45528.85,2797.31,6850.39,40.39,0.26,0.38,0.39
88,?,?,?,?,?,?,?,?,0.39,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1342.68,45679.51,2814.33,27160.39,50.39,1.03,?,0.39
93,828.79,44604.61,1315.67,44940.36,2769.02,142890.39,70.39,5.43,0.39,0.39
94,824.35,44623.89,1312.91,44980.62,2766.19,10.39,10.39,0.00,0.39,0.39
95,819.73,44597.66,1319.91,44960.02,2760.91,72180.37,50.37,2.67,0.39,0.37
96,?,?,?,?,?,?,?,?,0.37,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1329.86,44963.96,2764.28,125310.39,60.39,4.67,?,0.39
99,815.74,44725.03,1322.63,45096.35,2767.26,51010.38,80.38,1.95,0.39,0.38
100,820.16,45091.63,1341.74,45495.34,2780.21,124710.38,80.38,4.66,0.38,0.38
101,824.04,45688.48,1350.66,46131.66,2794.43,261220.38,80.38,9.67,0.38,0.38
102,819.29,45525.92,1356.50,45960.10,2783.53,82020.38,90.38,2.98,0.38,0.38
103,?,?,?,?,?,?,?,?,0.38,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1314.18,45167.65,2754.91,7520.38,30.38,0.28,?,0.38
106,?,?,?,?,?,?,?,?,0.38,?
107,796.68,43916.24,1291.19,44404.81,2705.88,215010.39,170.39,8.13,?,0.39
108,787.39,43364.70,1280.02,43850.06,2695.55,153050.37,80.37,5.66,0.39,0.37
109,783.37,43447.75,1280.06,43993.98,2685.57,188510.38,50.38,6.97,0.37,0.38
110,?,?,?,?,?,?,?,?,0.38,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1292.08,43892.82,2660.28,8810.38,30.38,0.33,?,0.38
113,769.16,43159.57,1277.53,43707.88,2624.40,295610.37,50.37,10.94,0.38,0.37
114,769.82,43356.73,1283.16,43908.95,2636.70,329070.35,170.35,11.52,0.37,0.35
115,774.88,43482.18,1295.48,44027.03,2658.57,249780.32,90.32,7.99,0.35,0.32
116,777.86,43665.21,1299.40,44226.06,2669.93,66070.33,80.33,2.17,0.32,0.33
117,?,?,?,?,?,?,?,?,0.33,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1311.59,44420.22,2685.14,94930.34,90.34,3.05,?,0.34
120,784.81,44162.18,1303.66,44653.34,2704.84,53900.34,50.34,1.70,0.34,0.34
121,?,?,?,?,?,?,?,?,0.34,?
122,787.45,43991.51,1274.69,44466.89,2695.22,66640.34,60.34,2.20,?,0.34
123,?,?,?,?,?,?,?,?,0.34,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1283.84,45060.80,2714.72,21560.33,50.33,0.70,?,0.33
127,793.09,44742.22,1301.78,45244.29,2733.96,52610.34,60.34,1.72,0.33,0.34
128,798.10,45117.94,1318.36,45647.76,2752.14,25270.35,70.35,0.86,0.34,0.35
129,800.71,44943.16,1323.45,45475.08,2760.20,10030.35,40.35,0.35,0.35,0.35
130,800.42,44895.35,1326.21,45408.06,2769.85,20.34,20.34,0.00,0.35,0.34
131,?,?,?,?,?,?,?,?,0.34,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1330.79,45746.01,2790.62,117080.34,130.34,3.76,?,0.34
134,804.49,45771.11,1313.36,46336.62,2822.41,20.34,20.34,0.00,0.34,0.34
