%310
@RELATION PLERBUD00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,48107.89,1718.26,48389.84,2835.52,225013.99,2213.99,31.79,?,13.99
3,48222.72,1714.83,48505.50,2832.46,172113.99,2013.99,24.23,13.99,13.99
4,47888.16,1719.23,48143.94,2814.73,232414.01,2114.01,32.67,13.99,14.01
5,?,?,?,?,?,?,?,14.01,?
6,?,?,?,?,?,?,?,?,?
7,47589.33,1719.82,47820.24,2793.31,215313.80,2613.80,30.47,?,13.80
8,47379.63,1714.18,47624.67,2790.64,592213.60,4313.60,78.66,13.80,13.60
9,47407.28,1722.98,47668.58,2784.62,592713.80,4613.80,79.63,13.60,13.80
10,47546.91,1717.51,47798.66,2800.96,606014.50,5214.50,87.18,13.80,14.50
11,47440.80,1761.65,47690.97,2815.88,502014.99,4614.99,74.95,14.50,14.99
12,?,?,?,?,?,?,?,14.99,?
13,?,?,?,?,?,?,?,?,?
14,47470.12,1787.10,47724.95,2820.74,171814.70,1814.70,25.30,?,14.70
15,47086.54,1789.24,47346.41,2817.16,443314.67,2514.67,65.00,14.70,14.67
16,47521.39,1813.57,47794.60,2825.40,979914.60,714.60,143.02,14.67,14.60
17,47661.37,1796.76,47936.81,2848.09,39414.35,414.35,5.64,14.60,14.35
18,47813.69,1830.45,48104.67,2864.72,124414.30,1214.30,17.77,14.35,14.30
19,?,?,?,?,?,?,?,14.30,?
20,?,?,?,?,?,?,?,?,?
21,47936.61,1829.00,48184.37,2890.14,36014.31,414.31,5.15,?,14.31
22,47872.80,1822.02,48127.89,2892.80,500914.00,2614.00,70.39,14.31,14.00
