%310
@RELATION PLFERUM00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,31347.82,157.82,24.38,?,7.82
3,783.15,48222.72,48505.50,2832.46,153737.88,407.88,122.55,7.82,7.88
4,781.69,47888.16,48143.94,2814.73,10077.90,77.90,7.84,7.88,7.90
5,?,?,?,?,?,?,?,7.90,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,30957.70,97.70,23.85,?,7.70
8,780.70,47379.63,47624.67,2790.64,48337.69,227.69,36.62,7.70,7.69
9,784.82,47407.28,47668.58,2784.62,5067.56,47.56,3.84,7.69,7.56
10,788.85,47546.91,47798.66,2800.96,35097.25,247.25,25.54,7.56,7.25
11,795.36,47440.80,47690.97,2815.88,37697.10,137.10,27.05,7.25,7.10
12,?,?,?,?,?,?,?,7.10,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,53147.01,347.01,37.47,?,7.01
15,794.59,47086.54,47346.41,2817.16,41106.97,166.97,28.92,7.01,6.97
16,796.34,47521.39,47794.60,2825.40,5607.09,27.09,3.97,6.97,7.09
17,803.56,47661.37,47936.81,2848.09,89227.49,337.49,65.70,7.09,7.49
18,807.72,47813.69,48104.67,2864.72,34157.39,207.39,24.75,7.49,7.39
19,?,?,?,?,?,?,?,7.39,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,3267.45,67.45,2.45,?,7.45
22,808.23,47872.80,48127.89,2892.80,20077.35,137.35,14.31,7.45,7.35
23,808.40,47733.24,47999.21,2890.57,8027.12,67.12,5.72,7.35,7.12
24,811.80,47942.04,48203.43,2898.85,66736.97,246.97,46.71,7.12,6.97
25,812.99,47613.95,47851.99,2897.93,42527.07,257.07,29.81,6.97,7.07
26,?,?,?,?,?,?,?,7.07,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,3666.91,56.91,2.54,?,6.91
29,815.93,47328.40,47565.10,2878.58,13367.24,67.24,9.51,6.91,7.24
30,815.59,46917.19,47113.08,2876.68,15247.24,177.24,11.08,7.24,7.24
31,817.14,46840.15,47011.43,2880.57,16627.22,47.22,12.00,7.24,7.22
32,818.68,46945.58,47121.08,2883.81,5407.08,77.08,3.85,7.22,7.08
33,?,?,?,?,?,?,?,7.08,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,6696.98,46.98,4.67,?,6.98
36,816.68,46674.78,46862.43,2843.49,65197.09,197.09,45.48,6.98,7.09
37,813.75,46149.14,46341.54,2811.05,78406.98,166.98,55.11,7.09,6.98
38,811.13,46329.66,46512.72,2815.91,10836.91,86.91,7.59,6.98,6.91
39,813.77,46741.54,46931.40,2825.70,5106.92,26.92,3.53,6.91,6.92
40,?,?,?,?,?,?,?,6.92,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,15847.00,67.00,10.98,?,7.00
43,817.32,46399.26,46564.61,2821.25,1026.93,26.93,0.71,7.00,6.93
44,817.35,46406.74,46569.81,2825.02,6916.80,46.80,4.76,6.93,6.80
45,818.81,46211.54,46360.51,2825.15,23736.85,66.85,16.21,6.80,6.85
46,826.73,46370.13,46523.63,2838.22,16756.96,46.96,11.66,6.85,6.96
47,?,?,?,?,?,?,?,6.96,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2848.48,32626.95,96.95,22.67,?,6.95
50,832.30,46490.89,46652.19,2843.90,55136.80,76.80,38.08,6.95,6.80
51,830.62,46051.76,46198.42,2831.71,36.75,16.75,0.02,6.80,6.75
52,823.32,45879.90,46050.52,2801.83,29536.55,196.55,19.47,6.75,6.55
53,826.66,45948.12,46124.82,2817.57,24186.84,86.84,15.85,6.55,6.84
54,?,?,?,?,?,?,?,6.84,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,2840.57,4396.79,76.79,2.93,?,6.79
57,828.81,45868.35,46065.85,2831.16,31567.05,167.05,21.46,6.79,7.05
58,836.69,46241.92,46459.99,2855.69,9877.14,77.14,6.99,7.05,7.14
59,844.08,46280.36,46510.83,2865.27,17537.14,67.14,12.50,7.14,7.14
60,842.02,46341.14,46622.90,2859.05,5637.14,77.14,4.12,7.14,7.14
61,?,?,?,?,?,?,?,7.14,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,2860.68,37.14,17.14,0.02,?,7.14
64,845.88,46676.09,47001.38,2868.06,5007.20,47.20,3.60,7.14,7.20
65,849.88,46762.65,47090.49,2872.90,54797.44,207.44,40.21,7.20,7.44
66,855.99,46745.26,47060.66,2873.49,96967.80,417.80,75.40,7.44,7.80
67,861.67,47074.39,47436.21,2906.74,41947.55,297.55,32.72,7.80,7.55
68,?,?,?,?,?,?,?,7.55,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,2914.24,9307.71,87.71,7.16,?,7.71
71,866.79,47010.40,47340.43,2911.38,18077.70,187.70,13.89,7.71,7.70
72,872.90,46888.37,47235.72,2901.67,70027.72,197.72,52.79,7.70,7.72
73,871.52,47223.68,47606.16,2912.13,2737.72,27.72,2.11,7.72,7.72
74,873.21,47125.93,47522.10,2909.77,7217.75,97.75,5.57,7.72,7.75
75,?,?,?,?,?,?,?,7.75,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,2900.59,46587.33,237.33,34.99,?,7.33
78,864.73,46029.35,46473.62,2868.24,26227.30,127.30,19.17,7.33,7.30
79,862.97,46068.24,46511.62,2874.75,5397.31,47.31,3.94,7.30,7.31
80,850.86,45580.47,46017.88,2833.61,55457.08,147.08,40.10,7.31,7.08
81,845.32,45066.18,45473.08,2800.67,6217.07,47.07,4.36,7.08,7.07
82,?,?,?,?,?,?,?,7.07,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,2780.21,18886.98,116.98,13.31,?,6.98
85,830.80,44724.88,45119.16,2774.13,48987.53,257.53,34.12,6.98,7.53
86,835.51,45247.90,45644.09,2785.46,18106.98,156.98,12.81,7.53,6.98
87,839.42,45147.57,45528.85,2797.31,1106.98,36.98,0.77,6.98,6.98
88,?,?,?,?,?,?,?,6.98,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,45679.51,2814.33,20107.00,107.00,14.14,?,7.00
93,828.79,44604.61,44940.36,2769.02,23606.99,86.99,16.53,7.00,6.99
94,824.35,44623.89,44980.62,2766.19,28247.10,137.10,19.85,6.99,7.10
95,819.73,44597.66,44960.02,2760.91,92576.50,326.50,62.32,7.10,6.50
96,?,?,?,?,?,?,?,6.50,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,44963.96,2764.28,38396.82,166.82,25.73,?,6.82
99,815.74,44725.03,45096.35,2767.26,32046.91,196.91,22.66,6.82,6.91
100,820.16,45091.63,45495.34,2780.21,14016.86,76.86,9.83,6.91,6.86
101,824.04,45688.48,46131.66,2794.43,18506.89,66.89,12.73,6.86,6.89
102,819.29,45525.92,45960.10,2783.53,56927.02,197.02,40.70,6.89,7.02
103,?,?,?,?,?,?,?,7.02,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,45167.65,2754.91,21627.54,87.54,15.89,?,7.54
106,?,?,?,?,?,?,?,7.54,?
107,796.68,43916.24,44404.81,2705.88,9807.38,107.38,7.11,?,7.38
108,787.39,43364.70,43850.06,2695.55,29066.81,216.81,20.45,7.38,6.81
109,783.37,43447.75,43993.98,2685.57,5696.85,46.85,3.90,6.81,6.85
110,?,?,?,?,?,?,?,6.85,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,43892.82,2660.28,10016.85,66.85,6.86,?,6.85
113,769.16,43159.57,43707.88,2624.40,1694356.83,96.83,1157.04,6.85,6.83
114,769.82,43356.73,43908.95,2636.70,15766.85,76.85,11.19,6.83,6.85
115,774.88,43482.18,44027.03,2658.57,45447.02,207.02,33.68,6.85,7.02
116,777.86,43665.21,44226.06,2669.93,28857.12,77.12,21.53,7.02,7.12
117,?,?,?,?,?,?,?,7.12,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,44420.22,2685.14,107.16,17.16,0.07,?,7.16
120,784.81,44162.18,44653.34,2704.84,1027.44,27.44,0.76,7.16,7.44
121,?,?,?,?,?,?,?,7.44,?
122,787.45,43991.51,44466.89,2695.22,3827.43,57.43,2.77,?,7.43
123,?,?,?,?,?,?,?,7.43,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,45060.80,2714.72,19587.25,77.25,14.48,?,7.25
127,793.09,44742.22,45244.29,2733.96,7917.45,57.45,5.89,7.25,7.45
128,798.10,45117.94,45647.76,2752.14,85007.55,107.55,64.24,7.45,7.55
129,800.71,44943.16,45475.08,2760.20,31747.51,137.51,24.20,7.55,7.51
130,800.42,44895.35,45408.06,2769.85,28697.56,167.56,22.33,7.51,7.56
131,?,?,?,?,?,?,?,7.56,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,45746.01,2790.62,36447.59,137.59,28.29,?,7.59
134,804.49,45771.11,46336.62,2822.41,158038.11,378.11,124.22,7.59,8.11
135,802.28,46102.42,46676.61,2848.38,12028.30,98.30,9.84,8.11,8.30
136,806.45,45992.03,46581.16,2871.70,16417.90,157.90,12.71,8.30,7.90
137,810.69,46078.68,46646.58,2885.19,17457.90,197.90,13.61,7.90,7.90
138,?,?,?,?,?,?,?,7.90,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,46615.31,2921.95,627.90,17.90,0.49,?,7.90
141,819.76,45851.80,46439.10,2893.12,977.61,27.61,0.74,7.90,7.61
142,818.82,45933.66,46529.96,2912.70,397.59,27.59,0.30,7.61,7.59
143,814.69,45687.76,46311.26,2894.53,3567.49,47.49,2.57,7.59,7.49
144,820.11,46145.44,46783.61,2929.62,2507.34,47.34,1.85,7.49,7.34
145,?,?,?,?,?,?,?,7.34,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,47957.54,2976.83,2037.50,27.50,1.52,?,7.50
148,838.40,47579.87,48258.02,2997.81,4357.32,77.32,3.19,7.50,7.32
149,842.72,47476.64,48138.07,3000.58,26707.47,97.47,19.01,7.32,7.47
150,?,?,?,?,?,?,?,7.47,?
151,841.72,47806.34,48503.87,2994.25,26337.45,127.45,19.91,?,7.45
152,?,?,?,?,?,?,?,7.45,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,47868.36,2970.24,100737.02,347.02,71.87,?,7.02
155,854.67,47620.68,48323.88,2998.79,27567.01,57.01,19.34,7.02,7.01
156,859.35,47805.94,48513.29,3026.87,12117.00,57.00,8.47,7.01,7.00
157,864.95,47573.66,48259.19,3020.15,8507.21,17.21,6.13,7.00,7.21
158,866.67,48209.65,48918.37,3044.38,1937.12,47.12,1.34,7.21,7.12
159,?,?,?,?,?,?,?,7.12,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,49207.65,3065.91,22707.01,117.01,16.10,?,7.01
162,870.60,48324.52,49050.96,3074.89,61347.01,167.01,43.00,7.01,7.01
163,878.91,48383.93,49098.70,3098.83,2657.01,47.01,1.87,7.01,7.01
164,877.48,48152.82,48890.47,3089.32,31007.04,77.04,21.73,7.01,7.04
165,880.65,48273.42,49057.66,3092.65,67.14,17.14,0.04,7.04,7.14
166,?,?,?,?,?,?,?,7.14,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,48917.56,3100.24,19817.10,107.10,14.09,?,7.10
169,886.71,48119.72,48891.04,3120.39,57.19,17.19,0.04,7.10,7.19
170,885.25,47743.10,48509.84,3122.21,32676.90,136.90,22.74,7.19,6.90
171,864.38,45870.00,46587.68,3038.18,10806.91,66.91,7.45,6.90,6.91
172,855.18,44732.92,45456.77,3001.68,87.12,17.12,0.06,6.91,7.12
173,?,?,?,?,?,?,?,7.12,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,45531.46,2990.89,8407.10,57.10,5.72,?,7.10
176,863.23,44966.09,45672.10,2999.31,1387.10,17.10,0.98,7.10,7.10
177,858.05,44893.99,45601.51,2972.55,17.10,17.10,0.01,7.10,7.10
178,847.97,43667.37,44326.49,2915.58,6657.09,47.09,4.55,7.10,7.09
179,848.08,44747.79,45442.51,2948.80,34696.80,76.80,23.71,7.09,6.80
180,?,?,?,?,?,?,?,6.80,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,45461.06,2963.91,506.80,16.80,0.34,?,6.80
183,853.37,45533.94,46254.71,2981.48,12006.75,46.75,8.23,6.80,6.75
184,850.45,45184.98,45899.36,2971.57,4826.76,56.76,3.26,6.75,6.76
185,855.94,45613.75,46344.42,2988.19,4316.76,46.76,2.91,6.76,6.76
186,851.88,45110.89,45805.34,2977.06,14647.04,97.04,9.88,6.76,7.04
187,?,?,?,?,?,?,?,7.04,?
188,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,45172.40,2948.16,27.04,17.04,0.01,?,7.04
190,842.60,44342.23,44969.23,2924.69,10566.75,76.75,7.14,7.04,6.75
191,844.03,45068.55,45727.71,2962.09,3496.65,46.65,2.32,6.75,6.65
192,845.84,45712.72,46390.36,2992.86,3776.66,26.66,2.51,6.65,6.66
193,849.99,46150.78,46839.89,3017.66,10506.90,56.90,7.20,6.66,6.90
194,?,?,?,?,?,?,?,6.90,?
195,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,46922.43,3022.70,16.90,16.90,0.01,?,6.90
197,847.84,46155.10,46860.35,3017.11,2966.62,46.62,1.97,6.90,6.62
198,845.85,46287.08,47003.76,3021.27,26926.40,106.40,17.39,6.62,6.40
199,845.70,46221.23,46919.83,3023.16,30356.42,116.42,19.58,6.40,6.42
200,848.06,46399.74,47120.88,3019.85,18866.41,76.41,12.11,6.42,6.41
201,?,?,?,?,?,?,?,6.41,?
202,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,47075.43,3021.70,14486.21,86.21,9.22,?,6.21
204,852.44,46714.43,47454.90,3029.97,27476.31,106.31,17.72,6.21,6.31
205,858.02,46835.98,47575.74,3050.63,11106.31,76.31,7.00,6.31,6.31
206,858.31,46713.02,47446.69,3036.16,11706.45,46.45,7.41,6.31,6.45
207,858.83,46258.91,46981.22,3015.00,1026.33,26.33,0.65,6.45,6.33
208,?,?,?,?,?,?,?,6.33,?
209,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,47214.30,3032.94,17676.31,46.31,11.30,?,6.31
211,870.15,46663.41,47398.08,3038.42,3526.35,56.35,2.23,6.31,6.35
212,878.25,46925.65,47676.43,3046.08,46.49,26.49,0.03,6.35,6.49
213,881.30,47370.81,48147.76,3060.17,9236.30,96.30,5.91,6.49,6.30
214,884.10,48325.33,49133.14,3110.79,156.30,16.30,0.09,6.30,6.30
215,?,?,?,?,?,?,?,6.30,?
216,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,49272.86,3127.41,16.57,16.57,0.01,?,6.57
218,891.86,47942.81,48742.34,3127.38,7106.48,86.48,4.59,6.57,6.48
219,898.91,48306.55,49124.78,3168.23,3026.48,56.48,1.93,6.48,6.48
220,903.85,48862.88,49700.18,3190.86,23016.44,156.44,14.67,6.48,6.44
221,909.96,49125.36,49994.77,3206.86,3476.44,66.44,2.23,6.44,6.44
222,?,?,?,?,?,?,?,6.44,?
223,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,50476.37,3225.79,67906.60,246.60,43.99,?,6.60
225,922.16,49747.66,50646.05,3233.22,31256.53,146.53,20.47,6.60,6.53
226,928.58,50223.95,51152.95,3271.49,100196.59,206.59,65.48,6.53,6.59
227,?,?,?,?,?,?,?,6.59,?
228,928.83,49976.48,50906.11,3253.28,50156.50,76.50,33.02,?,6.50
229,?,?,?,?,?,?,?,6.50,?
230,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,50713.14,3237.31,9616.45,56.45,6.23,?,6.45
232,914.58,49162.16,50077.30,3210.57,717427.50,1767.50,518.39,6.45,7.50
233,920.30,49128.05,50032.45,3221.87,317587.27,987.27,231.62,7.50,7.27
234,931.73,49846.48,50780.47,3260.69,71797.27,377.27,51.32,7.27,7.27
235,930.27,49895.10,50836.47,3260.35,71087.07,277.07,50.50,7.27,7.07
236,?,?,?,?,?,?,?,7.07,?
237,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,50756.86,3255.45,51037.00,217.00,35.46,?,7.00
239,921.40,48833.58,49731.02,3197.48,64086.70,256.70,43.54,7.00,6.70
240,919.00,48537.65,49421.50,3183.87,48236.72,76.72,32.70,6.70,6.72
241,924.88,48676.45,49569.11,3204.20,6366.90,56.90,4.39,6.72,6.90
242,925.91,48871.98,49771.98,3196.27,10706.89,46.89,7.37,6.90,6.89
243,?,?,?,?,?,?,?,6.89,?
244,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,50099.55,3230.20,9046.76,96.76,6.23,?,6.76
246,926.93,48968.87,49861.54,3226.75,35346.46,166.46,23.44,6.76,6.46
247,918.91,47919.09,48781.63,3174.71,55866.29,226.29,35.52,6.46,6.29
248,890.19,45830.66,46598.42,3061.25,64305.85,215.85,38.40,6.29,5.85
249,902.70,46717.04,47514.09,3142.61,84886.07,216.07,51.13,5.85,6.07
250,?,?,?,?,?,?,?,6.07,?
251,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,48651.54,3199.68,23405.90,145.90,13.57,?,5.90
253,931.39,48961.51,49839.90,3256.85,89486.05,456.05,55.10,5.90,6.05
254,934.25,49437.02,50312.63,3285.29,47356.34,196.34,29.21,6.05,6.34
255,943.52,49771.55,50644.38,3303.55,1126.37,36.37,0.72,6.34,6.37
256,948.06,49348.61,50196.31,3285.49,6556.19,46.19,4.06,6.37,6.19
257,?,?,?,?,?,?,?,6.19,?
258,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,49741.35,3260.05,2416.19,26.19,1.49,?,6.19
260,960.97,49434.46,50258.11,3286.61,24726.07,116.07,15.00,6.19,6.07
261,957.28,49413.33,50227.43,3277.41,49176.12,116.12,30.81,6.07,6.12
262,963.32,50300.53,51171.25,3316.59,23566.35,96.35,14.83,6.12,6.35
