%310
@RELATION PLFSTFC00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,36000.37,70.37,1.39,?,0.37
3,783.15,48222.72,48505.50,2832.46,40850.38,70.38,1.56,0.37,0.38
4,781.69,47888.16,48143.94,2814.73,00.38,00.38,0.00,0.38,0.38
5,?,?,?,?,?,?,?,0.38,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,59000.36,70.36,2.16,?,0.36
8,780.70,47379.63,47624.67,2790.64,505440.38,40.38,19.21,0.36,0.38
9,784.82,47407.28,47668.58,2784.62,235090.39,180.39,9.07,0.38,0.39
10,788.85,47546.91,47798.66,2800.96,128000.39,180.39,5.01,0.39,0.39
11,795.36,47440.80,47690.97,2815.88,191000.40,140.40,7.64,0.39,0.40
12,?,?,?,?,?,?,?,0.40,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,894990.41,470.41,37.11,?,0.41
15,794.59,47086.54,47346.41,2817.16,95220.39,90.39,3.89,0.41,0.39
16,796.34,47521.39,47794.60,2825.40,81000.39,110.39,3.16,0.39,0.39
17,803.56,47661.37,47936.81,2848.09,109750.39,140.39,4.28,0.39,0.39
18,807.72,47813.69,48104.67,2864.72,293250.39,80.39,11.44,0.39,0.39
19,?,?,?,?,?,?,?,0.39,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,58000.39,50.39,2.26,?,0.39
22,808.23,47872.80,48127.89,2892.80,64000.38,90.38,2.43,0.39,0.38
23,808.40,47733.24,47999.21,2890.57,87460.38,160.38,3.24,0.38,0.38
