%310
@RELATION PLGLBLC00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,?,?,?,?,?
3,48222.72,48505.50,2832.46,?,?,?,?,?
4,47888.16,48143.94,2814.73,?,?,?,?,?
5,?,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,?,?,?,?,?
8,47379.63,47624.67,2790.64,?,?,?,?,?
9,47407.28,47668.58,2784.62,?,?,?,?,?
10,47546.91,47798.66,2800.96,?,?,?,?,?
11,47440.80,47690.97,2815.88,?,?,?,?,?
12,?,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,?,?,?,?,?
15,47086.54,47346.41,2817.16,?,?,?,?,?
16,47521.39,47794.60,2825.40,?,?,?,?,?
17,47661.37,47936.81,2848.09,?,?,?,?,?
18,47813.69,48104.67,2864.72,?,?,?,?,?
19,?,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,?,?,?,?,?
22,47872.80,48127.89,2892.80,?,?,?,?,?
23,47733.24,47999.21,2890.57,?,?,?,?,?
24,47942.04,48203.43,2898.85,?,?,?,?,?
25,47613.95,47851.99,2897.93,?,?,?,?,?
26,?,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,?,?,?,?,?
29,47328.40,47565.10,2878.58,?,?,?,?,?
30,46917.19,47113.08,2876.68,?,?,?,?,?
31,46840.15,47011.43,2880.57,?,?,?,?,?
32,46945.58,47121.08,2883.81,?,?,?,?,?
33,?,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,?,?,?,?,?
36,46674.78,46862.43,2843.49,?,?,?,?,?
37,46149.14,46341.54,2811.05,?,?,?,?,?
38,46329.66,46512.72,2815.91,?,?,?,?,?
39,46741.54,46931.40,2825.70,?,?,?,?,?
40,?,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,?,?,?,?,?
43,46399.26,46564.61,2821.25,?,?,?,?,?
44,46406.74,46569.81,2825.02,?,?,?,?,?
45,46211.54,46360.51,2825.15,?,?,?,?,?
46,46370.13,46523.63,2838.22,?,?,?,?,?
47,?,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,?,?,?,?,?
50,46490.89,46652.19,2843.90,?,?,?,?,?
51,46051.76,46198.42,2831.71,?,?,?,?,?
52,45879.90,46050.52,2801.83,?,?,?,?,?
53,45948.12,46124.82,2817.57,?,?,?,?,?
54,?,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,?,?,?,?,?
57,45868.35,46065.85,2831.16,?,?,?,?,?
