%310
@RELATION PLGNRSI00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,381420.97,210.97,36.95,?,0.97
3,783.15,48222.72,48505.50,2832.46,2622991.10,1501.10,270.61,0.97,1.10
4,781.69,47888.16,48143.94,2814.73,2117191.03,901.03,222.55,1.10,1.03
5,?,?,?,?,?,?,?,1.03,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,724961.04,421.04,73.83,?,1.04
8,780.70,47379.63,47624.67,2790.64,389291.03,301.03,40.44,1.04,1.03
9,784.82,47407.28,47668.58,2784.62,392231.06,321.06,40.38,1.03,1.06
10,788.85,47546.91,47798.66,2800.96,3697061.17,1881.17,422.29,1.06,1.17
11,795.36,47440.80,47690.97,2815.88,933581.20,621.20,112.79,1.17,1.20
12,?,?,?,?,?,?,?,1.20,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,1334281.27,731.27,169.00,?,1.27
15,794.59,47086.54,47346.41,2817.16,9421881.28,3161.28,1227.88,1.27,1.28
16,796.34,47521.39,47794.60,2825.40,645301.25,321.25,80.29,1.28,1.25
17,803.56,47661.37,47936.81,2848.09,1684181.22,681.22,204.47,1.25,1.22
18,807.72,47813.69,48104.67,2864.72,525001.25,301.25,63.95,1.22,1.25
19,?,?,?,?,?,?,?,1.25,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,5332641.45,2761.45,737.89,?,1.45
22,808.23,47872.80,48127.89,2892.80,3318021.38,1661.38,458.01,1.45,1.38
23,808.40,47733.24,47999.21,2890.57,571671.39,361.39,78.28,1.38,1.39
24,811.80,47942.04,48203.43,2898.85,1838781.40,541.40,255.99,1.39,1.40
25,812.99,47613.95,47851.99,2897.93,1640541.38,571.38,230.66,1.40,1.38
26,?,?,?,?,?,?,?,1.38,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,876911.35,491.35,117.67,?,1.35
29,815.93,47328.40,47565.10,2878.58,3249541.32,571.32,430.73,1.35,1.32
30,815.59,46917.19,47113.08,2876.68,2069601.28,501.28,268.01,1.32,1.28
31,817.14,46840.15,47011.43,2880.57,1141121.31,631.31,149.69,1.28,1.31
32,818.68,46945.58,47121.08,2883.81,1132011.34,471.34,149.89,1.31,1.34
33,?,?,?,?,?,?,?,1.34,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,6275381.39,2091.39,868.13,?,1.39
36,816.68,46674.78,46862.43,2843.49,1028821.39,641.39,143.83,1.39,1.39
37,813.75,46149.14,46341.54,2811.05,2794381.40,361.40,387.21,1.39,1.40
38,811.13,46329.66,46512.72,2815.91,2352481.37,291.37,326.20,1.40,1.37
39,813.77,46741.54,46931.40,2825.70,126961.37,141.37,17.22,1.37,1.37
40,?,?,?,?,?,?,?,1.37,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,815951.39,391.39,113.36,?,1.39
43,817.32,46399.26,46564.61,2821.25,626721.37,651.37,86.90,1.39,1.37
