%310
@RELATION PLGPW0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,2568.59,1117.48,48107.89,48389.84,2835.52,6306139.40,43039.40,2466.46,?,39.40
3,2588.67,1118.84,48222.72,48505.50,2832.46,4698439.01,26639.01,1845.19,39.40,39.01
4,2588.47,1111.36,47888.16,48143.94,2814.73,5099038.74,31538.74,1975.31,39.01,38.74
5,?,?,?,?,?,?,?,?,38.74,?
6,?,?,?,?,?,?,?,?,?,?
7,2588.96,1109.28,47589.33,47820.24,2793.31,7901039.10,41639.10,3066.39,?,39.10
8,2587.38,1101.95,47379.63,47624.67,2790.64,6093039.00,55139.00,2385.20,39.10,39.00
9,2573.27,1105.51,47407.28,47668.58,2784.62,5785338.90,32838.90,2255.09,39.00,38.90
10,2592.53,1109.02,47546.91,47798.66,2800.96,2609939.00,17839.00,1015.60,38.90,39.00
11,2611.26,1106.07,47440.80,47690.97,2815.88,3767739.10,20939.10,1471.42,39.00,39.10
12,?,?,?,?,?,?,?,?,39.10,?
13,?,?,?,?,?,?,?,?,?,?
14,2605.15,1108.76,47470.12,47724.95,2820.74,2770539.18,20839.18,1086.43,?,39.18
15,2598.51,1098.41,47086.54,47346.41,2817.16,2019239.00,18039.00,787.93,39.18,39.00
16,2598.53,1100.21,47521.39,47794.60,2825.40,14927140.05,67340.05,5887.59,39.00,40.05
17,2618.14,1100.21,47661.37,47936.81,2848.09,10211939.42,60239.42,4077.48,40.05,39.42
18,2626.72,1104.63,47813.69,48104.67,2864.72,4706439.99,37539.99,1866.43,39.42,39.99
19,?,?,?,?,?,?,?,?,39.99,?
20,?,?,?,?,?,?,?,?,?,?
21,2635.73,1103.07,47936.61,48184.37,2890.14,840639.48,15939.48,332.64,?,39.48
22,2636.01,1099.21,47872.80,48127.89,2892.80,2221139.16,19339.16,870.73,39.48,39.16
23,2626.76,1091.82,47733.24,47999.21,2890.57,9632939.10,21439.10,3766.54,39.16,39.10
24,2646.20,1093.21,47942.04,48203.43,2898.85,8103738.35,26238.35,3100.41,39.10,38.35
25,2642.64,1084.16,47613.95,47851.99,2897.93,10240138.84,16638.84,3951.26,38.35,38.84
26,?,?,?,?,?,?,?,?,38.84,?
27,?,?,?,?,?,?,?,?,?,?
28,2637.81,1079.13,47324.06,47553.14,2886.17,10084339.00,28539.00,3932.97,?,39.00
29,2623.78,1078.99,47328.40,47565.10,2878.58,3618138.50,20038.50,1400.87,39.00,38.50
30,2612.20,1071.11,46917.19,47113.08,2876.68,36500239.50,30039.50,14238.43,38.50,39.50
31,2597.73,1070.81,46840.15,47011.43,2880.57,10402040.20,60640.20,4177.04,39.50,40.20
32,2603.21,1073.47,46945.58,47121.08,2883.81,5630841.00,57941.00,2304.48,40.20,41.00
33,?,?,?,?,?,?,?,?,41.00,?
34,?,?,?,?,?,?,?,?,?,?
35,2609.03,1061.01,46556.55,46735.25,2856.17,10165441.97,61241.97,4223.63,?,41.97
36,2595.69,1066.05,46674.78,46862.43,2843.49,8542441.90,52341.90,3573.15,41.97,41.90
37,2567.59,1054.01,46149.14,46341.54,2811.05,6999241.75,38941.75,2922.03,41.90,41.75
38,2577.94,1057.65,46329.66,46512.72,2815.91,7483241.70,56641.70,3121.15,41.75,41.70
39,2587.53,1068.97,46741.54,46931.40,2825.70,1572141.64,15241.64,653.59,41.70,41.64
40,?,?,?,?,?,?,?,?,41.64,?
41,?,?,?,?,?,?,?,?,?,?
42,2593.63,1067.80,46786.74,46988.04,2826.84,6694141.66,21341.66,2777.32,?,41.66
43,2581.18,1038.81,46399.26,46564.61,2821.25,5237241.80,24141.80,2180.29,41.66,41.80
44,2576.84,1034.74,46406.74,46569.81,2825.02,7009143.20,74243.20,2989.10,41.80,43.20
45,2578.13,1024.61,46211.54,46360.51,2825.15,4220341.95,23241.95,1773.88,43.20,41.95
46,2570.25,1029.14,46370.13,46523.63,2838.22,1548841.47,17541.47,644.16,41.95,41.47
47,?,?,?,?,?,?,?,?,41.47,?
48,?,?,?,?,?,?,?,?,?,?
49,2580.46,1033.03,46508.27,46665.39,2848.48,3509941.30,15741.30,1449.68,?,41.30
50,2566.72,1028.99,46490.89,46652.19,2843.90,5007141.00,25741.00,2038.13,41.30,41.00
51,2577.60,1013.84,46051.76,46198.42,2831.71,3587341.90,30541.90,1477.09,41.00,41.90
52,2566.08,1009.79,45879.90,46050.52,2801.83,2063741.50,19041.50,850.08,41.90,41.50
53,2577.64,1008.41,45948.12,46124.82,2817.57,1431941.86,15241.86,594.39,41.50,41.86
54,?,?,?,?,?,?,?,?,41.86,?
55,?,?,?,?,?,?,?,?,?,?
56,2602.92,1013.72,46286.28,46487.05,2840.57,3252642.00,19342.00,1362.26,?,42.00
57,2589.15,1007.53,45868.35,46065.85,2831.16,2733641.85,18241.85,1142.14,42.00,41.85
58,2608.94,1014.91,46241.92,46459.99,2855.69,2879441.80,13841.80,1202.90,41.85,41.80
59,2608.20,1015.09,46280.36,46510.83,2865.27,3388342.00,28342.00,1419.43,41.80,42.00
60,2626.22,1019.44,46341.14,46622.90,2859.05,2014742.00,13042.00,845.98,42.00,42.00
61,?,?,?,?,?,?,?,?,42.00,?
62,?,?,?,?,?,?,?,?,?,?
63,2623.37,1017.25,46137.70,46454.13,2860.68,2794642.00,23842.00,1173.06,?,42.00
64,2628.44,1023.77,46676.09,47001.38,2868.06,745341.97,9941.97,312.46,42.00,41.97
65,2632.38,1022.74,46762.65,47090.49,2872.90,2525541.97,17841.97,1055.98,41.97,41.97
66,2653.74,1022.01,46745.26,47060.66,2873.49,6860141.95,12241.95,2864.08,41.97,41.95
67,2675.88,1029.77,47074.39,47436.21,2906.74,11058941.79,11241.79,4624.84,41.95,41.79
68,?,?,?,?,?,?,?,?,41.79,?
69,?,?,?,?,?,?,?,?,?,?
70,2678.09,1029.96,46933.03,47269.75,2914.24,3641041.90,11841.90,1513.82,?,41.90
71,2689.51,1027.64,47010.40,47340.43,2911.38,616442.00,11842.00,258.32,41.90,42.00
72,2687.66,1026.57,46888.37,47235.72,2901.67,4413942.30,24942.30,1865.92,42.00,42.30
73,2687.81,1033.40,47223.68,47606.16,2912.13,6611042.00,20442.00,2783.10,42.30,42.00
74,2708.28,1030.99,47125.93,47522.10,2909.77,9370841.90,15641.90,3926.24,42.00,41.90
75,?,?,?,?,?,?,?,?,41.90,?
76,?,?,?,?,?,?,?,?,?,?
77,2718.31,1019.65,46668.41,47094.18,2900.59,612141.50,10341.50,253.61,?,41.50
78,2658.94,1004.18,46029.35,46473.62,2868.24,2728041.12,12041.12,1123.36,41.50,41.12
79,2663.64,1001.19,46068.24,46511.62,2874.75,7209941.05,19741.05,2962.68,41.12,41.05
80,2635.54,992.85,45580.47,46017.88,2833.61,5589740.46,20640.46,2264.03,41.05,40.46
81,2596.69,982.63,45066.18,45473.08,2800.67,2999740.10,20640.10,1202.35,40.46,40.10
82,?,?,?,?,?,?,?,?,40.10,?
83,?,?,?,?,?,?,?,?,?,?
84,2576.73,971.44,44585.10,44946.32,2780.21,3730239.97,14839.97,1494.79,?,39.97
85,2578.94,974.15,44724.88,45119.16,2774.13,6526039.75,16639.75,2585.63,39.97,39.75
86,2601.44,981.90,45247.90,45644.09,2785.46,5411339.75,13539.75,2148.87,39.75,39.75
87,2624.74,986.42,45147.57,45528.85,2797.31,4678039.20,16239.20,1842.42,39.75,39.20
88,?,?,?,?,?,?,?,?,39.20,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,2643.63,988.58,45304.74,45679.51,2814.33,619939.20,12439.20,243.01,?,39.20
93,2608.26,974.84,44604.61,44940.36,2769.02,1630338.98,19938.98,636.60,39.20,38.98
94,2594.74,976.20,44623.89,44980.62,2766.19,2817538.45,15838.45,1086.01,38.98,38.45
95,2572.61,975.85,44597.66,44960.02,2760.91,3468538.75,14638.75,1342.24,38.45,38.75
96,?,?,?,?,?,?,?,?,38.75,?
97,?,?,?,?,?,?,?,?,?,?
98,2582.59,975.73,44590.97,44963.96,2764.28,2756738.61,20638.61,1069.37,?,38.61
99,2592.09,975.68,44725.03,45096.35,2767.26,10978738.90,34638.90,4315.04,38.61,38.90
100,2601.25,979.74,45091.63,45495.34,2780.21,14245639.10,31839.10,5579.13,38.90,39.10
101,2623.22,994.45,45688.48,46131.66,2794.43,13373939.20,20439.20,5242.32,39.10,39.20
102,2630.40,991.42,45525.92,45960.10,2783.53,5866639.25,13039.25,2305.38,39.20,39.25
103,?,?,?,?,?,?,?,?,39.25,?
104,?,?,?,?,?,?,?,?,?,?
105,2587.31,976.98,44724.14,45167.65,2754.91,1061638.86,8938.86,413.66,?,38.86
106,?,?,?,?,?,?,?,?,38.86,?
107,2555.73,961.16,43916.24,44404.81,2705.88,16266938.45,17638.45,6269.70,?,38.45
