%310
@RELATION PLHDRTR00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,6327.10,427.10,1.71,?,27.10
3,783.15,48222.72,48505.50,2832.46,49827.50,1527.50,13.51,27.10,27.50
4,781.69,47888.16,48143.94,2814.73,20127.40,827.40,5.49,27.50,27.40
5,?,?,?,?,?,?,?,27.40,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,11227.85,527.85,3.05,?,27.85
8,780.70,47379.63,47624.67,2790.64,74828.35,1328.35,21.04,27.85,28.35
9,784.82,47407.28,47668.58,2784.62,22628.00,728.00,6.33,28.35,28.00
10,788.85,47546.91,47798.66,2800.96,1290227.75,227.75,358.03,28.00,27.75
11,795.36,47440.80,47690.97,2815.88,228.50,128.50,0.06,27.75,28.50
12,?,?,?,?,?,?,?,28.50,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,16428.50,1128.50,4.68,?,28.50
15,794.59,47086.54,47346.41,2817.16,2228.50,328.50,0.63,28.50,28.50
16,796.34,47521.39,47794.60,2825.40,3028.00,228.00,0.84,28.50,28.00
17,803.56,47661.37,47936.81,2848.09,1254628.00,1328.00,351.31,28.00,28.00
18,807.72,47813.69,48104.67,2864.72,15328.16,528.16,4.30,28.00,28.16
19,?,?,?,?,?,?,?,28.16,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,74728.10,928.10,21.05,?,28.10
22,808.23,47872.80,48127.89,2892.80,105528.00,1028.00,29.61,28.10,28.00
23,808.40,47733.24,47999.21,2890.57,64428.30,928.30,18.26,28.00,28.30
24,811.80,47942.04,48203.43,2898.85,20228.44,328.44,5.75,28.30,28.44
25,812.99,47613.95,47851.99,2897.93,27228.00,1128.00,7.62,28.44,28.00
26,?,?,?,?,?,?,?,28.00,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,10828.00,528.00,3.02,?,28.00
29,815.93,47328.40,47565.10,2878.58,8127.79,627.79,2.24,28.00,27.79
30,815.59,46917.19,47113.08,2876.68,31827.70,527.70,8.84,27.79,27.70
31,817.14,46840.15,47011.43,2880.57,11027.85,727.85,3.05,27.70,27.85
32,818.68,46945.58,47121.08,2883.81,6227.69,527.69,1.71,27.85,27.69
33,?,?,?,?,?,?,?,27.69,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,21528.00,628.00,5.98,?,28.00
36,816.68,46674.78,46862.43,2843.49,528.00,228.00,0.14,28.00,28.00
37,813.75,46149.14,46341.54,2811.05,228.00,128.00,0.06,28.00,28.00
38,811.13,46329.66,46512.72,2815.91,10127.60,527.60,2.79,28.00,27.60
39,813.77,46741.54,46931.40,2825.70,121627.50,927.50,33.42,27.60,27.50
40,?,?,?,?,?,?,?,27.50,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,13727.00,327.00,3.71,?,27.00
43,817.32,46399.26,46564.61,2821.25,227.39,127.39,0.05,27.00,27.39
44,817.35,46406.74,46569.81,2825.02,51327.70,927.70,14.05,27.39,27.70
45,818.81,46211.54,46360.51,2825.15,96128.15,2128.15,26.81,27.70,28.15
46,826.73,46370.13,46523.63,2838.22,185329.00,3829.00,54.76,28.15,29.00
47,?,?,?,?,?,?,?,29.00,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2848.48,32028.50,728.50,9.59,?,28.50
50,832.30,46490.89,46652.19,2843.90,18529.20,629.20,5.36,28.50,29.20
51,830.62,46051.76,46198.42,2831.71,1091728.52,728.52,320.81,29.20,28.52
52,823.32,45879.90,46050.52,2801.83,28528.23,628.23,8.05,28.52,28.23
53,826.66,45948.12,46124.82,2817.57,20428.99,828.99,5.83,28.23,28.99
54,?,?,?,?,?,?,?,28.99,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,2840.57,19128.50,728.50,5.58,?,28.50
57,828.81,45868.35,46065.85,2831.16,8527.80,927.80,2.38,28.50,27.80
58,836.69,46241.92,46459.99,2855.69,1528.00,228.00,0.42,27.80,28.00
59,844.08,46280.36,46510.83,2865.27,475927.10,5327.10,126.05,28.00,27.10
60,842.02,46341.14,46622.90,2859.05,76528.40,1128.40,20.74,27.10,28.40
61,?,?,?,?,?,?,?,28.40,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,2860.68,1331328.19,828.19,372.78,?,28.19
64,845.88,46676.09,47001.38,2868.06,12728.00,428.00,3.56,28.19,28.00
65,849.88,46762.65,47090.49,2872.90,70427.80,1227.80,19.97,28.00,27.80
66,855.99,46745.26,47060.66,2873.49,96528.00,1228.00,26.99,27.80,28.00
67,861.67,47074.39,47436.21,2906.74,281228.00,1128.00,78.79,28.00,28.00
68,?,?,?,?,?,?,?,28.00,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,2914.24,13028.00,328.00,3.64,?,28.00
71,866.79,47010.40,47340.43,2911.38,182028.00,528.00,50.95,28.00,28.00
72,872.90,46888.37,47235.72,2901.67,26528.00,728.00,7.35,28.00,28.00
73,871.52,47223.68,47606.16,2912.13,14628.00,528.00,4.03,28.00,28.00
74,873.21,47125.93,47522.10,2909.77,18427.60,627.60,5.00,28.00,27.60
75,?,?,?,?,?,?,?,27.60,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,2900.59,5427.55,327.55,1.45,?,27.55
78,864.73,46029.35,46473.62,2868.24,80828.00,1228.00,22.30,27.55,28.00
79,862.97,46068.24,46511.62,2874.75,277228.00,828.00,77.40,28.00,28.00
80,850.86,45580.47,46017.88,2833.61,83427.99,1627.99,23.00,28.00,27.99
81,845.32,45066.18,45473.08,2800.67,60828.00,728.00,17.02,27.99,28.00
82,?,?,?,?,?,?,?,28.00,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,2780.21,254027.80,3327.80,69.24,?,27.80
85,830.80,44724.88,45119.16,2774.13,24527.10,1027.10,6.53,27.80,27.10
86,835.51,45247.90,45644.09,2785.46,25226.45,1026.45,6.59,27.10,26.45
87,839.42,45147.57,45528.85,2797.31,1505226.89,2226.89,402.92,26.45,26.89
88,?,?,?,?,?,?,?,26.89,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,45679.51,2814.33,9526.40,526.40,2.53,?,26.40
93,828.79,44604.61,44940.36,2769.02,7426.39,526.39,1.93,26.40,26.39
94,824.35,44623.89,44980.62,2766.19,27525.50,825.50,7.03,26.39,25.50
95,819.73,44597.66,44960.02,2760.91,11226.00,326.00,2.86,25.50,26.00
96,?,?,?,?,?,?,?,26.00,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,44963.96,2764.28,23225.89,825.89,5.96,?,25.89
99,815.74,44725.03,45096.35,2767.26,27225.50,825.50,6.88,25.89,25.50
100,820.16,45091.63,45495.34,2780.21,101925.89,625.89,26.02,25.50,25.89
101,824.04,45688.48,46131.66,2794.43,8626.00,526.00,2.22,25.89,26.00
102,819.29,45525.92,45960.10,2783.53,62325.55,1125.55,15.78,26.00,25.55
103,?,?,?,?,?,?,?,25.55,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,45167.65,2754.91,60325.52,225.52,15.39,?,25.52
106,?,?,?,?,?,?,?,25.52,?
107,796.68,43916.24,44404.81,2705.88,66525.30,825.30,16.74,?,25.30
108,787.39,43364.70,43850.06,2695.55,33825.25,625.25,8.51,25.30,25.25
109,783.37,43447.75,43993.98,2685.57,225.45,125.45,0.05,25.25,25.45
110,?,?,?,?,?,?,?,25.45,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,43892.82,2660.28,30925.60,625.60,7.77,?,25.60
113,769.16,43159.57,43707.88,2624.40,20425.25,825.25,5.11,25.60,25.25
114,769.82,43356.73,43908.95,2636.70,388126.68,5126.68,95.55,25.25,26.68
115,774.88,43482.18,44027.03,2658.57,62028.00,728.00,16.91,26.68,28.00
116,777.86,43665.21,44226.06,2669.93,15128.90,628.90,4.30,28.00,28.90
117,?,?,?,?,?,?,?,28.90,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,44420.22,2685.14,57229.15,1229.15,16.26,?,29.15
120,784.81,44162.18,44653.34,2704.84,429.15,229.15,0.12,29.15,29.15
121,?,?,?,?,?,?,?,29.15,?
122,787.45,43991.51,44466.89,2695.22,21629.30,529.30,6.37,?,29.30
123,?,?,?,?,?,?,?,29.30,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,45060.80,2714.72,48928.60,1228.60,13.76,?,28.60
127,793.09,44742.22,45244.29,2733.96,228.60,128.60,0.06,28.60,28.60
128,798.10,45117.94,45647.76,2752.14,18428.30,528.30,5.15,28.60,28.30
129,800.71,44943.16,45475.08,2760.20,514927.81,827.81,144.14,28.30,27.81
130,800.42,44895.35,45408.06,2769.85,30227.00,627.00,8.25,27.81,27.00
131,?,?,?,?,?,?,?,27.00,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,45746.01,2790.62,6827.59,427.59,1.87,?,27.59
134,804.49,45771.11,46336.62,2822.41,542227.60,1327.60,149.48,27.59,27.60
135,802.28,46102.42,46676.61,2848.38,16027.02,927.02,4.33,27.60,27.02
136,806.45,45992.03,46581.16,2871.70,183528.88,628.88,49.60,27.02,28.88
137,810.69,46078.68,46646.58,2885.19,18428.40,728.40,5.24,28.88,28.40
138,?,?,?,?,?,?,?,28.40,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,46615.31,2921.95,5728.10,228.10,1.60,?,28.10
141,819.76,45851.80,46439.10,2893.12,97929.88,1729.88,29.28,28.10,29.88
142,818.82,45933.66,46529.96,2912.70,557428.70,1328.70,174.71,29.88,28.70
143,814.69,45687.76,46311.26,2894.53,18328.56,428.56,5.23,28.70,28.56
144,820.11,46145.44,46783.61,2929.62,5929.00,529.00,1.70,28.56,29.00
145,?,?,?,?,?,?,?,29.00,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,47957.54,2976.83,14029.01,429.01,4.13,?,29.01
148,838.40,47579.87,48258.02,2997.81,139528.70,1228.70,40.04,29.01,28.70
149,842.72,47476.64,48138.07,3000.58,52228.97,528.97,15.12,28.70,28.97
150,?,?,?,?,?,?,?,28.97,?
151,841.72,47806.34,48503.87,2994.25,7029.30,429.30,2.13,?,29.30
152,?,?,?,?,?,?,?,29.30,?
153,?,?,?,?,?,?,?,?,?
