%310
@RELATION PLHOGA000041
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,48107.89,1136.16,48389.84,2835.52,1031232.49,1252.49,263.21,?,2.49
3,48222.72,1132.73,48505.50,2832.46,1020442.40,1462.40,249.14,2.49,2.40
4,47888.16,1123.30,48143.94,2814.73,572742.40,682.40,136.93,2.40,2.40
5,?,?,?,?,?,?,?,2.40,?
6,?,?,?,?,?,?,?,?,?
7,47589.33,1117.54,47820.24,2793.31,424132.35,752.35,100.37,?,2.35
8,47379.63,1107.35,47624.67,2790.64,701162.42,1042.42,165.83,2.35,2.42
9,47407.28,1113.00,47668.58,2784.62,1080102.49,1322.49,268.63,2.42,2.49
10,47546.91,1127.31,47798.66,2800.96,215062.51,402.51,53.90,2.49,2.51
11,47440.80,1133.34,47690.97,2815.88,232782.48,452.48,57.24,2.51,2.48
12,?,?,?,?,?,?,?,2.48,?
13,?,?,?,?,?,?,?,?,?
14,47470.12,1138.05,47724.95,2820.74,244712.44,442.44,59.99,?,2.44
15,47086.54,1131.14,47346.41,2817.16,483512.42,722.42,116.39,2.44,2.42
16,47521.39,1130.24,47794.60,2825.40,1251902.51,922.51,306.81,2.42,2.51
17,47661.37,1132.34,47936.81,2848.09,2315422.64,2262.64,602.15,2.51,2.64
18,47813.69,1144.65,48104.67,2864.72,5573612.78,4732.78,1528.18,2.64,2.78
19,?,?,?,?,?,?,?,2.78,?
20,?,?,?,?,?,?,?,?,?
21,47936.61,1151.79,48184.37,2890.14,2082692.79,2322.79,585.89,?,2.79
22,47872.80,1152.16,48127.89,2892.80,1091692.77,1152.77,301.44,2.79,2.77
23,47733.24,1153.46,47999.21,2890.57,1262332.72,1262.72,344.03,2.77,2.72
24,47942.04,1150.21,48203.43,2898.85,1307912.77,982.77,358.61,2.72,2.77
25,47613.95,1156.62,47851.99,2897.93,432772.71,692.71,119.43,2.77,2.71
26,?,?,?,?,?,?,?,2.71,?
27,?,?,?,?,?,?,?,?,?
28,47324.06,1160.03,47553.14,2886.17,679912.71,632.71,184.69,?,2.71
29,47328.40,1163.93,47565.10,2878.58,89752.71,212.71,24.21,2.71,2.71
30,46917.19,1153.92,47113.08,2876.68,6081662.80,3912.80,1719.01,2.71,2.80
31,46840.15,1159.78,47011.43,2880.57,634052.80,862.80,176.97,2.80,2.80
32,46945.58,1158.21,47121.08,2883.81,317782.84,712.84,89.41,2.80,2.84
33,?,?,?,?,?,?,?,2.84,?
34,?,?,?,?,?,?,?,?,?
35,46556.55,1147.63,46735.25,2856.17,701992.77,752.77,196.10,?,2.77
36,46674.78,1152.32,46862.43,2843.49,642722.70,832.70,175.73,2.77,2.70
37,46149.14,1128.47,46341.54,2811.05,1981292.64,2032.64,522.36,2.70,2.64
38,46329.66,1129.48,46512.72,2815.91,286622.63,422.63,75.34,2.64,2.63
