%310
@RELATION PLHRPHG00023
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,123171.86,91.86,22.98,?,1.86
3,783.15,48222.72,48505.50,2832.46,9561.77,111.77,1.76,1.86,1.77
4,781.69,47888.16,48143.94,2814.73,52421.86,121.86,9.72,1.77,1.86
5,?,?,?,?,?,?,?,1.86,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,30001.82,111.82,5.56,?,1.82
8,780.70,47379.63,47624.67,2790.64,278031.94,311.94,52.31,1.82,1.94
9,784.82,47407.28,47668.58,2784.62,16721.92,51.92,3.18,1.94,1.92
10,788.85,47546.91,47798.66,2800.96,13411.94,101.94,2.57,1.92,1.94
11,795.36,47440.80,47690.97,2815.88,25671.91,111.91,4.90,1.94,1.91
12,?,?,?,?,?,?,?,1.91,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,212571.98,211.98,42.12,?,1.98
15,794.59,47086.54,47346.41,2817.16,35961.96,141.96,7.09,1.98,1.96
16,796.34,47521.39,47794.60,2825.40,294772.04,182.04,59.13,1.96,2.04
17,803.56,47661.37,47936.81,2848.09,28852.05,112.05,5.91,2.04,2.05
18,807.72,47813.69,48104.67,2864.72,50662.03,152.03,10.39,2.05,2.03
19,?,?,?,?,?,?,?,2.03,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,31512.14,102.14,6.47,?,2.14
22,808.23,47872.80,48127.89,2892.80,692.11,102.11,0.15,2.14,2.11
23,808.40,47733.24,47999.21,2890.57,106071.98,101.98,21.03,2.11,1.98
24,811.80,47942.04,48203.43,2898.85,29501.92,131.92,5.72,1.98,1.92
25,812.99,47613.95,47851.99,2897.93,62302.00,112.00,12.39,1.92,2.00
26,?,?,?,?,?,?,?,2.00,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,121022.00,152.00,24.10,?,2.00
29,815.93,47328.40,47565.10,2878.58,9811.94,111.94,1.91,2.00,1.94
30,815.59,46917.19,47113.08,2876.68,12101.93,111.93,2.34,1.94,1.93
31,817.14,46840.15,47011.43,2880.57,10001.92,31.92,1.92,1.93,1.92
32,818.68,46945.58,47121.08,2883.81,4671.99,101.99,0.90,1.92,1.99
33,?,?,?,?,?,?,?,1.99,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,2641.99,101.99,0.53,?,1.99
36,816.68,46674.78,46862.43,2843.49,931.99,101.99,0.19,1.99,1.99
37,813.75,46149.14,46341.54,2811.05,57212.03,182.03,11.36,1.99,2.03
38,811.13,46329.66,46512.72,2815.91,861.99,101.99,0.17,2.03,1.99
39,813.77,46741.54,46931.40,2825.70,119492.07,102.07,23.35,1.99,2.07
40,?,?,?,?,?,?,?,2.07,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,163882.15,172.15,34.64,?,2.15
