%310
@RELATION PLHUTMN00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,421153.44,763.44,145.71,?,3.44
3,783.15,48222.72,48505.50,2832.46,187503.41,493.41,64.66,3.44,3.41
4,781.69,47888.16,48143.94,2814.73,297563.40,533.40,99.52,3.41,3.40
5,?,?,?,?,?,?,?,3.40,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,70603.30,163.30,23.54,?,3.30
8,780.70,47379.63,47624.67,2790.64,164053.43,373.43,56.18,3.30,3.43
9,784.82,47407.28,47668.58,2784.62,248173.40,483.40,84.37,3.43,3.40
10,788.85,47546.91,47798.66,2800.96,124093.46,143.46,42.86,3.40,3.46
11,795.36,47440.80,47690.97,2815.88,74903.48,193.48,25.69,3.46,3.48
12,?,?,?,?,?,?,?,3.48,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,83333.42,173.42,28.56,?,3.42
15,794.59,47086.54,47346.41,2817.16,39093.47,103.47,13.31,3.42,3.47
16,796.34,47521.39,47794.60,2825.40,36693.41,103.41,12.52,3.47,3.41
17,803.56,47661.37,47936.81,2848.09,101293.40,243.40,34.36,3.41,3.40
18,807.72,47813.69,48104.67,2864.72,11583.43,63.43,3.96,3.40,3.43
19,?,?,?,?,?,?,?,3.43,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,40303.40,123.40,13.81,?,3.40
22,808.23,47872.80,48127.89,2892.80,31493.40,73.40,10.77,3.40,3.40
23,808.40,47733.24,47999.21,2890.57,31363.43,93.43,10.61,3.40,3.43
24,811.80,47942.04,48203.43,2898.85,90593.37,203.37,30.60,3.43,3.37
25,812.99,47613.95,47851.99,2897.93,52243.39,133.39,17.48,3.37,3.39
26,?,?,?,?,?,?,?,3.39,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,03.39,03.39,0.00,?,3.39
29,815.93,47328.40,47565.10,2878.58,3763.38,23.38,1.27,3.39,3.38
30,815.59,46917.19,47113.08,2876.68,61293.35,143.35,20.17,3.38,3.35
31,817.14,46840.15,47011.43,2880.57,52903.34,123.34,17.57,3.35,3.34
32,818.68,46945.58,47121.08,2883.81,16563.37,103.37,5.52,3.34,3.37
33,?,?,?,?,?,?,?,3.37,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,6053.33,63.33,2.01,?,3.33
36,816.68,46674.78,46862.43,2843.49,74363.28,183.28,24.21,3.33,3.28
37,813.75,46149.14,46341.54,2811.05,38083.25,123.25,12.25,3.28,3.25
38,811.13,46329.66,46512.72,2815.91,107793.24,293.24,35.17,3.25,3.24
39,813.77,46741.54,46931.40,2825.70,74583.30,123.30,24.75,3.24,3.30
40,?,?,?,?,?,?,?,3.30,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,72673.31,133.31,24.51,?,3.31
43,817.32,46399.26,46564.61,2821.25,27573.30,133.30,9.13,3.31,3.30
44,817.35,46406.74,46569.81,2825.02,60813.22,153.22,19.69,3.30,3.22
45,818.81,46211.54,46360.51,2825.15,40963.19,123.19,13.09,3.22,3.19
46,826.73,46370.13,46523.63,2838.22,68943.18,153.18,21.70,3.19,3.18
47,?,?,?,?,?,?,?,3.18,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2848.48,54663.23,103.23,17.56,?,3.23
50,832.30,46490.89,46652.19,2843.90,99623.30,223.30,32.44,3.23,3.30
51,830.62,46051.76,46198.42,2831.71,112993.28,233.28,36.33,3.30,3.28
52,823.32,45879.90,46050.52,2801.83,11903.20,73.20,3.81,3.28,3.20
53,826.66,45948.12,46124.82,2817.57,54713.26,183.26,17.49,3.20,3.26
54,?,?,?,?,?,?,?,3.26,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,2840.57,03.26,03.26,0.00,?,3.26
57,828.81,45868.35,46065.85,2831.16,49783.18,163.18,15.67,3.26,3.18
58,836.69,46241.92,46459.99,2855.69,12353.18,43.18,3.91,3.18,3.18
59,844.08,46280.36,46510.83,2865.27,20843.19,63.19,6.62,3.18,3.19
60,842.02,46341.14,46622.90,2859.05,211223.19,403.19,66.03,3.19,3.19
61,?,?,?,?,?,?,?,3.19,?
