%310
@RELATION PLINPRO00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,103.38,13.38,0.03,?,3.38
3,783.15,48222.72,1422.15,48505.50,2832.46,103.47,13.47,0.03,3.38,3.47
4,781.69,47888.16,1424.57,48143.94,2814.73,03.47,03.47,0.00,3.47,3.47
5,?,?,?,?,?,?,?,?,3.47,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,603.47,23.47,0.20,?,3.47
8,780.70,47379.63,1416.22,47624.67,2790.64,03.47,03.47,0.00,3.47,3.47
9,784.82,47407.28,1418.24,47668.58,2784.62,03.47,03.47,0.00,3.47,3.47
10,788.85,47546.91,1427.00,47798.66,2800.96,6743.31,13.31,2.23,3.47,3.31
11,795.36,47440.80,1431.50,47690.97,2815.88,153.47,13.47,0.05,3.31,3.47
12,?,?,?,?,?,?,?,?,3.47,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,03.47,03.47,0.00,?,3.47
15,794.59,47086.54,1424.03,47346.41,2817.16,3003.32,13.32,1.00,3.47,3.32
16,796.34,47521.39,1459.06,47794.60,2825.40,23.32,23.32,0.01,3.32,3.32
17,803.56,47661.37,1480.62,47936.81,2848.09,1513.32,23.32,0.50,3.32,3.32
18,807.72,47813.69,1463.04,48104.67,2864.72,153.47,13.47,0.05,3.32,3.47
19,?,?,?,?,?,?,?,?,3.47,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,1603.47,23.47,0.54,?,3.47
22,808.23,47872.80,1474.10,48127.89,2892.80,03.47,03.47,0.00,3.47,3.47
23,808.40,47733.24,1466.26,47999.21,2890.57,03.47,03.47,0.00,3.47,3.47
24,811.80,47942.04,1462.14,48203.43,2898.85,2623.31,33.31,0.87,3.47,3.31
25,812.99,47613.95,1453.75,47851.99,2897.93,213.45,23.45,0.07,3.31,3.45
26,?,?,?,?,?,?,?,?,3.45,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1428.40,47553.14,2886.17,1203.45,13.45,0.41,?,3.45
29,815.93,47328.40,1414.71,47565.10,2878.58,03.45,03.45,0.00,3.45,3.45
30,815.59,46917.19,1409.63,47113.08,2876.68,03.45,03.45,0.00,3.45,3.45
31,817.14,46840.15,1412.77,47011.43,2880.57,24003.31,13.31,7.94,3.45,3.31
32,818.68,46945.58,1424.75,47121.08,2883.81,03.31,03.31,0.00,3.31,3.31
33,?,?,?,?,?,?,?,?,3.31,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1376.74,46735.25,2856.17,03.31,03.31,0.00,?,3.31
36,816.68,46674.78,1376.05,46862.43,2843.49,03.31,03.31,0.00,3.31,3.31
37,813.75,46149.14,1368.56,46341.54,2811.05,03.31,03.31,0.00,3.31,3.31
38,811.13,46329.66,1379.50,46512.72,2815.91,03.31,03.31,0.00,3.31,3.31
39,813.77,46741.54,1389.85,46931.40,2825.70,03.31,03.31,0.00,3.31,3.31
40,?,?,?,?,?,?,?,?,3.31,?
41,?,?,?,?,?,?,?,?,?,?
