%310
@RELATION PLKCSTL00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,16124.70,424.70,3.99,?,24.70
3,783.15,48222.72,48505.50,2832.46,2124.68,424.68,0.51,24.70,24.68
4,781.69,47888.16,48143.94,2814.73,101225.50,925.50,25.22,24.68,25.50
5,?,?,?,?,?,?,?,25.50,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,1226.84,326.84,0.32,?,26.84
8,780.70,47379.63,47624.67,2790.64,1026.79,326.79,0.27,26.84,26.79
9,784.82,47407.28,47668.58,2784.62,226.79,226.79,0.05,26.79,26.79
10,788.85,47546.91,47798.66,2800.96,2126.79,226.79,0.56,26.79,26.79
11,795.36,47440.80,47690.97,2815.88,1226.79,326.79,0.32,26.79,26.79
12,?,?,?,?,?,?,?,26.79,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,3726.69,526.69,0.98,?,26.69
15,794.59,47086.54,47346.41,2817.16,226.68,226.68,0.05,26.69,26.68
16,796.34,47521.39,47794.60,2825.40,1226.62,326.62,0.32,26.68,26.62
17,803.56,47661.37,47936.81,2848.09,1726.99,426.99,0.45,26.62,26.99
18,807.72,47813.69,48104.67,2864.72,1127.50,427.50,0.30,26.99,27.50
19,?,?,?,?,?,?,?,27.50,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,427.70,327.70,0.11,?,27.70
22,808.23,47872.80,48127.89,2892.80,427.90,327.90,0.11,27.70,27.90
23,808.40,47733.24,47999.21,2890.57,228.80,228.80,0.06,27.90,28.80
24,811.80,47942.04,48203.43,2898.85,8129.17,329.17,2.33,28.80,29.17
25,812.99,47613.95,47851.99,2897.93,5229.00,329.00,1.51,29.17,29.00
26,?,?,?,?,?,?,?,29.00,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,1229.10,329.10,0.35,?,29.10
29,815.93,47328.40,47565.10,2878.58,1229.01,329.01,0.35,29.10,29.01
30,815.59,46917.19,47113.08,2876.68,929.10,329.10,0.26,29.01,29.10
31,817.14,46840.15,47011.43,2880.57,1229.10,329.10,0.35,29.10,29.10
32,818.68,46945.58,47121.08,2883.81,2229.17,529.17,0.64,29.10,29.17
33,?,?,?,?,?,?,?,29.17,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,1129.17,229.17,0.32,?,29.17
36,816.68,46674.78,46862.43,2843.49,129.17,129.17,0.03,29.17,29.17
