%310
@RELATION PLKGNRC00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG-ENERG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,2644.06,3840.84,48389.84,2835.52,114086.00,1286.00,97.95,?,86.00
3,10554.18,48222.72,2649.70,3905.64,48505.50,2832.46,11031184.10,1484.10,9276.62,86.00,84.10
4,10519.33,47888.16,2625.17,3898.02,48143.94,2814.73,75485.00,685.00,63.58,84.10,85.00
5,?,?,?,?,?,?,?,?,?,85.00,?
6,?,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,2607.87,3921.36,47820.24,2793.31,13785.00,785.00,11.56,?,85.00
8,10500.71,47379.63,2600.99,3919.04,47624.67,2790.64,30285.00,385.00,25.67,85.00,85.00
9,10503.06,47407.28,2600.72,3923.58,47668.58,2784.62,385.00,385.00,0.26,85.00,85.00
10,10496.80,47546.91,2611.00,3914.22,47798.66,2800.96,185.00,185.00,0.09,85.00,85.00
11,10595.04,47440.80,2601.78,3897.64,47690.97,2815.88,69285.95,1385.95,61.79,85.00,85.95
12,?,?,?,?,?,?,?,?,?,85.95,?
13,?,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,2601.51,3908.01,47724.95,2820.74,12786.00,886.00,10.80,?,86.00
15,10638.06,47086.54,2582.97,3830.35,47346.41,2817.16,086.00,086.00,0.00,86.00,86.00
16,10673.05,47521.39,2609.80,3845.49,47794.60,2825.40,105986.00,786.00,90.80,86.00,86.00
17,10767.29,47661.37,2612.25,3859.71,47936.81,2848.09,43085.75,1585.75,36.49,86.00,85.75
18,10903.93,47813.69,2633.44,3869.29,48104.67,2864.72,50086.00,386.00,43.00,85.75,86.00
19,?,?,?,?,?,?,?,?,?,86.00,?
20,?,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,2642.75,3879.21,48184.37,2890.14,52486.00,1686.00,45.05,?,86.00
22,11073.63,47872.80,2636.08,3875.84,48127.89,2892.80,201986.50,1486.50,174.17,86.00,86.50
