%310
@RELATION PLKPPD000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,024.31,024.31,0.00,?,24.31
3,783.15,48222.72,48505.50,2832.46,024.31,024.31,0.00,24.31,24.31
4,781.69,47888.16,48143.94,2814.73,024.31,024.31,0.00,24.31,24.31
5,?,?,?,?,?,?,?,24.31,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,17424.30,224.30,4.23,?,24.30
8,780.70,47379.63,47624.67,2790.64,024.30,024.30,0.00,24.30,24.30
9,784.82,47407.28,47668.58,2784.62,024.30,024.30,0.00,24.30,24.30
10,788.85,47546.91,47798.66,2800.96,6324.25,124.25,1.53,24.30,24.25
11,795.36,47440.80,47690.97,2815.88,50024.25,124.25,12.13,24.25,24.25
12,?,?,?,?,?,?,?,24.25,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,10024.25,124.25,2.43,?,24.25
15,794.59,47086.54,47346.41,2817.16,50024.20,424.20,12.11,24.25,24.20
16,796.34,47521.39,47794.60,2825.40,024.20,024.20,0.00,24.20,24.20
17,803.56,47661.37,47936.81,2848.09,024.20,024.20,0.00,24.20,24.20
18,807.72,47813.69,48104.67,2864.72,024.20,024.20,0.00,24.20,24.20
19,?,?,?,?,?,?,?,24.20,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,024.20,024.20,0.00,?,24.20
22,808.23,47872.80,48127.89,2892.80,024.20,024.20,0.00,24.20,24.20
23,808.40,47733.24,47999.21,2890.57,024.20,024.20,0.00,24.20,24.20
24,811.80,47942.04,48203.43,2898.85,024.20,024.20,0.00,24.20,24.20
25,812.99,47613.95,47851.99,2897.93,024.20,024.20,0.00,24.20,24.20
26,?,?,?,?,?,?,?,24.20,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,024.20,024.20,0.00,?,24.20
29,815.93,47328.40,47565.10,2878.58,024.20,024.20,0.00,24.20,24.20
30,815.59,46917.19,47113.08,2876.68,024.20,024.20,0.00,24.20,24.20
31,817.14,46840.15,47011.43,2880.57,024.20,024.20,0.00,24.20,24.20
