%310
@RELATION PLKRUSZ00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,48107.89,3718.83,48389.84,2835.52,156228.90,2328.90,44.84,?,28.90
3,48222.72,3696.13,48505.50,2832.46,115228.90,3728.90,33.24,28.90,28.90
4,47888.16,3651.18,48143.94,2814.73,625129.90,6729.90,184.66,28.90,29.90
5,?,?,?,?,?,?,?,29.90,?
6,?,?,?,?,?,?,?,?,?
7,47589.33,3642.19,47820.24,2793.31,591530.79,7130.79,179.80,?,30.79
8,47379.63,3576.33,47624.67,2790.64,271130.97,3830.97,83.32,30.79,30.97
9,47407.28,3508.84,47668.58,2784.62,234230.50,5130.50,71.77,30.97,30.50
10,47546.91,3558.48,47798.66,2800.96,121530.90,3630.90,37.23,30.50,30.90
11,47440.80,3558.82,47690.97,2815.88,472230.51,3730.51,145.33,30.90,30.51
12,?,?,?,?,?,?,?,30.51,?
13,?,?,?,?,?,?,?,?,?
14,47470.12,3578.44,47724.95,2820.74,179530.60,2230.60,55.14,?,30.60
15,47086.54,3558.20,47346.41,2817.16,149030.90,2430.90,45.67,30.60,30.90
16,47521.39,3558.19,47794.60,2825.40,109430.50,3730.50,33.20,30.90,30.50
17,47661.37,3543.16,47936.81,2848.09,131830.55,1030.55,40.20,30.50,30.55
18,47813.69,3562.92,48104.67,2864.72,170430.45,1730.45,51.46,30.55,30.45
19,?,?,?,?,?,?,?,30.45,?
20,?,?,?,?,?,?,?,?,?
21,47936.61,3699.59,48184.37,2890.14,133130.38,1530.38,40.14,?,30.38
22,47872.80,3655.10,48127.89,2892.80,379129.90,4729.90,113.70,30.38,29.90
23,47733.24,3659.94,47999.21,2890.57,1041029.60,5429.60,306.42,29.90,29.60
24,47942.04,3700.17,48203.43,2898.85,136229.50,1829.50,40.03,29.60,29.50
25,47613.95,3718.94,47851.99,2897.93,398029.48,1929.48,117.23,29.50,29.48
26,?,?,?,?,?,?,?,29.48,?
27,?,?,?,?,?,?,?,?,?
28,47324.06,3735.07,47553.14,2886.17,63429.47,1429.47,18.56,?,29.47
29,47328.40,3714.68,47565.10,2878.58,180829.43,2229.43,52.67,29.47,29.43
30,46917.19,3756.63,47113.08,2876.68,141129.30,2229.30,41.35,29.43,29.30
31,46840.15,3809.65,47011.43,2880.57,346029.50,2229.50,101.80,29.30,29.50
32,46945.58,3793.66,47121.08,2883.81,157329.99,2629.99,45.99,29.50,29.99
33,?,?,?,?,?,?,?,29.99,?
34,?,?,?,?,?,?,?,?,?
35,46556.55,3715.56,46735.25,2856.17,107229.50,2629.50,32.23,?,29.50
36,46674.78,3715.75,46862.43,2843.49,120229.12,1329.12,35.10,29.50,29.12
37,46149.14,3658.81,46341.54,2811.05,90229.50,2929.50,26.54,29.12,29.50
38,46329.66,3691.32,46512.72,2815.91,4429.50,529.50,1.31,29.50,29.50
39,46741.54,3696.69,46931.40,2825.70,14029.40,729.40,4.12,29.50,29.40
40,?,?,?,?,?,?,?,29.40,?
41,?,?,?,?,?,?,?,?,?
42,46786.74,3695.92,46988.04,2826.84,1829.20,529.20,0.53,?,29.20
43,46399.26,3702.31,46564.61,2821.25,138429.26,2429.26,40.69,29.20,29.26
44,46406.74,3714.64,46569.81,2825.02,240828.91,2628.91,69.96,29.26,28.91
45,46211.54,3733.52,46360.51,2825.15,74328.50,1428.50,21.41,28.91,28.50
46,46370.13,3763.34,46523.63,2838.22,265827.90,3627.90,74.48,28.50,27.90
47,?,?,?,?,?,?,?,27.90,?
48,?,?,?,?,?,?,?,?,?
49,46508.27,3757.44,46665.39,2848.48,307127.30,4227.30,83.98,?,27.30
50,46490.89,3763.52,46652.19,2843.90,65027.30,1027.30,17.71,27.30,27.30
51,46051.76,3745.72,46198.42,2831.71,45927.30,1327.30,12.61,27.30,27.30
52,45879.90,3760.90,46050.52,2801.83,210626.70,1626.70,56.88,27.30,26.70
53,45948.12,3733.92,46124.82,2817.57,11727.10,527.10,3.15,26.70,27.10
54,?,?,?,?,?,?,?,27.10,?
55,?,?,?,?,?,?,?,?,?
56,46286.28,3698.83,46487.05,2840.57,6627.60,627.60,1.80,?,27.60
57,45868.35,3687.46,46065.85,2831.16,140028.21,3328.21,39.74,27.60,28.21
58,46241.92,3723.24,46459.99,2855.69,5728.25,728.25,1.61,28.21,28.25
59,46280.36,3694.46,46510.83,2865.27,268328.98,4128.98,77.42,28.25,28.98
60,46341.14,3596.60,46622.90,2859.05,20628.94,928.94,5.86,28.98,28.94
61,?,?,?,?,?,?,?,28.94,?
62,?,?,?,?,?,?,?,?,?
