%310
@RELATION PLLBT0000013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,9892.09,52.09,2.03,?,2.09
3,783.15,48222.72,48505.50,2832.46,22.10,12.10,0.00,2.09,2.10
4,781.69,47888.16,48143.94,2814.73,33532.09,42.09,7.02,2.10,2.09
5,?,?,?,?,?,?,?,2.09,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,20022.09,32.09,4.00,?,2.09
8,780.70,47379.63,47624.67,2790.64,13872.00,112.00,2.75,2.09,2.00
9,784.82,47407.28,47668.58,2784.62,26522.09,112.09,5.43,2.00,2.09
10,788.85,47546.91,47798.66,2800.96,13082.10,42.10,2.68,2.09,2.10
11,795.36,47440.80,47690.97,2815.88,21032.06,72.06,4.21,2.10,2.06
12,?,?,?,?,?,?,?,2.06,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,69512.07,82.07,14.06,?,2.07
15,794.59,47086.54,47346.41,2817.16,9002.00,82.00,1.83,2.07,2.00
16,796.34,47521.39,47794.60,2825.40,62491.98,161.98,12.44,2.00,1.98
17,803.56,47661.37,47936.81,2848.09,6001.95,21.95,1.17,1.98,1.95
18,807.72,47813.69,48104.67,2864.72,50321.99,91.99,10.05,1.95,1.99
19,?,?,?,?,?,?,?,1.99,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,20002.00,22.00,4.00,?,2.00
22,808.23,47872.80,48127.89,2892.80,69212.00,102.00,14.08,2.00,2.00
23,808.40,47733.24,47999.21,2890.57,701.98,11.98,0.14,2.00,1.98
24,811.80,47942.04,48203.43,2898.85,9742.04,42.04,1.95,1.98,2.04
25,812.99,47613.95,47851.99,2897.93,332332.18,392.18,70.68,2.04,2.18
26,?,?,?,?,?,?,?,2.18,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,47222.20,142.20,10.50,?,2.20
29,815.93,47328.40,47565.10,2878.58,76682.25,132.25,16.86,2.20,2.25
30,815.59,46917.19,47113.08,2876.68,22.20,12.20,0.00,2.25,2.20
31,817.14,46840.15,47011.43,2880.57,25192.24,72.24,5.63,2.20,2.24
32,818.68,46945.58,47121.08,2883.81,41422.25,102.25,9.24,2.24,2.25
33,?,?,?,?,?,?,?,2.25,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,47152.25,112.25,10.47,?,2.25
36,816.68,46674.78,46862.43,2843.49,100802.16,82.16,21.82,2.25,2.16
37,813.75,46149.14,46341.54,2811.05,5402.28,32.28,1.17,2.16,2.28
38,811.13,46329.66,46512.72,2815.91,66122.27,82.27,14.57,2.28,2.27
39,813.77,46741.54,46931.40,2825.70,1212.21,22.21,0.27,2.27,2.21
40,?,?,?,?,?,?,?,2.21,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,18432.21,92.21,4.14,?,2.21
43,817.32,46399.26,46564.61,2821.25,18082.26,52.26,4.08,2.21,2.26
44,817.35,46406.74,46569.81,2825.02,140932.38,162.38,32.86,2.26,2.38
45,818.81,46211.54,46360.51,2825.15,57922.48,162.48,13.98,2.38,2.48
46,826.73,46370.13,46523.63,2838.22,44132.52,142.52,11.08,2.48,2.52
47,?,?,?,?,?,?,?,2.52,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2848.48,47092.57,82.57,11.89,?,2.57
50,832.30,46490.89,46652.19,2843.90,16002.69,62.69,4.14,2.57,2.69
51,830.62,46051.76,46198.42,2831.71,28962.78,132.78,7.83,2.69,2.78
52,823.32,45879.90,46050.52,2801.83,35372.78,82.78,9.42,2.78,2.78
53,826.66,45948.12,46124.82,2817.57,9152.65,42.65,2.47,2.78,2.65
54,?,?,?,?,?,?,?,2.65,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,2840.57,22.69,12.69,0.01,?,2.69
57,828.81,45868.35,46065.85,2831.16,7912.65,42.65,2.02,2.69,2.65
58,836.69,46241.92,46459.99,2855.69,83672.80,122.80,22.35,2.65,2.80
59,844.08,46280.36,46510.83,2865.27,11852.62,32.62,3.15,2.80,2.62
60,842.02,46341.14,46622.90,2859.05,7312.79,102.79,1.93,2.62,2.79
61,?,?,?,?,?,?,?,2.79,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,2860.68,2512.79,42.79,0.70,?,2.79
64,845.88,46676.09,47001.38,2868.06,11022.78,32.78,2.93,2.79,2.78
65,849.88,46762.65,47090.49,2872.90,22.79,12.79,0.01,2.78,2.79
66,855.99,46745.26,47060.66,2873.49,15022.79,62.79,4.10,2.79,2.79
67,861.67,47074.39,47436.21,2906.74,22932.73,62.73,6.22,2.79,2.73
68,?,?,?,?,?,?,?,2.73,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,2914.24,126712.74,132.74,34.33,?,2.74
71,866.79,47010.40,47340.43,2911.38,18852.73,42.73,5.15,2.74,2.73
72,872.90,46888.37,47235.72,2901.67,22.74,12.74,0.01,2.73,2.74
73,871.52,47223.68,47606.16,2912.13,4022.73,32.73,1.06,2.74,2.73
74,873.21,47125.93,47522.10,2909.77,32.73,12.73,0.01,2.73,2.73
75,?,?,?,?,?,?,?,2.73,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,2900.59,21802.73,82.73,5.80,?,2.73
78,864.73,46029.35,46473.62,2868.24,32.73,12.73,0.01,2.73,2.73
79,862.97,46068.24,46511.62,2874.75,255022.71,82.71,66.36,2.73,2.71
80,850.86,45580.47,46017.88,2833.61,13462.57,52.57,3.47,2.71,2.57
81,845.32,45066.18,45473.08,2800.67,15002.55,62.55,3.66,2.57,2.55
82,?,?,?,?,?,?,?,2.55,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,2780.21,6122.63,32.63,1.57,?,2.63
85,830.80,44724.88,45119.16,2774.13,38552.50,72.50,9.74,2.63,2.50
