%310
@RELATION PLLENTX00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,162864.89,354.89,79.89,?,4.89
3,10554.18,48222.72,48505.50,2832.46,84314.88,164.88,41.18,4.89,4.88
4,10519.33,47888.16,48143.94,2814.73,74104.82,124.82,35.68,4.88,4.82
5,?,?,?,?,?,?,?,4.82,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,100084.81,174.81,48.32,?,4.81
8,10500.71,47379.63,47624.67,2790.64,120944.84,214.84,58.44,4.81,4.84
9,10503.06,47407.28,47668.58,2784.62,7264.89,34.89,3.55,4.84,4.89
10,10496.80,47546.91,47798.66,2800.96,396464.99,454.99,196.19,4.89,4.99
11,10595.04,47440.80,47690.97,2815.88,114654.92,304.92,57.05,4.99,4.92
12,?,?,?,?,?,?,?,4.92,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,158344.86,304.86,77.28,?,4.86
15,10638.06,47086.54,47346.41,2817.16,27394.82,94.82,13.23,4.86,4.82
16,10673.05,47521.39,47794.60,2825.40,166204.97,294.97,81.36,4.82,4.97
17,10767.29,47661.37,47936.81,2848.09,12004.98,44.98,5.97,4.97,4.98
18,10903.93,47813.69,48104.67,2864.72,56604.94,114.94,27.96,4.98,4.94
19,?,?,?,?,?,?,?,4.94,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,1004.95,14.95,0.50,?,4.95
22,11073.63,47872.80,48127.89,2892.80,51854.94,144.94,25.31,4.95,4.94
23,11071.80,47733.24,47999.21,2890.57,29164.89,94.89,14.31,4.94,4.89
24,11108.21,47942.04,48203.43,2898.85,6624.89,24.89,3.24,4.89,4.89
25,11174.05,47613.95,47851.99,2897.93,32504.88,114.88,15.70,4.89,4.88
26,?,?,?,?,?,?,?,4.88,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,42614.93,104.93,20.51,?,4.93
29,11165.66,47328.40,47565.10,2878.58,34994.89,84.89,17.02,4.93,4.89
30,11183.61,46917.19,47113.08,2876.68,16004.80,44.80,7.69,4.89,4.80
31,11245.80,46840.15,47011.43,2880.57,90074.87,104.87,43.09,4.80,4.87
32,11241.00,46945.58,47121.08,2883.81,33664.84,104.84,16.12,4.87,4.84
33,?,?,?,?,?,?,?,4.84,?
34,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,2856.17,66154.84,114.84,31.68,?,4.84
36,11060.84,46674.78,46862.43,2843.49,54444.86,64.86,25.95,4.84,4.86
37,10953.57,46149.14,46341.54,2811.05,120104.81,124.81,57.25,4.86,4.81
38,10950.03,46329.66,46512.72,2815.91,61144.88,104.88,29.37,4.81,4.88
39,10986.53,46741.54,46931.40,2825.70,104674.89,304.89,50.46,4.88,4.89
40,?,?,?,?,?,?,?,4.89,?
41,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,46988.04,2826.84,384324.90,334.90,187.89,?,4.90
43,10981.98,46399.26,46564.61,2821.25,15934.90,34.90,7.81,4.90,4.90
44,11022.58,46406.74,46569.81,2825.02,25054.89,34.89,12.25,4.90,4.89
45,11017.48,46211.54,46360.51,2825.15,22694.88,64.88,11.02,4.89,4.88
46,11071.18,46370.13,46523.63,2838.22,53794.88,114.88,26.19,4.88,4.88
47,?,?,?,?,?,?,?,4.88,?
48,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,46665.39,2848.48,89104.90,204.90,43.27,?,4.90
50,11119.72,46490.89,46652.19,2843.90,16584.88,74.88,8.04,4.90,4.88
51,11014.53,46051.76,46198.42,2831.71,8754.79,24.79,4.20,4.88,4.79
52,10948.88,45879.90,46050.52,2801.83,1204.78,24.78,0.57,4.79,4.78
53,10985.79,45948.12,46124.82,2817.57,554.85,14.85,0.27,4.78,4.85
54,?,?,?,?,?,?,?,4.85,?
55,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,46487.05,2840.57,564734.80,464.80,269.92,?,4.80
57,10972.28,45868.35,46065.85,2831.16,101614.76,124.76,48.36,4.80,4.76
58,11039.20,46241.92,46459.99,2855.69,59844.73,134.73,28.41,4.76,4.73
59,11052.03,46280.36,46510.83,2865.27,1004.81,14.81,0.48,4.73,4.81
60,11010.83,46341.14,46622.90,2859.05,36814.81,84.81,17.52,4.81,4.81
61,?,?,?,?,?,?,?,4.81,?
62,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,46454.13,2860.68,04.81,04.81,0.00,?,4.81
64,10997.33,46676.09,47001.38,2868.06,24734.78,54.78,11.69,4.81,4.78
65,11042.47,46762.65,47090.49,2872.90,40274.80,94.80,19.09,4.78,4.80
66,11042.08,46745.26,47060.66,2873.49,100884.84,214.84,48.25,4.80,4.84
67,11119.06,47074.39,47436.21,2906.74,435744.79,764.79,206.72,4.84,4.79
68,?,?,?,?,?,?,?,4.79,?
69,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,47269.75,2914.24,104004.76,284.76,49.20,?,4.76
71,11150.86,47010.40,47340.43,2911.38,181864.77,334.77,85.77,4.76,4.77
72,11194.08,46888.37,47235.72,2901.67,164324.71,374.71,78.27,4.77,4.71
73,11231.22,47223.68,47606.16,2912.13,102264.76,164.76,48.04,4.71,4.76
74,11228.39,47125.93,47522.10,2909.77,36054.74,104.74,17.01,4.76,4.74
75,?,?,?,?,?,?,?,4.74,?
76,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,47094.18,2900.59,68754.71,194.71,32.37,?,4.71
78,11135.62,46029.35,46473.62,2868.24,155774.66,214.66,73.16,4.71,4.66
79,11168.63,46068.24,46511.62,2874.75,5254.70,64.70,2.46,4.66,4.70
80,11069.03,45580.47,46017.88,2833.61,42504.69,154.69,19.86,4.70,4.69
81,10908.77,45066.18,45473.08,2800.67,78604.72,214.72,37.10,4.69,4.72
82,?,?,?,?,?,?,?,4.72,?
83,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,44946.32,2780.21,146144.67,274.67,68.67,?,4.67
85,10815.43,44724.88,45119.16,2774.13,20544.70,84.70,9.63,4.67,4.70
86,10867.86,45247.90,45644.09,2785.46,320254.66,264.66,149.52,4.70,4.66
87,10938.55,45147.57,45528.85,2797.31,133604.58,334.58,61.93,4.66,4.58
88,?,?,?,?,?,?,?,4.58,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,45679.51,2814.33,184104.55,244.55,84.18,?,4.55
93,10809.87,44604.61,44940.36,2769.02,43684.55,144.55,19.87,4.55,4.55
94,10817.23,44623.89,44980.62,2766.19,197944.54,304.54,89.49,4.55,4.54
95,10803.99,44597.66,44960.02,2760.91,427714.50,284.50,194.31,4.54,4.50
96,?,?,?,?,?,?,?,4.50,?
97,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,44963.96,2764.28,760864.50,914.50,341.44,?,4.50
99,10820.89,44725.03,45096.35,2767.26,489484.49,394.49,220.71,4.50,4.49
100,10845.27,45091.63,45495.34,2780.21,523074.48,564.48,235.11,4.49,4.48
101,10908.65,45688.48,46131.66,2794.43,447044.39,614.39,198.86,4.48,4.39
102,10807.45,45525.92,45960.10,2783.53,2245774.55,2764.55,1035.42,4.39,4.55
103,?,?,?,?,?,?,?,4.55,?
104,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,45167.65,2754.91,227114.50,474.50,102.32,?,4.50
106,?,?,?,?,?,?,?,4.50,?
107,10431.02,43916.24,44404.81,2705.88,274194.42,474.42,121.04,?,4.42
108,10415.53,43364.70,43850.06,2695.55,214004.43,394.43,94.52,4.42,4.43
109,10373.60,43447.75,43993.98,2685.57,242404.48,544.48,107.48,4.43,4.48
110,?,?,?,?,?,?,?,4.48,?
111,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,43892.82,2660.28,561704.38,704.38,248.27,?,4.38
113,10282.22,43159.57,43707.88,2624.40,170054.35,344.35,74.17,4.38,4.35
114,10264.95,43356.73,43908.95,2636.70,440504.37,274.37,195.36,4.35,4.37
115,10327.20,43482.18,44027.03,2658.57,330434.30,504.30,142.89,4.37,4.30
116,10407.26,43665.21,44226.06,2669.93,560664.35,714.35,241.36,4.30,4.35
117,?,?,?,?,?,?,?,4.35,?
118,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,44420.22,2685.14,35674.32,114.32,15.36,?,4.32
120,10511.46,44162.18,44653.34,2704.84,150084.41,454.41,65.44,4.32,4.41
121,?,?,?,?,?,?,?,4.41,?
122,10554.34,43991.51,44466.89,2695.22,41034.43,174.43,18.09,?,4.43
123,?,?,?,?,?,?,?,4.43,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,45060.80,2714.72,60084.40,254.40,26.29,?,4.40
127,10618.63,44742.22,45244.29,2733.96,165534.45,94.45,73.13,4.40,4.45
128,10692.81,45117.94,45647.76,2752.14,399384.50,264.50,177.97,4.45,4.50
129,10714.80,44943.16,45475.08,2760.20,149424.53,184.53,67.17,4.50,4.53
130,10758.03,44895.35,45408.06,2769.85,63604.52,174.52,28.66,4.53,4.52
131,?,?,?,?,?,?,?,4.52,?
132,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,45746.01,2790.62,264644.69,174.69,121.51,?,4.69
134,10819.27,45771.11,46336.62,2822.41,108204.55,254.55,49.52,4.69,4.55
135,10913.18,46102.42,46676.61,2848.38,180334.68,224.68,83.78,4.55,4.68
136,10976.80,45992.03,46581.16,2871.70,383444.67,474.67,179.74,4.68,4.67
137,10991.63,46078.68,46646.58,2885.19,514974.70,464.70,241.56,4.67,4.70
138,?,?,?,?,?,?,?,4.70,?
139,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,46615.31,2921.95,944584.80,864.80,455.29,?,4.80
141,11089.17,45851.80,46439.10,2893.12,196604.73,374.73,93.68,4.80,4.73
142,11082.19,45933.66,46529.96,2912.70,362054.68,384.68,171.80,4.73,4.68
143,11050.12,45687.76,46311.26,2894.53,451544.72,474.72,208.94,4.68,4.72
144,11130.47,46145.44,46783.61,2929.62,392144.71,494.71,185.00,4.72,4.71
145,?,?,?,?,?,?,?,4.71,?
146,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,47957.54,2976.83,584754.71,354.71,274.50,?,4.71
148,11439.53,47579.87,48258.02,2997.81,154784.66,204.66,72.01,4.71,4.66
149,11434.08,47476.64,48138.07,3000.58,376674.88,564.88,181.42,4.66,4.88
150,?,?,?,?,?,?,?,4.88,?
151,11518.87,47806.34,48503.87,2994.25,410314.92,604.92,201.23,?,4.92
152,?,?,?,?,?,?,?,4.92,?
153,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,47868.36,2970.24,13744.92,84.92,6.73,?,4.92
155,11527.78,47620.68,48323.88,2998.79,227924.99,354.99,113.79,4.92,4.99
156,11566.33,47805.94,48513.29,3026.87,284455.00,575.00,142.81,4.99,5.00
157,11598.90,47573.66,48259.19,3020.15,84495.00,255.00,42.32,5.00,5.00
158,11721.20,48209.65,48918.37,3044.38,118764.96,224.96,58.99,5.00,4.96
159,?,?,?,?,?,?,?,4.96,?
160,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,49207.65,3065.91,291105.00,435.00,145.40,?,5.00
162,11906.69,48324.52,49050.96,3074.89,651974.95,644.95,328.42,5.00,4.95
163,12044.12,48383.93,49098.70,3098.83,388394.97,224.97,193.18,4.95,4.97
164,11997.09,48152.82,48890.47,3089.32,131184.96,234.96,64.81,4.97,4.96
165,11980.74,48273.42,49057.66,3092.65,23144.94,104.94,11.38,4.96,4.94
166,?,?,?,?,?,?,?,4.94,?
167,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,48917.56,3100.24,149844.93,274.93,74.07,?,4.93
169,12001.25,48119.72,48891.04,3120.39,178004.96,314.96,87.74,4.93,4.96
170,11995.61,47743.10,48509.84,3122.21,338534.93,414.93,165.92,4.96,4.93
171,11755.38,45870.00,46587.68,3038.18,238034.91,324.91,116.56,4.93,4.91
172,11698.05,44732.92,45456.77,3001.68,222264.91,384.91,108.58,4.91,4.91
173,?,?,?,?,?,?,?,4.91,?
174,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,45531.46,2990.89,156624.83,264.83,76.34,?,4.83
176,11846.22,44966.09,45672.10,2999.31,234434.86,224.86,113.37,4.83,4.86
177,11772.39,44893.99,45601.51,2972.55,1030734.99,464.99,506.77,4.86,4.99
178,11665.86,43667.37,44326.49,2915.58,437495.01,455.01,216.96,4.99,5.01
179,11716.43,44747.79,45442.51,2948.80,83255.02,255.02,41.74,5.01,5.02
180,?,?,?,?,?,?,?,5.02,?
181,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,45461.06,2963.91,141225.01,195.01,70.69,?,5.01
183,11805.57,45533.94,46254.71,2981.48,154785.00,205.00,76.83,5.01,5.00
184,11736.24,45184.98,45899.36,2971.57,304094.97,574.97,150.15,5.00,4.97
185,11820.50,45613.75,46344.42,2988.19,220604.98,284.98,109.05,4.97,4.98
186,11822.63,45110.89,45805.34,2977.06,329394.97,314.97,162.98,4.98,4.97
187,?,?,?,?,?,?,?,4.97,?
188,?,?,?,?,?,?,?,?,?
