%310
@RELATION PLMAKRM00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,49011.03,41.03,5.05,?,1.03
3,783.15,48222.72,48505.50,2832.46,94001.04,51.04,9.46,1.03,1.04
4,781.69,47888.16,48143.94,2814.73,437511.09,141.09,44.56,1.04,1.09
5,?,?,?,?,?,?,?,1.09,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,25591.08,31.08,2.72,?,1.08
8,780.70,47379.63,47624.67,2790.64,236161.10,161.10,25.57,1.08,1.10
9,784.82,47407.28,47668.58,2784.62,11.11,11.11,0.00,1.10,1.11
10,788.85,47546.91,47798.66,2800.96,77581.14,41.14,8.62,1.11,1.14
11,795.36,47440.80,47690.97,2815.88,878231.18,461.18,101.18,1.14,1.18
12,?,?,?,?,?,?,?,1.18,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,93811.19,81.19,11.13,?,1.19
15,794.59,47086.54,47346.41,2817.16,831891.25,451.25,99.96,1.19,1.25
16,796.34,47521.39,47794.60,2825.40,382001.19,221.19,47.23,1.25,1.19
17,803.56,47661.37,47936.81,2848.09,358271.18,151.18,42.88,1.19,1.18
18,807.72,47813.69,48104.67,2864.72,314091.19,171.19,36.70,1.18,1.19
19,?,?,?,?,?,?,?,1.19,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,224201.18,61.18,26.05,?,1.18
22,808.23,47872.80,48127.89,2892.80,80001.15,41.15,9.20,1.18,1.15
23,808.40,47733.24,47999.21,2890.57,01.15,01.15,0.00,1.15,1.15
24,811.80,47942.04,48203.43,2898.85,701.14,11.14,0.08,1.15,1.14
25,812.99,47613.95,47851.99,2897.93,178511.17,41.17,20.89,1.14,1.17
26,?,?,?,?,?,?,?,1.17,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,50001.18,21.18,5.90,?,1.18
29,815.93,47328.40,47565.10,2878.58,01.18,01.18,0.00,1.18,1.18
30,815.59,46917.19,47113.08,2876.68,403561.18,81.18,47.57,1.18,1.18
31,817.14,46840.15,47011.43,2880.57,110001.17,261.17,12.93,1.18,1.17
32,818.68,46945.58,47121.08,2883.81,01.17,01.17,0.00,1.17,1.17
33,?,?,?,?,?,?,?,1.17,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,10001.15,11.15,1.15,?,1.15
36,816.68,46674.78,46862.43,2843.49,31601.15,31.15,3.56,1.15,1.15
37,813.75,46149.14,46341.54,2811.05,25501.10,51.10,2.83,1.15,1.10
38,811.13,46329.66,46512.72,2815.91,303001.12,151.12,33.27,1.10,1.12
39,813.77,46741.54,46931.40,2825.70,39021.11,71.11,4.33,1.12,1.11
40,?,?,?,?,?,?,?,1.11,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,244181.07,121.07,26.23,?,1.07
43,817.32,46399.26,46564.61,2821.25,21.10,11.10,0.00,1.07,1.10
44,817.35,46406.74,46569.81,2825.02,4631.11,21.11,0.50,1.10,1.11
45,818.81,46211.54,46360.51,2825.15,200001.13,151.13,22.49,1.11,1.13
46,826.73,46370.13,46523.63,2838.22,73331.13,21.13,8.33,1.13,1.13
47,?,?,?,?,?,?,?,1.13,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2848.48,594331.08,391.08,63.99,?,1.08
50,832.30,46490.89,46652.19,2843.90,559751.07,221.07,59.63,1.08,1.07
51,830.62,46051.76,46198.42,2831.71,902241.11,181.11,96.91,1.07,1.11
52,823.32,45879.90,46050.52,2801.83,230001.10,551.10,25.21,1.11,1.10
53,826.66,45948.12,46124.82,2817.57,94991.09,91.09,10.22,1.10,1.09
54,?,?,?,?,?,?,?,1.09,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,2840.57,223121.09,391.09,23.97,?,1.09
57,828.81,45868.35,46065.85,2831.16,157281.07,161.07,16.80,1.09,1.07
58,836.69,46241.92,46459.99,2855.69,7771.04,21.04,0.81,1.07,1.04
59,844.08,46280.36,46510.83,2865.27,233111.07,271.07,24.86,1.04,1.07
60,842.02,46341.14,46622.90,2859.05,58311.06,81.06,6.17,1.07,1.06
61,?,?,?,?,?,?,?,1.06,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,2860.68,10221.06,41.06,1.05,?,1.06
64,845.88,46676.09,47001.38,2868.06,41451.07,41.07,4.31,1.06,1.07
65,849.88,46762.65,47090.49,2872.90,9401.06,11.06,1.00,1.07,1.06
66,855.99,46745.26,47060.66,2873.49,814641.03,311.03,80.55,1.06,1.03
67,861.67,47074.39,47436.21,2906.74,37001.03,51.03,3.80,1.03,1.03
68,?,?,?,?,?,?,?,1.03,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,2914.24,369601.08,281.08,39.40,?,1.08
71,866.79,47010.40,47340.43,2911.38,1194471.07,381.07,125.84,1.08,1.07
72,872.90,46888.37,47235.72,2901.67,1319041.12,81.12,139.11,1.07,1.12
73,871.52,47223.68,47606.16,2912.13,1249571.13,381.13,142.27,1.12,1.13
74,873.21,47125.93,47522.10,2909.77,100001.11,41.11,11.10,1.13,1.11
75,?,?,?,?,?,?,?,1.11,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,2900.59,26471.12,21.12,2.95,?,1.12
78,864.73,46029.35,46473.62,2868.24,365451.15,191.15,41.36,1.12,1.15
79,862.97,46068.24,46511.62,2874.75,91851.15,61.15,10.45,1.15,1.15
80,850.86,45580.47,46017.88,2833.61,5579951.25,2511.25,706.86,1.15,1.25
81,845.32,45066.18,45473.08,2800.67,1540481.27,1161.27,186.74,1.25,1.27
82,?,?,?,?,?,?,?,1.27,?
83,?,?,?,?,?,?,?,?,?
