%310
@RELATION PLMCIMG00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,3946736.66,3546.66,2589.76,?,6.66
3,10554.18,48222.72,48505.50,2832.46,1099076.50,2546.50,718.94,6.66,6.50
4,10519.33,47888.16,48143.94,2814.73,2759586.25,4186.25,1719.70,6.50,6.25
5,?,?,?,?,?,?,?,6.25,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,904406.16,2226.16,558.69,?,6.16
8,10500.71,47379.63,47624.67,2790.64,633276.20,1256.20,395.22,6.16,6.20
9,10503.06,47407.28,47668.58,2784.62,705516.24,926.24,440.18,6.20,6.24
10,10496.80,47546.91,47798.66,2800.96,1667336.51,1856.51,1077.98,6.24,6.51
11,10595.04,47440.80,47690.97,2815.88,4221386.42,3216.42,2752.24,6.51,6.42
12,?,?,?,?,?,?,?,6.42,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,2351356.45,1346.45,1497.19,?,6.45
15,10638.06,47086.54,47346.41,2817.16,3491956.62,2766.62,2203.15,6.45,6.62
16,10673.05,47521.39,47794.60,2825.40,4640836.77,4476.77,3090.79,6.62,6.77
17,10767.29,47661.37,47936.81,2848.09,4704156.70,4676.70,3248.89,6.77,6.70
18,10903.93,47813.69,48104.67,2864.72,2201086.72,2606.72,1473.12,6.70,6.72
19,?,?,?,?,?,?,?,6.72,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,1695716.68,1476.68,1143.29,?,6.68
22,11073.63,47872.80,48127.89,2892.80,1629796.49,2896.49,1057.34,6.68,6.49
23,11071.80,47733.24,47999.21,2890.57,1055796.40,1456.40,674.82,6.49,6.40
24,11108.21,47942.04,48203.43,2898.85,318996.46,816.46,206.31,6.40,6.46
25,11174.05,47613.95,47851.99,2897.93,483796.52,986.52,314.51,6.46,6.52
26,?,?,?,?,?,?,?,6.52,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,1285406.59,1576.59,840.24,?,6.59
29,11165.66,47328.40,47565.10,2878.58,1273726.74,1856.74,849.00,6.59,6.74
30,11183.61,46917.19,47113.08,2876.68,939266.83,2256.83,643.88,6.74,6.83
31,11245.80,46840.15,47011.43,2880.57,401806.76,916.76,274.81,6.83,6.76
32,11241.00,46945.58,47121.08,2883.81,552406.80,846.80,375.59,6.76,6.80
33,?,?,?,?,?,?,?,6.80,?
34,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,2856.17,594856.82,826.82,403.72,?,6.82
36,11060.84,46674.78,46862.43,2843.49,728456.75,1106.75,491.34,6.82,6.75
37,10953.57,46149.14,46341.54,2811.05,3463416.65,1556.65,2334.01,6.75,6.65
38,10950.03,46329.66,46512.72,2815.91,277166.61,716.61,183.17,6.65,6.61
39,10986.53,46741.54,46931.40,2825.70,335006.68,626.68,224.32,6.61,6.68
40,?,?,?,?,?,?,?,6.68,?
41,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,46988.04,2826.84,252096.75,586.75,169.92,?,6.75
43,10981.98,46399.26,46564.61,2821.25,420756.65,1016.65,279.52,6.75,6.65
44,11022.58,46406.74,46569.81,2825.02,484956.70,786.70,322.86,6.65,6.70
45,11017.48,46211.54,46360.51,2825.15,367316.64,566.64,242.96,6.70,6.64
46,11071.18,46370.13,46523.63,2838.22,437716.70,656.70,292.98,6.64,6.70
47,?,?,?,?,?,?,?,6.70,?
48,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,46665.39,2848.48,1921926.90,3306.90,1330.08,?,6.90
50,11119.72,46490.89,46652.19,2843.90,1529677.24,3687.24,1094.72,6.90,7.24
51,11014.53,46051.76,46198.42,2831.71,832677.13,2147.13,601.39,7.24,7.13
52,10948.88,45879.90,46050.52,2801.83,1080106.96,2176.96,746.44,7.13,6.96
53,10985.79,45948.12,46124.82,2817.57,451727.00,817.00,316.99,6.96,7.00
54,?,?,?,?,?,?,?,7.00,?
55,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,46487.05,2840.57,497107.04,917.04,354.31,?,7.04
57,10972.28,45868.35,46065.85,2831.16,607466.92,1086.92,423.18,7.04,6.92
58,11039.20,46241.92,46459.99,2855.69,481717.00,977.00,337.70,6.92,7.00
59,11052.03,46280.36,46510.83,2865.27,366306.95,1116.95,257.14,7.00,6.95
60,11010.83,46341.14,46622.90,2859.05,624446.94,1226.94,429.31,6.95,6.94
61,?,?,?,?,?,?,?,6.94,?
62,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,46454.13,2860.68,296816.95,776.95,204.37,?,6.95
64,10997.33,46676.09,47001.38,2868.06,327797.00,717.00,227.91,6.95,7.00
65,11042.47,46762.65,47090.49,2872.90,1110117.15,2157.15,795.64,7.00,7.15
66,11042.08,46745.26,47060.66,2873.49,430667.21,947.21,307.44,7.15,7.21
67,11119.06,47074.39,47436.21,2906.74,884647.25,1877.25,636.70,7.21,7.25
68,?,?,?,?,?,?,?,7.25,?
69,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,47269.75,2914.24,542757.23,977.23,390.50,?,7.23
71,11150.86,47010.40,47340.43,2911.38,1016637.41,2247.41,747.77,7.23,7.41
72,11194.08,46888.37,47235.72,2901.67,1146677.27,1887.27,833.73,7.41,7.27
73,11231.22,47223.68,47606.16,2912.13,1169497.49,1927.49,865.04,7.27,7.49
74,11228.39,47125.93,47522.10,2909.77,503877.49,1497.49,375.77,7.49,7.49
75,?,?,?,?,?,?,?,7.49,?
76,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,47094.18,2900.59,918077.36,1637.36,670.25,?,7.36
