%310
@RELATION PLMNRTR00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,1291061.20,641.20,154.23,?,1.20
3,10554.18,48222.72,48505.50,2832.46,2778061.22,1571.22,343.89,1.20,1.22
4,10519.33,47888.16,48143.94,2814.73,362681.19,241.19,43.61,1.22,1.19
5,?,?,?,?,?,?,?,1.19,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,191781.18,171.18,22.70,?,1.18
8,10500.71,47379.63,47624.67,2790.64,185711.19,161.19,22.09,1.18,1.19
9,10503.06,47407.28,47668.58,2784.62,92391.20,161.20,11.02,1.19,1.20
10,10496.80,47546.91,47798.66,2800.96,142721.21,141.21,17.11,1.20,1.21
11,10595.04,47440.80,47690.97,2815.88,465141.22,321.22,56.68,1.21,1.22
12,?,?,?,?,?,?,?,1.22,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,1549081.22,731.22,191.04,?,1.22
15,10638.06,47086.54,47346.41,2817.16,307311.20,251.20,36.90,1.22,1.20
16,10673.05,47521.39,47794.60,2825.40,289901.21,241.21,34.78,1.20,1.21
17,10767.29,47661.37,47936.81,2848.09,494181.23,341.23,60.68,1.21,1.23
18,10903.93,47813.69,48104.67,2864.72,156871.23,221.23,19.27,1.23,1.23
19,?,?,?,?,?,?,?,1.23,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,60901.22,81.22,7.43,?,1.22
22,11073.63,47872.80,48127.89,2892.80,946781.13,741.13,109.38,1.22,1.13
23,11071.80,47733.24,47999.21,2890.57,1935621.11,1171.11,210.73,1.13,1.11
24,11108.21,47942.04,48203.43,2898.85,320901.15,291.15,36.37,1.11,1.15
25,11174.05,47613.95,47851.99,2897.93,324351.15,141.15,37.29,1.15,1.15
26,?,?,?,?,?,?,?,1.15,?
27,?,?,?,?,?,?,?,?,?
