%310
@RELATION PLMRBUD00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1718.26,48389.84,2835.52,1807941.23,881.23,221.66,?,1.23
3,10554.18,48222.72,1714.83,48505.50,2832.46,1615441.24,1051.24,199.47,1.23,1.24
4,10519.33,47888.16,1719.23,48143.94,2814.73,1774421.23,781.23,216.48,1.24,1.23
5,?,?,?,?,?,?,?,?,1.23,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1719.82,47820.24,2793.31,969031.21,541.21,116.72,?,1.21
8,10500.71,47379.63,1714.18,47624.67,2790.64,3523731.16,1451.16,412.15,1.21,1.16
9,10503.06,47407.28,1722.98,47668.58,2784.62,4271241.15,2441.15,496.69,1.16,1.15
10,10496.80,47546.91,1717.51,47798.66,2800.96,2990021.15,1601.15,343.55,1.15,1.15
11,10595.04,47440.80,1761.65,47690.97,2815.88,1379161.15,871.15,157.86,1.15,1.15
12,?,?,?,?,?,?,?,?,1.15,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1787.10,47724.95,2820.74,5238591.17,1681.17,611.72,?,1.17
15,10638.06,47086.54,1789.24,47346.41,2817.16,2628121.21,1321.21,315.30,1.17,1.21
16,10673.05,47521.39,1813.57,47794.60,2825.40,5504791.25,2161.25,678.99,1.21,1.25
17,10767.29,47661.37,1796.76,47936.81,2848.09,6707211.30,3261.30,872.25,1.25,1.30
18,10903.93,47813.69,1830.45,48104.67,2864.72,2162641.26,1231.26,277.64,1.30,1.26
19,?,?,?,?,?,?,?,?,1.26,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1829.00,48184.37,2890.14,2446701.31,1201.31,318.23,?,1.31
22,11073.63,47872.80,1822.02,48127.89,2892.80,2278481.30,1061.30,296.74,1.31,1.30
23,11071.80,47733.24,1819.73,47999.21,2890.57,1299531.29,621.29,167.98,1.30,1.29
24,11108.21,47942.04,1794.79,48203.43,2898.85,10108071.20,3011.20,1233.39,1.29,1.20
25,11174.05,47613.95,1818.33,47851.99,2897.93,2097991.22,1111.22,251.77,1.20,1.22
26,?,?,?,?,?,?,?,?,1.22,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1811.61,47553.14,2886.17,2421211.20,911.20,292.09,?,1.20
29,11165.66,47328.40,1804.79,47565.10,2878.58,747991.22,401.22,89.93,1.20,1.22
30,11183.61,46917.19,1825.50,47113.08,2876.68,1014531.20,481.20,122.52,1.22,1.20
31,11245.80,46840.15,1817.11,47011.43,2880.57,4813521.22,2521.22,591.27,1.20,1.22
32,11241.00,46945.58,1834.26,47121.08,2883.81,2640851.19,1531.19,316.97,1.22,1.19
33,?,?,?,?,?,?,?,?,1.19,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1819.69,46735.25,2856.17,2103801.14,1551.14,245.47,?,1.14
36,11060.84,46674.78,1784.50,46862.43,2843.49,3644421.16,1801.16,413.43,1.14,1.16
37,10953.57,46149.14,1779.66,46341.54,2811.05,363981.15,481.15,42.27,1.16,1.15
38,10950.03,46329.66,1758.77,46512.72,2815.91,446931.17,461.17,52.49,1.15,1.17
