%310
@RELATION PLMSTPL00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,35721.00,521.00,7.47,?,21.00
3,783.15,48222.72,1714.83,48505.50,21421.09,1721.09,4.51,21.00,21.09
4,781.69,47888.16,1719.23,48143.94,62021.00,1821.00,13.08,21.09,21.00
5,?,?,?,?,?,?,?,21.00,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,23621.35,3121.35,4.91,?,21.35
8,780.70,47379.63,1714.18,47624.67,59121.80,1321.80,12.71,21.35,21.80
9,784.82,47407.28,1722.98,47668.58,29021.95,521.95,6.36,21.80,21.95
10,788.85,47546.91,1717.51,47798.66,121721.95,1021.95,26.77,21.95,21.95
11,795.36,47440.80,1761.65,47690.97,19721.71,721.71,4.31,21.95,21.71
12,?,?,?,?,?,?,?,21.71,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,4122.19,622.19,0.90,?,22.19
15,794.59,47086.54,1789.24,47346.41,43321.20,721.20,9.17,22.19,21.20
16,796.34,47521.39,1813.57,47794.60,1421.71,521.71,0.30,21.20,21.71
17,803.56,47661.37,1796.76,47936.81,221.79,221.79,0.04,21.71,21.79
18,807.72,47813.69,1830.45,48104.67,121.85,121.85,0.02,21.79,21.85
19,?,?,?,?,?,?,?,21.85,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,225920.80,1320.80,47.52,?,20.80
22,808.23,47872.80,1822.02,48127.89,120.99,120.99,0.02,20.80,20.99
23,808.40,47733.24,1819.73,47999.21,220.79,220.79,0.04,20.99,20.79
24,811.80,47942.04,1794.79,48203.43,285721.50,1121.50,60.84,20.79,21.50
25,812.99,47613.95,1818.33,47851.99,221.50,221.50,0.04,21.50,21.50
26,?,?,?,?,?,?,?,21.50,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,46320.99,320.99,9.72,?,20.99
29,815.93,47328.40,1804.79,47565.10,10120.10,220.10,2.03,20.99,20.10
30,815.59,46917.19,1825.50,47113.08,70821.01,1921.01,14.86,20.10,21.01
31,817.14,46840.15,1817.11,47011.43,74121.87,821.87,15.95,21.01,21.87
32,818.68,46945.58,1834.26,47121.08,50221.32,521.32,10.68,21.87,21.32
33,?,?,?,?,?,?,?,21.32,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,3021.98,321.98,0.64,?,21.98
36,816.68,46674.78,1784.50,46862.43,202221.94,1821.94,43.67,21.98,21.94
37,813.75,46149.14,1779.66,46341.54,779121.90,2021.90,170.60,21.94,21.90
38,811.13,46329.66,1758.77,46512.72,12621.96,421.96,2.76,21.90,21.96
39,813.77,46741.54,1769.71,46931.40,221.98,221.98,0.04,21.96,21.98
40,?,?,?,?,?,?,?,21.98,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1762.40,46988.04,1022.00,322.00,0.22,?,22.00
43,817.32,46399.26,1785.06,46564.61,15222.00,322.00,3.27,22.00,22.00
44,817.35,46406.74,1780.69,46569.81,3421.51,3421.51,0.73,22.00,21.51
45,818.81,46211.54,1783.79,46360.51,321.51,321.51,0.06,21.51,21.51
46,826.73,46370.13,1804.96,46523.63,121.51,121.51,0.02,21.51,21.51
47,?,?,?,?,?,?,?,21.51,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1814.39,46665.39,222.00,222.00,0.04,?,22.00
50,832.30,46490.89,1821.72,46652.19,296123.95,1923.95,67.87,22.00,23.95
51,830.62,46051.76,1809.28,46198.42,35725.00,1425.00,8.77,23.95,25.00
52,823.32,45879.90,1812.57,46050.52,36623.80,623.80,8.76,25.00,23.80
53,826.66,45948.12,1826.84,46124.82,1570623.40,823.40,372.59,23.80,23.40
54,?,?,?,?,?,?,?,23.40,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1850.28,46487.05,8323.35,423.35,1.94,?,23.35
57,828.81,45868.35,1831.29,46065.85,15523.30,523.30,3.61,23.35,23.30
58,836.69,46241.92,1848.22,46459.99,8123.00,1123.00,1.87,23.30,23.00
59,844.08,46280.36,1866.67,46510.83,83623.21,623.21,19.34,23.00,23.21
60,842.02,46341.14,1880.05,46622.90,8223.28,323.28,1.86,23.21,23.28
61,?,?,?,?,?,?,?,23.28,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1870.04,46454.13,11724.65,924.65,2.76,?,24.65
64,845.88,46676.09,1867.84,47001.38,7224.75,524.75,1.77,24.65,24.75
65,849.88,46762.65,1848.50,47090.49,1000123.70,223.70,237.02,24.75,23.70
66,855.99,46745.26,1870.22,47060.66,305822.00,3222.00,68.09,23.70,22.00
67,861.67,47074.39,1871.59,47436.21,197422.01,2022.01,42.47,22.00,22.01
68,?,?,?,?,?,?,?,22.01,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1873.37,47269.75,53820.49,820.49,11.33,?,20.49
71,866.79,47010.40,1865.43,47340.43,251420.80,1520.80,52.76,20.49,20.80
72,872.90,46888.37,1864.62,47235.72,10821.20,321.20,2.28,20.80,21.20
73,871.52,47223.68,1848.14,47606.16,110621.99,2321.99,24.02,21.20,21.99
74,873.21,47125.93,1849.89,47522.10,102121.99,1021.99,22.03,21.99,21.99
75,?,?,?,?,?,?,?,21.99,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1834.95,47094.18,19721.60,4821.60,4.24,?,21.60
78,864.73,46029.35,1794.48,46473.62,2821.00,1521.00,0.59,21.60,21.00
79,862.97,46068.24,1801.52,46511.62,31122.00,6922.00,6.77,21.00,22.00
80,850.86,45580.47,1769.42,46017.88,8521.01,321.01,1.80,22.00,21.01
81,845.32,45066.18,1707.83,45473.08,10121.00,221.00,2.12,21.01,21.00
82,?,?,?,?,?,?,?,21.00,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1660.44,44946.32,142619.60,1119.60,28.57,?,19.60
85,830.80,44724.88,1648.36,45119.16,135318.30,1618.30,25.01,19.60,18.30
