%310
@RELATION PLMSTSD00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,1718.26,48389.84,2835.52,21736310.62,3640.62,1349.43,?,0.62
3,2588.67,48222.72,1714.83,48505.50,2832.46,28284240.61,3150.61,1726.27,0.62,0.61
4,2588.47,47888.16,1719.23,48143.94,2814.73,26662010.61,1710.61,1625.99,0.61,0.61
5,?,?,?,?,?,?,?,?,0.61,?
6,?,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,1719.82,47820.24,2793.31,40864850.60,3760.60,2478.10,?,0.60
8,2587.38,47379.63,1714.18,47624.67,2790.64,35955070.60,2340.60,2186.66,0.60,0.60
9,2573.27,47407.28,1722.98,47668.58,2784.62,13184060.61,950.61,801.64,0.60,0.61
10,2592.53,47546.91,1717.51,47798.66,2800.96,22278500.59,2250.59,1335.34,0.61,0.59
11,2611.26,47440.80,1761.65,47690.97,2815.88,16320500.59,1770.59,972.39,0.59,0.59
12,?,?,?,?,?,?,?,?,0.59,?
13,?,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,1787.10,47724.95,2820.74,9871170.60,990.60,593.66,?,0.60
15,2598.51,47086.54,1789.24,47346.41,2817.16,22494760.60,1450.60,1346.26,0.60,0.60
16,2598.53,47521.39,1813.57,47794.60,2825.40,8410690.61,1200.61,502.79,0.60,0.61
17,2618.14,47661.37,1796.76,47936.81,2848.09,18798710.60,1740.60,1127.33,0.61,0.60
18,2626.72,47813.69,1830.45,48104.67,2864.72,17819140.60,1850.60,1058.17,0.60,0.60
19,?,?,?,?,?,?,?,?,0.60,?
20,?,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,1829.00,48184.37,2890.14,42846690.60,3180.60,2533.96,?,0.60
22,2636.01,47872.80,1822.02,48127.89,2892.80,13569210.59,1510.59,795.83,0.60,0.59
23,2626.76,47733.24,1819.73,47999.21,2890.57,37727740.58,3030.58,2189.55,0.59,0.58
24,2646.20,47942.04,1794.79,48203.43,2898.85,40308090.57,3640.57,2294.64,0.58,0.57
25,2642.64,47613.95,1818.33,47851.99,2897.93,28600040.57,1900.57,1656.00,0.57,0.57
26,?,?,?,?,?,?,?,?,0.57,?
27,?,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,1811.61,47553.14,2886.17,18892660.57,1190.57,1078.20,?,0.57
29,2623.78,47328.40,1804.79,47565.10,2878.58,7736690.58,720.58,442.90,0.57,0.58
30,2612.20,46917.19,1825.50,47113.08,2876.68,10297820.56,1700.56,583.56,0.58,0.56
31,2597.73,46840.15,1817.11,47011.43,2880.57,19515030.56,1670.56,1096.43,0.56,0.56
32,2603.21,46945.58,1834.26,47121.08,2883.81,41675370.56,3680.56,2289.14,0.56,0.56
33,?,?,?,?,?,?,?,?,0.56,?
34,?,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,1819.69,46735.25,2856.17,24436390.55,1440.55,1361.54,?,0.55
36,2595.69,46674.78,1784.50,46862.43,2843.49,34505390.55,2240.55,1878.55,0.55,0.55
37,2567.59,46149.14,1779.66,46341.54,2811.05,31479540.55,2110.55,1746.79,0.55,0.55
38,2577.94,46329.66,1758.77,46512.72,2815.91,21621200.53,1830.53,1167.10,0.55,0.53
39,2587.53,46741.54,1769.71,46931.40,2825.70,19400330.53,1390.53,1042.48,0.53,0.53
40,?,?,?,?,?,?,?,?,0.53,?
41,?,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,1762.40,46988.04,2826.84,10533350.54,1020.54,564.06,?,0.54
43,2581.18,46399.26,1785.06,46564.61,2821.25,23518680.53,2970.53,1228.32,0.54,0.53
44,2576.84,46406.74,1780.69,46569.81,2825.02,60273960.53,3540.53,3192.60,0.53,0.53
45,2578.13,46211.54,1783.79,46360.51,2825.15,26623370.51,2290.51,1382.71,0.53,0.51
46,2570.25,46370.13,1804.96,46523.63,2838.22,36561420.52,1990.52,1894.23,0.51,0.52
47,?,?,?,?,?,?,?,?,0.52,?
48,?,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,1814.39,46665.39,2848.48,27266370.54,2180.54,1453.18,?,0.54
50,2566.72,46490.89,1821.72,46652.19,2843.90,97113520.56,6470.56,5431.21,0.54,0.56
51,2577.60,46051.76,1809.28,46198.42,2831.71,34294530.53,2430.53,1854.50,0.56,0.53
