%310
@RELATION PLMSTWS00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,8010512.80,1812.80,1021.34,?,12.80
3,783.15,48222.72,1714.83,48505.50,2832.46,2179713.80,5413.80,295.81,12.80,13.80
4,781.69,47888.16,1719.23,48143.94,2814.73,172113.80,2013.80,24.08,13.80,13.80
5,?,?,?,?,?,?,?,?,13.80,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,412213.80,1913.80,55.83,?,13.80
8,780.70,47379.63,1714.18,47624.67,2790.64,104613.57,1013.57,14.25,13.80,13.57
9,784.82,47407.28,1722.98,47668.58,2784.62,324713.99,2113.99,44.45,13.57,13.99
10,788.85,47546.91,1717.51,47798.66,2800.96,106813.98,1613.98,14.70,13.99,13.98
11,795.36,47440.80,1761.65,47690.97,2815.88,145914.35,1714.35,20.52,13.98,14.35
12,?,?,?,?,?,?,?,?,14.35,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,292714.32,1914.32,42.38,?,14.32
15,794.59,47086.54,1789.24,47346.41,2817.16,1960714.08,3114.08,283.02,14.32,14.08
16,796.34,47521.39,1813.57,47794.60,2825.40,91314.12,914.12,12.81,14.08,14.12
17,803.56,47661.37,1796.76,47936.81,2848.09,95614.24,1114.24,13.41,14.12,14.24
18,807.72,47813.69,1830.45,48104.67,2864.72,224014.35,2814.35,31.81,14.24,14.35
19,?,?,?,?,?,?,?,?,14.35,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,191414.50,1214.50,27.49,?,14.50
22,808.23,47872.80,1822.02,48127.89,2892.80,129214.18,914.18,18.28,14.50,14.18
23,808.40,47733.24,1819.73,47999.21,2890.57,271513.98,1713.98,38.06,14.18,13.98
24,811.80,47942.04,1794.79,48203.43,2898.85,3059714.79,12014.79,447.34,13.98,14.79
25,812.99,47613.95,1818.33,47851.99,2897.93,4142215.69,10215.69,635.19,14.79,15.69
26,?,?,?,?,?,?,?,?,15.69,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,2886.17,723116.40,4616.40,116.01,?,16.40
29,815.93,47328.40,1804.79,47565.10,2878.58,609616.40,4316.40,101.44,16.40,16.40
30,815.59,46917.19,1825.50,47113.08,2876.68,184816.20,1616.20,30.25,16.40,16.20
31,817.14,46840.15,1817.11,47011.43,2880.57,213115.41,1915.41,33.46,16.20,15.41
32,818.68,46945.58,1834.26,47121.08,2883.81,338215.39,1215.39,52.19,15.41,15.39
33,?,?,?,?,?,?,?,?,15.39,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,2856.17,118815.49,815.49,18.19,?,15.49
36,816.68,46674.78,1784.50,46862.43,2843.49,232315.20,1415.20,35.37,15.49,15.20
37,813.75,46149.14,1779.66,46341.54,2811.05,389315.47,1515.47,59.28,15.20,15.47
