%310
@RELATION PLNETIA00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-TELKOM NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2568.59,48107.89,2644.06,3789.17,1110.65,48389.84,2835.52,11673194.56,5754.56,5230.19,?,4.56
3,2629.86,2588.67,48222.72,2649.70,3797.12,1112.25,48505.50,2832.46,6528474.65,2814.65,3019.88,4.56,4.65
4,2611.26,2588.47,47888.16,2625.17,3770.27,1140.70,48143.94,2814.73,5543344.69,2804.69,2595.26,4.65,4.69
5,?,?,?,?,?,?,?,?,?,?,?,4.69,?
6,?,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2588.96,47589.33,2607.87,3745.58,1164.05,47820.24,2793.31,7545484.61,2004.61,3499.08,?,4.61
8,2579.49,2587.38,47379.63,2600.99,3724.40,1155.92,47624.67,2790.64,3380524.63,1414.63,1570.73,4.61,4.63
9,2582.76,2573.27,47407.28,2600.72,3729.12,1155.75,47668.58,2784.62,12761414.59,2744.59,5906.04,4.63,4.59
10,2592.92,2592.53,47546.91,2611.00,3743.79,1159.85,47798.66,2800.96,9044164.62,2804.62,4178.32,4.59,4.62
11,2581.72,2611.26,47440.80,2601.78,3727.62,1157.18,47690.97,2815.88,4842344.64,1584.64,2246.03,4.62,4.64
12,?,?,?,?,?,?,?,?,?,?,?,4.64,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2605.15,47470.12,2601.51,3733.64,1156.90,47724.95,2820.74,8280194.61,2234.61,3830.80,?,4.61
15,2563.15,2598.51,47086.54,2582.97,3700.81,1158.87,47346.41,2817.16,3710104.63,1654.63,1704.43,4.61,4.63
16,2590.04,2598.53,47521.39,2609.80,3739.63,1149.07,47794.60,2825.40,5420334.57,1574.57,2491.26,4.63,4.57
17,2595.18,2618.14,47661.37,2612.25,3747.05,1148.82,47936.81,2848.09,35919294.71,3264.71,16538.72,4.57,4.71
18,2603.26,2626.72,47813.69,2633.44,3758.73,1163.21,48104.67,2864.72,20810044.76,3684.76,9989.52,4.71,4.76
19,?,?,?,?,?,?,?,?,?,?,?,4.76,?
20,?,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2635.73,47936.61,2642.75,3760.89,1156.23,48184.37,2890.14,2315544.73,1224.73,1103.87,?,4.73
22,2598.05,2636.01,47872.80,2636.08,3751.19,1129.52,48127.89,2892.80,11678654.63,2364.63,5490.41,4.73,4.63
23,2589.88,2626.76,47733.24,2636.70,3739.40,1110.91,47999.21,2890.57,4501994.52,1844.52,2059.85,4.63,4.52
24,2601.37,2646.20,47942.04,2650.72,3756.00,1117.39,48203.43,2898.85,10589164.73,2554.73,4876.05,4.52,4.73
25,2578.18,2642.64,47613.95,2622.74,3722.51,1095.11,47851.99,2897.93,5733274.60,1264.60,2658.33,4.73,4.60
26,?,?,?,?,?,?,?,?,?,?,?,4.60,?
27,?,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2637.81,47324.06,2591.34,3694.19,1099.98,47553.14,2886.17,3979274.60,1394.60,1830.83,?,4.60
29,2560.73,2623.78,47328.40,2586.29,3697.32,1099.53,47565.10,2878.58,6422444.60,1414.60,2969.72,4.60,4.60
30,2532.09,2612.20,46917.19,2576.43,3655.96,1096.62,47113.08,2876.68,4649974.62,1164.62,2142.28,4.60,4.62
31,2522.74,2597.73,46840.15,2575.55,3642.47,1100.15,47011.43,2880.57,3379644.60,994.60,1545.88,4.62,4.60
32,2529.59,2603.21,46945.58,2583.37,3652.36,1100.07,47121.08,2883.81,1779234.60,554.60,818.27,4.60,4.60
33,?,?,?,?,?,?,?,?,?,?,?,4.60,?
34,?,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2609.03,46556.55,2547.25,3613.18,1077.39,46735.25,2856.17,2296734.47,2084.47,1040.25,?,4.47
36,2517.38,2595.69,46674.78,2560.42,3634.73,1070.67,46862.43,2843.49,4201374.53,1304.53,1900.13,4.47,4.53
37,2486.34,2567.59,46149.14,2519.42,3589.91,1072.62,46341.54,2811.05,7715304.67,1164.67,3544.63,4.53,4.67
38,2495.53,2577.94,46329.66,2528.23,3603.17,1063.99,46512.72,2815.91,848354.60,1374.60,389.60,4.67,4.60
39,2520.06,2587.53,46741.54,2552.12,3638.59,1073.94,46931.40,2825.70,2138254.52,1934.52,963.50,4.60,4.52
40,?,?,?,?,?,?,?,?,?,?,?,4.52,?
41,?,?,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2593.63,46786.74,2558.20,3645.53,1067.89,46988.04,2826.84,1231404.49,484.49,558.56,?,4.49
43,2492.15,2581.18,46399.26,2481.31,3598.29,805.51,46564.61,2821.25,40855623.91,16143.91,16138.02,4.49,3.91
44,2492.46,2576.84,46406.74,2484.02,3598.75,759.92,46569.81,2825.02,17957283.96,5063.96,7109.83,3.91,3.96
45,2475.92,2578.13,46211.54,2456.32,3574.86,708.33,46360.51,2825.15,3539654.00,2474.00,1413.25,3.96,4.00
46,2488.01,2570.25,46370.13,2472.53,3592.31,715.00,46523.63,2838.22,2071453.99,1323.99,824.02,4.00,3.99
47,?,?,?,?,?,?,?,?,?,?,?,3.99,?
48,?,?,?,?,?,?,?,?,?,?,?,?,?
49,2496.81,2580.46,46508.27,2481.71,3605.03,733.16,46665.39,2848.48,7196544.08,2804.08,2924.87,?,4.08
50,2498.71,2566.72,46490.89,2480.51,3607.77,720.22,46652.19,2843.90,801274.02,1414.02,325.40,4.08,4.02
51,2469.66,2577.60,46051.76,2452.52,3565.83,710.62,46198.42,2831.71,3473104.01,1074.01,1405.82,4.02,4.01
52,2465.43,2566.08,45879.90,2449.91,3559.72,693.28,46050.52,2801.83,7345004.00,6324.00,2952.91,4.01,4.00
53,2468.34,2577.64,45948.12,2447.21,3563.91,691.78,46124.82,2817.57,20081654.06,2034.06,8116.13,4.00,4.06
54,?,?,?,?,?,?,?,?,?,?,?,4.06,?
55,?,?,?,?,?,?,?,?,?,?,?,?,?
56,2485.01,2602.92,46286.28,2457.59,3587.99,704.50,46487.05,2840.57,2916424.23,2374.23,1209.82,?,4.23
57,2458.58,2589.15,45868.35,2428.46,3549.82,709.00,46065.85,2831.16,4332454.25,2614.25,1843.98,4.23,4.25
58,2481.27,2608.94,46241.92,2456.88,3582.59,706.84,46459.99,2855.69,2666254.39,3304.39,1160.68,4.25,4.39
59,2483.07,2608.20,46280.36,2464.60,3585.19,721.89,46510.83,2865.27,11060404.64,4484.64,5012.23,4.39,4.64
60,2494.13,2626.22,46341.14,2483.58,3601.15,759.73,46622.90,2859.05,7610194.72,4844.72,3548.24,4.64,4.72
61,?,?,?,?,?,?,?,?,?,?,?,4.72,?
62,?,?,?,?,?,?,?,?,?,?,?,?,?
63,2483.53,2623.37,46137.70,2477.48,3585.84,761.79,46454.13,2860.68,2890724.62,3994.62,1352.94,?,4.62
64,2515.78,2628.44,46676.09,2495.06,3632.41,757.35,47001.38,2868.06,1721534.52,2604.52,793.37,4.62,4.52
65,2519.46,2632.38,46762.65,2504.03,3637.73,755.78,47090.49,2872.90,6190514.53,2784.53,2804.45,4.52,4.53
66,2516.92,2653.74,46745.26,2502.93,3634.06,741.77,47060.66,2873.49,1171734.50,1034.50,531.62,4.53,4.50
67,2538.66,2675.88,47074.39,2543.21,3665.45,747.40,47436.21,2906.74,7612824.52,1204.52,3474.83,4.50,4.52
68,?,?,?,?,?,?,?,?,?,?,?,4.52,?
69,?,?,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2678.09,46933.03,2522.52,3646.72,735.64,47269.75,2914.24,2137804.47,1344.47,968.56,?,4.47
71,2532.30,2689.51,47010.40,2517.65,3656.26,731.42,47340.43,2911.38,1491884.49,1174.49,670.04,4.47,4.49
72,2525.33,2687.66,46888.37,2503.94,3646.20,717.76,47235.72,2901.67,16821634.49,2904.49,7557.77,4.49,4.49
73,2548.95,2687.81,47223.68,2532.24,3680.31,723.75,47606.16,2912.13,10132214.57,10114.57,4761.96,4.49,4.57
74,2543.87,2708.28,47125.93,2511.47,3672.97,710.13,47522.10,2909.77,9744764.35,7364.35,4305.51,4.57,4.35
75,?,?,?,?,?,?,?,?,?,?,?,4.35,?
76,?,?,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2718.31,46668.41,2495.62,3633.72,715.27,47094.18,2900.59,2042554.35,2654.35,884.96,?,4.35
78,2480.67,2658.94,46029.35,2464.10,3581.72,697.24,46473.62,2868.24,2326194.30,2014.30,1003.81,4.35,4.30
79,2479.47,2663.64,46068.24,2469.12,3579.99,701.57,46511.62,2874.75,952594.32,1004.32,412.80,4.30,4.32
80,2453.97,2635.54,45580.47,2438.71,3543.16,707.10,46017.88,2833.61,4158944.30,1264.30,1804.12,4.32,4.30
81,2426.14,2596.69,45066.18,2419.55,3502.98,702.85,45473.08,2800.67,618354.33,984.33,265.38,4.30,4.33
82,?,?,?,?,?,?,?,?,?,?,?,4.33,?
83,?,?,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2576.73,44585.10,2366.31,3458.60,691.40,44946.32,2780.21,591804.26,704.26,255.32,?,4.26
85,2406.05,2578.94,44724.88,2370.58,3473.97,675.27,45119.16,2774.13,2712254.23,874.23,1151.60,4.26,4.23
86,2440.82,2601.44,45247.90,2408.57,3524.18,674.59,45644.09,2785.46,2344504.27,494.27,990.19,4.23,4.27
87,2430.73,2624.74,45147.57,2399.27,3509.61,691.67,45528.85,2797.31,4698254.22,1654.22,2009.28,4.27,4.22
88,?,?,?,?,?,?,?,?,?,?,?,4.22,?
89,?,?,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2643.63,45304.74,2400.60,3523.22,696.21,45679.51,2814.33,1974344.30,1404.30,844.95,?,4.30
93,2398.83,2608.26,44604.61,2358.53,3463.55,674.57,44940.36,2769.02,249734.27,494.27,106.45,4.30,4.27
94,2402.20,2594.74,44623.89,2372.92,3468.42,680.71,44980.62,2766.19,2744044.19,1644.19,1149.66,4.27,4.19
95,2400.73,2572.61,44597.66,2366.71,3466.30,669.97,44960.02,2760.91,2546244.19,534.19,1069.03,4.19,4.19
96,?,?,?,?,?,?,?,?,?,?,?,4.19,?
97,?,?,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2582.59,44590.97,2363.50,3466.74,662.84,44963.96,2764.28,850274.18,834.18,355.78,?,4.18
99,2403.05,2592.09,44725.03,2366.79,3477.52,660.43,45096.35,2767.26,389644.16,484.16,162.46,4.18,4.16
100,2423.82,2601.25,45091.63,2381.73,3507.58,658.54,45495.34,2780.21,1048294.17,844.17,438.95,4.16,4.17
101,2462.75,2623.22,45688.48,2424.99,3563.91,671.29,46131.66,2794.43,365954.31,884.31,156.43,4.17,4.31
102,2456.16,2630.40,45525.92,2426.63,3554.37,691.90,45960.10,2783.53,1081354.31,1104.31,466.96,4.31,4.31
103,?,?,?,?,?,?,?,?,?,?,?,4.31,?
104,?,?,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2587.31,44724.14,2384.90,3489.94,689.59,45167.65,2754.91,126564.22,384.22,53.82,?,4.22
106,?,?,?,?,?,?,?,?,?,?,?,4.22,?
107,2372.48,2555.73,43916.24,2368.24,3433.28,691.29,44404.81,2705.88,3383634.20,864.20,1421.24,?,4.20
108,2338.69,2520.54,43364.70,2329.94,3387.52,677.37,43850.06,2695.55,4492384.20,434.20,1887.16,4.20,4.20
109,2342.83,2522.32,43447.75,2326.99,3393.51,688.33,43993.98,2685.57,5137754.19,724.19,2148.74,4.20,4.19
110,?,?,?,?,?,?,?,?,?,?,?,4.19,?
111,?,?,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2499.84,43360.30,2324.80,3386.35,687.75,43892.82,2660.28,1483614.16,434.16,619.42,?,4.16
113,2331.94,2471.39,43159.57,2322.43,3377.74,689.86,43707.88,2624.40,1661884.15,944.15,689.53,4.16,4.15
114,2345.85,2472.28,43356.73,2333.85,3397.89,688.51,43908.95,2636.70,860714.14,564.14,357.28,4.15,4.14
115,2349.59,2492.91,43482.18,2351.74,3403.31,687.54,44027.03,2658.57,1797544.10,704.10,742.09,4.14,4.10
116,2359.18,2520.03,43665.21,2347.25,3417.20,688.39,44226.06,2669.93,4741294.17,694.17,1972.79,4.10,4.17
117,?,?,?,?,?,?,?,?,?,?,?,4.17,?
118,?,?,?,?,?,?,?,?,?,?,?,?,?
119,2372.13,2537.81,43882.16,2352.08,3435.94,693.53,44420.22,2685.14,2626274.21,1204.21,1104.84,?,4.21
120,2388.07,2550.91,44162.18,2365.51,3459.03,717.51,44653.34,2704.84,440924.20,244.20,185.31,4.21,4.20
121,?,?,?,?,?,?,?,?,?,?,?,4.20,?
122,2374.97,2543.60,43991.51,2371.23,3440.07,745.56,44466.89,2695.22,750614.19,1214.19,314.83,?,4.19
123,?,?,?,?,?,?,?,?,?,?,?,4.19,?
124,?,?,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?,?,?
126,2407.08,2568.68,44541.73,2405.15,3486.58,754.94,45060.80,2714.72,7684504.22,1194.22,3242.73,?,4.22
127,2417.54,2587.84,44742.22,2406.38,3501.73,740.27,45244.29,2733.96,20213014.29,2224.29,8445.72,4.22,4.29
128,2439.21,2610.73,45117.94,2431.87,3533.12,753.37,45647.76,2752.14,2876424.42,2094.42,1265.76,4.29,4.42
129,2431.22,2630.10,44943.16,2432.74,3521.54,761.78,45475.08,2760.20,718994.35,804.35,314.35,4.42,4.35
130,2426.35,2654.43,44895.35,2418.77,3514.48,761.07,45408.06,2769.85,757224.33,754.33,328.66,4.35,4.33
131,?,?,?,?,?,?,?,?,?,?,?,4.33,?
132,?,?,?,?,?,?,?,?,?,?,?,?,?
133,2443.14,2678.95,45207.84,2429.59,3541.49,770.18,45746.01,2790.62,1005884.25,1204.25,429.57,?,4.25
134,2479.96,2713.50,45771.11,2464.03,3594.88,796.41,46336.62,2822.41,15887364.35,1834.35,6892.16,4.25,4.35
135,2500.68,2720.73,46102.42,2475.71,3624.90,790.53,46676.61,2848.38,2589874.37,2024.37,1139.54,4.35,4.37
136,2488.92,2740.12,45992.03,2482.49,3611.62,782.75,46581.16,2871.70,22037824.41,1294.41,9694.79,4.37,4.41
137,2493.28,2751.78,46078.68,2496.00,3617.94,780.26,46646.58,2885.19,805044.40,894.40,355.21,4.41,4.40
138,?,?,?,?,?,?,?,?,?,?,?,4.40,?
139,?,?,?,?,?,?,?,?,?,?,?,?,?
140,2488.97,2788.61,46041.35,2490.85,3611.69,782.37,46615.31,2921.95,927684.44,694.44,410.70,?,4.44
141,2472.29,2759.55,45851.80,2463.54,3587.49,770.66,46439.10,2893.12,2279704.41,464.41,1005.58,4.44,4.41
142,2474.43,2771.55,45933.66,2469.68,3590.59,760.17,46529.96,2912.70,917664.35,734.35,400.34,4.41,4.35
143,2459.61,2756.32,45687.76,2453.92,3569.08,761.62,46311.26,2894.53,877564.31,704.31,376.52,4.35,4.31
144,2486.10,2776.52,46145.44,2484.35,3607.51,778.68,46783.61,2929.62,108504.34,184.34,46.87,4.31,4.34
145,?,?,?,?,?,?,?,?,?,?,?,4.34,?
146,?,?,?,?,?,?,?,?,?,?,?,?,?
147,2556.62,2828.89,47277.10,2561.94,3709.85,803.36,47957.54,2976.83,2060534.60,1634.60,925.34,?,4.60
148,2573.63,2829.62,47579.87,2578.46,3734.53,804.57,48258.02,2997.81,1317674.63,1424.63,604.27,4.60,4.63
149,2563.21,2809.70,47476.64,2562.11,3723.76,812.52,48138.07,3000.58,6959704.52,2074.52,3131.87,4.63,4.52
150,?,?,?,?,?,?,?,?,?,?,?,4.52,?
151,2583.50,2812.75,47806.34,2578.05,3753.24,812.32,48503.87,2994.25,8052224.53,2294.53,3674.96,?,4.53
152,?,?,?,?,?,?,?,?,?,?,?,4.53,?
153,?,?,?,?,?,?,?,?,?,?,?,?,?
154,2546.43,2796.00,47175.79,2540.78,3699.39,790.31,47868.36,2970.24,9034274.49,2674.49,4052.43,?,4.49
155,2569.08,2837.22,47620.68,2555.93,3732.30,787.69,48323.88,2998.79,454654.46,404.46,203.20,4.49,4.46
156,2578.21,2888.79,47805.94,2580.38,3745.56,788.29,48513.29,3026.87,10334624.40,1594.40,4599.61,4.46,4.40
157,2559.39,2875.78,47573.66,2554.45,3718.21,795.07,48259.19,3020.15,5270904.40,1554.40,2322.48,4.40,4.40
158,2595.30,2886.30,48209.65,2580.49,3771.86,797.69,48918.37,3044.38,2808374.38,584.38,1230.86,4.40,4.38
159,?,?,?,?,?,?,?,?,?,?,?,4.38,?
160,?,?,?,?,?,?,?,?,?,?,?,?,?
161,2608.91,2904.56,48495.01,2587.96,3791.64,801.50,49207.65,3065.91,796784.37,544.37,348.96,?,4.37
162,2595.04,2931.48,48324.52,2579.42,3771.49,807.77,49050.96,3074.89,17753384.50,3974.50,7859.12,4.37,4.50
163,2591.90,2943.65,48383.93,2564.00,3766.92,808.77,49098.70,3098.83,2451954.43,844.43,1087.01,4.50,4.43
164,2573.85,2925.31,48152.82,2551.55,3740.69,806.93,48890.47,3089.32,2750034.43,1924.43,1223.96,4.43,4.43
165,2583.39,2942.25,48273.42,2554.84,3754.56,805.91,49057.66,3092.65,5381724.39,3384.39,2385.68,4.43,4.39
166,?,?,?,?,?,?,?,?,?,?,?,4.39,?
167,?,?,?,?,?,?,?,?,?,?,?,?,?
168,2575.47,2956.40,48131.61,2552.66,3743.05,800.58,48917.56,3100.24,6414004.44,1184.44,2866.01,?,4.44
169,2571.29,2979.55,48119.72,2541.67,3736.96,805.64,48891.04,3120.39,3283874.37,2374.37,1453.55,4.44,4.37
170,2537.36,2974.95,47743.10,2537.78,3707.74,806.58,48509.84,3122.21,1431004.40,894.40,628.60,4.37,4.40
171,2429.92,2905.31,45870.00,2447.48,3550.74,802.15,46587.68,3038.18,9597444.38,1554.38,4194.35,4.40,4.38
172,2359.89,2844.16,44732.92,2351.03,3448.40,746.48,45456.77,3001.68,3194644.15,1794.15,1349.57,4.38,4.15
173,?,?,?,?,?,?,?,?,?,?,?,4.15,?
174,?,?,?,?,?,?,?,?,?,?,?,?,?
175,2366.01,2824.47,44824.62,2350.17,3457.35,766.14,45531.46,2990.89,6596224.22,1714.22,2792.23,?,4.22
176,2363.41,2821.05,44966.09,2357.80,3460.00,782.20,45672.10,2999.31,1839974.26,1594.26,779.77,4.22,4.26
177,2357.52,2807.75,44893.99,2333.53,3451.37,794.70,45601.51,2972.55,1547224.27,1734.27,666.09,4.26,4.27
178,2286.99,2736.47,43667.37,2250.80,3348.11,790.83,44326.49,2915.58,2776854.19,2084.19,1169.84,4.27,4.19
179,2357.01,2776.93,44747.79,2334.15,3450.62,797.01,45442.51,2948.80,2813994.16,1824.16,1177.80,4.19,4.16
180,?,?,?,?,?,?,?,?,?,?,?,4.16,?
181,?,?,?,?,?,?,?,?,?,?,?,?,?
182,2357.66,2809.58,44769.00,2346.58,3451.57,791.24,45461.06,2963.91,2422014.26,2724.26,1029.93,?,4.26
183,2407.09,2832.22,45533.94,2387.78,3523.94,802.01,46254.71,2981.48,3314924.23,1474.23,1405.13,4.26,4.23
184,2384.58,2815.62,45184.98,2382.08,3494.73,802.26,45899.36,2971.57,731114.21,1404.21,308.86,4.23,4.21
185,2405.42,2833.65,45613.75,2398.24,3525.27,813.75,46344.42,2988.19,9616474.35,1094.35,4105.38,4.21,4.35
186,2372.96,2823.50,45110.89,2379.17,3477.69,816.98,45805.34,2977.06,11270174.45,3024.45,4953.34,4.35,4.45
187,?,?,?,?,?,?,?,?,?,?,?,4.45,?
188,?,?,?,?,?,?,?,?,?,?,?,?,?
189,2336.57,2780.48,44534.34,2329.18,3424.36,804.61,45172.40,2948.16,710484.41,1004.41,311.52,?,4.41
190,2330.27,2753.06,44342.23,2329.35,3415.12,805.77,44969.23,2924.69,623984.26,704.26,270.50,4.41,4.26
191,2360.11,2792.18,45068.55,2370.74,3482.45,822.40,45727.71,2962.09,3701784.28,2274.28,1591.28,4.26,4.28
192,2394.81,2830.11,45712.72,2399.69,3533.66,821.82,46390.36,2992.86,3368784.20,2194.20,1430.57,4.28,4.20
193,2418.20,2859.48,46150.78,2414.72,3568.17,829.76,46839.89,3017.66,3503504.33,2684.33,1517.70,4.20,4.33
194,?,?,?,?,?,?,?,?,?,?,?,4.33,?
195,?,?,?,?,?,?,?,?,?,?,?,?,?
196,2421.43,2869.26,46218.05,2415.20,3572.94,826.24,46922.43,3022.70,623254.37,884.37,272.34,?,4.37
197,2418.21,2865.65,46155.10,2404.94,3568.19,833.89,46860.35,3017.11,11193514.50,2224.50,4925.70,4.37,4.50
198,2424.23,2869.34,46287.08,2417.44,3581.34,841.12,47003.76,3021.27,6300564.49,1844.49,2829.71,4.50,4.49
199,2418.23,2886.09,46221.23,2417.37,3572.47,838.07,46919.83,3023.16,10912654.51,2984.51,4927.28,4.49,4.51
200,2427.55,2881.70,46399.74,2416.51,3587.20,843.46,47120.88,3019.85,3152694.55,1834.55,1429.61,4.51,4.55
201,?,?,?,?,?,?,?,?,?,?,?,4.55,?
202,?,?,?,?,?,?,?,?,?,?,?,?,?
203,2420.11,2871.14,46361.70,2396.23,3576.21,838.10,47075.43,3021.70,1558644.51,894.51,701.91,?,4.51
204,2440.78,2908.96,46714.43,2410.94,3606.75,838.88,47454.90,3029.97,3059244.50,1214.50,1376.38,4.51,4.50
205,2441.59,2923.77,46835.98,2432.91,3617.32,835.03,47575.74,3050.63,5316844.52,2544.52,2371.39,4.50,4.52
206,2430.68,2914.72,46713.02,2419.35,3601.16,816.24,47446.69,3036.16,991604.40,1184.40,438.44,4.52,4.40
207,2400.81,2886.24,46258.91,2381.24,3556.91,809.91,46981.22,3015.00,1080514.40,844.40,472.56,4.40,4.40
208,?,?,?,?,?,?,?,?,?,?,?,4.40,?
209,?,?,?,?,?,?,?,?,?,?,?,?,?
210,2411.93,2914.05,46480.62,2399.20,3575.31,819.34,47214.30,3032.94,740284.39,754.39,324.48,?,4.39
211,2421.34,2928.38,46663.41,2395.38,3589.26,820.25,47398.08,3038.42,1158054.45,1014.45,514.53,4.39,4.45
212,2434.27,2924.02,46925.65,2406.95,3608.43,811.01,47676.43,3046.08,3673404.55,1014.55,1651.55,4.45,4.55
213,2458.52,2945.73,47370.81,2423.45,3644.36,823.49,48147.76,3060.17,6566374.65,2264.65,3006.68,4.55,4.65
214,2514.09,3020.01,48325.33,2497.76,3726.75,826.29,49133.14,3110.79,5495014.61,3014.61,2551.16,4.65,4.61
215,?,?,?,?,?,?,?,?,?,?,?,4.61,?
216,?,?,?,?,?,?,?,?,?,?,?,?,?
217,2522.03,3032.65,48458.44,2503.49,3738.51,820.97,49272.86,3127.41,3806684.60,1074.60,1752.24,?,4.60
218,2491.58,3037.01,47942.81,2488.24,3693.37,815.36,48742.34,3127.38,8846344.59,1404.59,4069.69,4.60,4.59
219,2511.06,3084.81,48306.55,2509.90,3722.25,811.28,49124.78,3168.23,7968604.65,1214.65,3621.80,4.59,4.65
220,2541.46,3128.68,48862.88,2531.42,3767.32,825.43,49700.18,3190.86,8269404.77,4104.77,3839.41,4.65,4.77
221,2549.05,3163.87,49125.36,2525.23,3778.56,822.39,49994.77,3206.86,3129884.99,3064.99,1520.75,4.77,4.99
222,?,?,?,?,?,?,?,?,?,?,?,4.99,?
223,?,?,?,?,?,?,?,?,?,?,?,?,?
224,2574.11,3182.23,49580.16,2552.44,3815.71,812.71,50476.37,3225.79,6607954.96,2084.96,3292.19,?,4.96
225,2582.83,3202.74,49747.66,2567.59,3828.64,805.95,50646.05,3233.22,2663125.01,2035.01,1338.68,4.96,5.01
226,2609.42,3253.52,50223.95,2588.79,3868.05,797.82,51152.95,3271.49,2857075.08,2745.08,1452.67,5.01,5.08
227,?,?,?,?,?,?,?,?,?,?,?,5.08,?
228,2594.32,3239.52,49976.48,2574.59,3845.67,791.89,50906.11,3253.28,2487655.09,2665.09,1245.47,?,5.09
229,?,?,?,?,?,?,?,?,?,?,?,5.09,?
230,?,?,?,?,?,?,?,?,?,?,?,?,?
231,2583.71,3222.20,49772.46,2578.29,3829.94,806.62,50713.14,3237.31,953125.09,1125.09,479.12,?,5.09
232,2548.00,3180.64,49162.16,2541.92,3777.01,799.11,50077.30,3210.57,1920514.99,1444.99,961.74,5.09,4.99
233,2526.73,3168.92,49128.05,2539.12,3769.54,810.48,50032.45,3221.87,1874334.98,884.98,936.50,4.99,4.98
234,2566.11,3209.11,49846.48,2592.17,3828.29,829.86,50780.47,3260.69,3332895.00,1295.00,1666.53,4.98,5.00
235,2565.81,3231.44,49895.10,2582.43,3827.84,842.35,50836.47,3260.35,5722935.09,1275.09,2890.10,5.00,5.09
236,?,?,?,?,?,?,?,?,?,?,?,5.09,?
237,?,?,?,?,?,?,?,?,?,?,?,?,?
238,2561.87,3205.90,49818.48,2584.54,3821.96,842.06,50756.86,3255.45,772515.09,955.09,392.80,?,5.09
239,2506.92,3147.92,48833.58,2530.18,3739.99,837.13,49731.02,3197.48,3662735.10,1525.10,1848.77,5.09,5.10
240,2491.80,3091.84,48537.65,2529.20,3717.43,848.65,49421.50,3183.87,1570315.05,1295.05,790.13,5.10,5.05
241,2496.28,3095.55,48676.45,2535.66,3724.11,842.00,49569.11,3204.20,1643605.00,745.00,822.06,5.05,5.00
242,2515.12,3087.13,48871.98,2550.55,3752.23,852.84,49771.98,3196.27,10202455.22,7625.22,5301.70,5.00,5.22
243,?,?,?,?,?,?,?,?,?,?,?,5.22,?
244,?,?,?,?,?,?,?,?,?,?,?,?,?
245,2529.85,3129.09,49187.22,2559.42,3774.19,847.57,50099.55,3230.20,706755.27,1005.27,370.89,?,5.27
246,2505.09,3139.25,48968.87,2551.42,3751.23,847.29,49861.54,3226.75,1400255.18,1605.18,733.65,5.27,5.18
247,2447.70,3092.12,47919.09,2497.16,3665.29,850.43,48781.63,3174.71,1843955.10,1335.10,947.35,5.18,5.10
248,2335.64,2958.80,45830.66,2366.93,3497.48,808.45,46598.42,3061.25,21212714.80,4664.80,10283.89,5.10,4.80
249,2376.81,3043.50,46717.04,2424.82,3559.13,814.44,47514.09,3142.61,6733765.05,2335.05,3405.03,4.80,5.05
250,?,?,?,?,?,?,?,?,?,?,?,5.05,?
251,?,?,?,?,?,?,?,?,?,?,?,?,?
