%310
@RELATION PLNFI0900014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-TELKOM NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,1110.65,48389.84,2835.52,20766170.67,4970.67,1386.84,?,0.67
3,2588.67,48222.72,1112.25,48505.50,2832.46,51724320.70,7000.70,3579.98,0.67,0.70
4,2588.47,47888.16,1140.70,48143.94,2814.73,47060950.70,3710.70,3288.89,0.70,0.70
5,?,?,?,?,?,?,?,?,0.70,?
6,?,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,1164.05,47820.24,2793.31,30390140.69,2030.69,2106.40,?,0.69
8,2587.38,47379.63,1155.92,47624.67,2790.64,15607040.69,1330.69,1074.12,0.69,0.69
9,2573.27,47407.28,1155.75,47668.58,2784.62,11349100.69,1050.69,783.80,0.69,0.69
10,2592.53,47546.91,1159.85,47798.66,2800.96,7902000.69,890.69,545.63,0.69,0.69
11,2611.26,47440.80,1157.18,47690.97,2815.88,29357870.69,2340.69,1993.19,0.69,0.69
12,?,?,?,?,?,?,?,?,0.69,?
13,?,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,1156.90,47724.95,2820.74,4492440.68,780.68,308.21,?,0.68
15,2598.51,47086.54,1158.87,47346.41,2817.16,25377120.68,1300.68,1724.94,0.68,0.68
16,2598.53,47521.39,1149.07,47794.60,2825.40,18881300.69,1580.69,1282.72,0.68,0.69
17,2618.14,47661.37,1148.82,47936.81,2848.09,26008130.69,2120.69,1789.48,0.69,0.69
18,2626.72,47813.69,1163.21,48104.67,2864.72,230473990.74,12600.74,16786.35,0.69,0.74
19,?,?,?,?,?,?,?,?,0.74,?
20,?,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,1156.23,48184.37,2890.14,89093670.74,3900.74,6532.37,?,0.74
22,2636.01,47872.80,1129.52,48127.89,2892.80,38183250.73,2390.73,2787.87,0.74,0.73
23,2626.76,47733.24,1110.91,47999.21,2890.57,43826050.73,1890.73,3197.75,0.73,0.73
24,2646.20,47942.04,1117.39,48203.43,2898.85,141443720.76,8660.76,10618.03,0.73,0.76
25,2642.64,47613.95,1095.11,47851.99,2897.93,72576980.74,4520.74,5456.52,0.76,0.74
26,?,?,?,?,?,?,?,?,0.74,?
27,?,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,1099.98,47553.14,2886.17,22486220.74,1600.74,1654.13,?,0.74
29,2623.78,47328.40,1099.53,47565.10,2878.58,74921810.74,4500.74,5468.97,0.74,0.74
30,2612.20,46917.19,1096.62,47113.08,2876.68,25639760.73,1780.73,1889.79,0.74,0.73
31,2597.73,46840.15,1100.15,47011.43,2880.57,15485340.74,1400.74,1142.05,0.73,0.74
32,2603.21,46945.58,1100.07,47121.08,2883.81,9620230.74,1080.74,707.63,0.74,0.74
33,?,?,?,?,?,?,?,?,0.74,?
34,?,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,1077.39,46735.25,2856.17,16950590.72,1890.72,1242.75,?,0.72
36,2595.69,46674.78,1070.67,46862.43,2843.49,24152960.71,1830.71,1734.45,0.72,0.71
37,2567.59,46149.14,1072.62,46341.54,2811.05,51154130.70,3470.70,3597.40,0.71,0.70
38,2577.94,46329.66,1063.99,46512.72,2815.91,40786440.70,2330.70,2836.92,0.70,0.70
39,2587.53,46741.54,1073.94,46931.40,2825.70,28854490.71,1430.71,2048.72,0.70,0.71
40,?,?,?,?,?,?,?,?,0.71,?
41,?,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,1067.89,46988.04,2826.84,18876890.72,1160.72,1350.50,?,0.72
43,2581.18,46399.26,805.51,46564.61,2821.25,158212240.75,6590.75,11615.21,0.72,0.75
44,2576.84,46406.74,759.92,46569.81,2825.02,604780770.82,26290.82,47919.86,0.75,0.82
45,2578.13,46211.54,708.33,46360.51,2825.15,227774850.82,12540.82,18907.88,0.82,0.82
46,2570.25,46370.13,715.00,46523.63,2838.22,83649500.79,6100.79,6691.48,0.82,0.79
47,?,?,?,?,?,?,?,?,0.79,?
48,?,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,733.16,46665.39,2848.48,55447760.81,4500.81,4494.59,?,0.81
50,2566.72,46490.89,720.22,46652.19,2843.90,31511090.81,2400.81,2554.30,0.81,0.81
51,2577.60,46051.76,710.62,46198.42,2831.71,26907550.79,2240.79,2167.94,0.81,0.79
52,2566.08,45879.90,693.28,46050.52,2801.83,57410690.80,2820.80,4532.16,0.79,0.80
53,2577.64,45948.12,691.78,46124.82,2817.57,104255300.82,5450.82,8501.55,0.80,0.82
54,?,?,?,?,?,?,?,?,0.82,?
55,?,?,?,?,?,?,?,?,?,?
56,2602.92,46286.28,704.50,46487.05,2840.57,240339730.86,11690.86,20450.77,?,0.86
57,2589.15,45868.35,709.00,46065.85,2831.16,73802900.85,3770.85,6232.04,0.86,0.85
58,2608.94,46241.92,706.84,46459.99,2855.69,147349400.89,7940.89,12967.92,0.85,0.89
59,2608.20,46280.36,721.89,46510.83,2865.27,59746610.89,4190.89,5280.76,0.89,0.89
60,2626.22,46341.14,759.73,46622.90,2859.05,31737730.88,2480.88,2793.95,0.89,0.88
61,?,?,?,?,?,?,?,?,0.88,?
62,?,?,?,?,?,?,?,?,?,?
63,2623.37,46137.70,761.79,46454.13,2860.68,21385440.88,2530.88,1887.45,?,0.88
64,2628.44,46676.09,757.35,47001.38,2868.06,96753850.91,7050.91,8703.59,0.88,0.91
65,2632.38,46762.65,755.78,47090.49,2872.90,103591740.91,8590.91,9470.23,0.91,0.91
66,2653.74,46745.26,741.77,47060.66,2873.49,234638820.83,16580.83,20075.43,0.91,0.83
67,2675.88,47074.39,747.40,47436.21,2906.74,123506860.83,8500.83,10236.73,0.83,0.83
68,?,?,?,?,?,?,?,?,0.83,?
69,?,?,?,?,?,?,?,?,?,?
70,2678.09,46933.03,735.64,47269.75,2914.24,42862420.82,4010.82,3536.81,?,0.82
71,2689.51,47010.40,731.42,47340.43,2911.38,26401640.82,2830.82,2150.52,0.82,0.82
