%310
@RELATION PLNFI1200018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1438.45,48389.84,2835.52,1739080.39,320.39,67.13,?,0.39
3,10554.18,48222.72,1422.15,48505.50,2832.46,188740.39,240.39,7.19,0.39,0.39
4,10519.33,47888.16,1424.57,48143.94,2814.73,794940.39,240.39,30.22,0.39,0.39
5,?,?,?,?,?,?,?,?,0.39,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1408.87,47820.24,2793.31,6639490.38,270.38,252.06,?,0.38
8,10500.71,47379.63,1416.22,47624.67,2790.64,618050.38,250.38,23.28,0.38,0.38
9,10503.06,47407.28,1418.24,47668.58,2784.62,503750.37,200.37,18.66,0.38,0.37
10,10496.80,47546.91,1427.00,47798.66,2800.96,18728110.38,700.38,716.63,0.37,0.38
11,10595.04,47440.80,1431.50,47690.97,2815.88,935380.38,260.38,35.56,0.38,0.38
12,?,?,?,?,?,?,?,?,0.38,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1429.59,47724.95,2820.74,652510.38,160.38,24.95,?,0.38
15,10638.06,47086.54,1424.03,47346.41,2817.16,2772370.38,360.38,105.19,0.38,0.38
16,10673.05,47521.39,1459.06,47794.60,2825.40,1367690.38,200.38,51.83,0.38,0.38
17,10767.29,47661.37,1480.62,47936.81,2848.09,440810.38,130.38,16.75,0.38,0.38
18,10903.93,47813.69,1463.04,48104.67,2864.72,14058790.40,910.40,551.60,0.38,0.40
19,?,?,?,?,?,?,?,?,0.40,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1473.28,48184.37,2890.14,561070.40,140.40,22.01,?,0.40
22,11073.63,47872.80,1474.10,48127.89,2892.80,3772670.39,420.39,147.02,0.40,0.39
23,11071.80,47733.24,1466.26,47999.21,2890.57,573610.39,180.39,22.15,0.39,0.39
24,11108.21,47942.04,1462.14,48203.43,2898.85,1102680.39,260.39,43.73,0.39,0.39
25,11174.05,47613.95,1453.75,47851.99,2897.93,12671760.39,790.39,478.32,0.39,0.39
26,?,?,?,?,?,?,?,?,0.39,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1428.40,47553.14,2886.17,3706060.39,270.39,141.72,?,0.39
29,11165.66,47328.40,1414.71,47565.10,2878.58,234600.39,180.39,9.03,0.39,0.39
30,11183.61,46917.19,1409.63,47113.08,2876.68,1113460.38,280.38,42.31,0.39,0.38
31,11245.80,46840.15,1412.77,47011.43,2880.57,8339980.39,690.39,324.82,0.38,0.39
32,11241.00,46945.58,1424.75,47121.08,2883.81,356540.39,120.39,13.57,0.39,0.39
33,?,?,?,?,?,?,?,?,0.39,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1376.74,46735.25,2856.17,314630.39,200.39,12.08,?,0.39
36,11060.84,46674.78,1376.05,46862.43,2843.49,393000.38,170.38,15.15,0.39,0.38
37,10953.57,46149.14,1368.56,46341.54,2811.05,5179300.38,380.38,202.00,0.38,0.38
38,10950.03,46329.66,1379.50,46512.72,2815.91,287210.39,210.39,11.03,0.38,0.39
39,10986.53,46741.54,1389.85,46931.40,2825.70,1883160.39,210.39,71.63,0.39,0.39
40,?,?,?,?,?,?,?,?,0.39,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1393.28,46988.04,2826.84,217240.38,200.38,8.26,?,0.38
43,10981.98,46399.26,1383.89,46564.61,2821.25,4392920.39,370.39,166.99,0.38,0.39
44,11022.58,46406.74,1354.82,46569.81,2825.02,1151800.38,290.38,43.80,0.39,0.38
45,11017.48,46211.54,1313.43,46360.51,2825.15,4554990.39,400.39,173.66,0.38,0.39
46,11071.18,46370.13,1349.87,46523.63,2838.22,1280290.38,360.38,48.41,0.39,0.38
47,?,?,?,?,?,?,?,?,0.38,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1365.73,46665.39,2848.48,487460.38,180.38,18.17,?,0.38
50,11119.72,46490.89,1352.40,46652.19,2843.90,15938200.38,460.38,590.39,0.38,0.38
51,11014.53,46051.76,1342.16,46198.42,2831.71,10256990.37,400.37,379.53,0.38,0.37
52,10948.88,45879.90,1322.82,46050.52,2801.83,2581360.37,290.37,95.48,0.37,0.37
53,10985.79,45948.12,1345.82,46124.82,2817.57,1456930.37,320.37,52.70,0.37,0.37
54,?,?,?,?,?,?,?,?,0.37,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1357.55,46487.05,2840.57,3714650.36,240.36,136.33,?,0.36
57,10972.28,45868.35,1359.10,46065.85,2831.16,7264320.35,390.35,262.67,0.36,0.35
58,11039.20,46241.92,1359.06,46459.99,2855.69,8164710.35,530.35,293.14,0.35,0.35
59,11052.03,46280.36,1354.30,46510.83,2865.27,31286450.35,680.35,1092.90,0.35,0.35
60,11010.83,46341.14,1347.19,46622.90,2859.05,570600.35,200.35,19.76,0.35,0.35
61,?,?,?,?,?,?,?,?,0.35,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,1363.77,46454.13,2860.68,8648790.36,270.36,302.95,?,0.36
64,10997.33,46676.09,1397.73,47001.38,2868.06,2926930.37,430.37,106.64,0.36,0.37
65,11042.47,46762.65,1387.52,47090.49,2872.90,5445770.38,520.38,204.82,0.37,0.38
66,11042.08,46745.26,1372.44,47060.66,2873.49,1414780.39,280.39,54.77,0.38,0.39
67,11119.06,47074.39,1370.33,47436.21,2906.74,3593970.39,400.39,139.47,0.39,0.39
68,?,?,?,?,?,?,?,?,0.39,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,1396.97,47269.75,2914.24,5725200.39,570.39,223.15,?,0.39
71,11150.86,47010.40,1423.31,47340.43,2911.38,487560.38,290.38,19.01,0.39,0.38
72,11194.08,46888.37,1423.72,47235.72,2901.67,3766520.39,240.39,146.89,0.38,0.39
73,11231.22,47223.68,1436.51,47606.16,2912.13,2515200.39,230.39,97.75,0.39,0.39
74,11228.39,47125.93,1431.31,47522.10,2909.77,2492150.40,520.40,98.96,0.39,0.40
75,?,?,?,?,?,?,?,?,0.40,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,1419.01,47094.18,2900.59,1514060.40,400.40,59.81,?,0.40
78,11135.62,46029.35,1400.23,46473.62,2868.24,10380130.39,640.39,399.02,0.40,0.39
79,11168.63,46068.24,1396.66,46511.62,2874.75,6102700.39,460.39,237.85,0.39,0.39
80,11069.03,45580.47,1372.60,46017.88,2833.61,1765730.39,950.39,68.08,0.39,0.39
81,10908.77,45066.18,1354.95,45473.08,2800.67,6742100.38,1090.38,258.42,0.39,0.38
82,?,?,?,?,?,?,?,?,0.38,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,1336.25,44946.32,2780.21,906250.38,950.38,34.62,?,0.38
85,10815.43,44724.88,1334.81,45119.16,2774.13,2394170.38,880.38,90.89,0.38,0.38
86,10867.86,45247.90,1332.17,45644.09,2785.46,6958330.39,1180.39,270.72,0.38,0.39
87,10938.55,45147.57,1335.61,45528.85,2797.31,4109770.39,740.39,159.97,0.39,0.39
88,?,?,?,?,?,?,?,?,0.39,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,1342.68,45679.51,2814.33,4426050.38,870.38,171.75,?,0.38
93,10809.87,44604.61,1315.67,44940.36,2769.02,4078900.39,630.39,158.02,0.38,0.39
94,10817.23,44623.89,1312.91,44980.62,2766.19,2188450.38,450.38,83.27,0.39,0.38
95,10803.99,44597.66,1319.91,44960.02,2760.91,5085910.39,460.39,194.43,0.38,0.39
96,?,?,?,?,?,?,?,?,0.39,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,1329.86,44963.96,2764.28,6725510.39,630.39,257.00,?,0.39
99,10820.89,44725.03,1322.63,45096.35,2767.26,1208850.38,410.38,45.94,0.39,0.38
100,10845.27,45091.63,1341.74,45495.34,2780.21,152230.39,290.39,5.88,0.38,0.39
101,10908.65,45688.48,1350.66,46131.66,2794.43,384350.39,560.39,14.81,0.39,0.39
102,10807.45,45525.92,1356.50,45960.10,2783.53,559080.38,380.38,21.25,0.39,0.38
103,?,?,?,?,?,?,?,?,0.38,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,1314.18,45167.65,2754.91,2333710.39,530.39,89.68,?,0.39
106,?,?,?,?,?,?,?,?,0.39,?
107,10431.02,43916.24,1291.19,44404.81,2705.88,6208240.38,730.38,235.84,?,0.38
108,10415.53,43364.70,1280.02,43850.06,2695.55,3000370.39,420.39,113.89,0.38,0.39
109,10373.60,43447.75,1280.06,43993.98,2685.57,6213900.38,450.38,232.41,0.39,0.38
110,?,?,?,?,?,?,?,?,0.38,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,1292.08,43892.82,2660.28,3224960.37,420.37,118.95,?,0.37
113,10282.22,43159.57,1277.53,43707.88,2624.40,6874610.36,430.36,246.47,0.37,0.36
114,10264.95,43356.73,1283.16,43908.95,2636.70,1272470.36,290.36,45.77,0.36,0.36
115,10327.20,43482.18,1295.48,44027.03,2658.57,2645930.36,380.36,94.90,0.36,0.36
116,10407.26,43665.21,1299.40,44226.06,2669.93,3591970.37,230.37,130.32,0.36,0.37
117,?,?,?,?,?,?,?,?,0.37,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,1311.59,44420.22,2685.14,5302410.37,420.37,192.90,?,0.37
120,10511.46,44162.18,1303.66,44653.34,2704.84,4321550.37,280.37,156.85,0.37,0.37
121,?,?,?,?,?,?,?,?,0.37,?
122,10554.34,43991.51,1274.69,44466.89,2695.22,2796890.37,270.37,102.38,?,0.37
123,?,?,?,?,?,?,?,?,0.37,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,1283.84,45060.80,2714.72,4351810.37,690.37,157.75,?,0.37
127,10618.63,44742.22,1301.78,45244.29,2733.96,4811360.36,570.36,173.21,0.37,0.36
128,10692.81,45117.94,1318.36,45647.76,2752.14,3439420.36,500.36,123.75,0.36,0.36
129,10714.80,44943.16,1323.45,45475.08,2760.20,1966610.36,430.36,70.57,0.36,0.36
130,10758.03,44895.35,1326.21,45408.06,2769.85,2343490.36,390.36,84.33,0.36,0.36
131,?,?,?,?,?,?,?,?,0.36,?
132,?,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,1330.79,45746.01,2790.62,914220.36,270.36,32.57,?,0.36
134,10819.27,45771.11,1313.36,46336.62,2822.41,16141900.36,270.36,581.03,0.36,0.36
135,10913.18,46102.42,1324.54,46676.61,2848.38,1144720.36,230.36,41.21,0.36,0.36
