%310
@RELATION PLNTSYS00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1136.16,48389.84,405900.70,190.70,28.61,?,0.70
3,783.15,48222.72,1132.73,48505.50,179040.71,120.71,12.64,0.70,0.71
4,781.69,47888.16,1123.30,48143.94,150250.71,150.71,10.64,0.71,0.71
5,?,?,?,?,?,?,?,0.71,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1117.54,47820.24,86500.70,70.70,6.04,?,0.70
8,780.70,47379.63,1107.35,47624.67,39500.72,60.72,2.84,0.70,0.72
9,784.82,47407.28,1113.00,47668.58,48500.72,50.72,3.49,0.72,0.72
10,788.85,47546.91,1127.31,47798.66,423490.75,380.75,31.05,0.72,0.75
11,795.36,47440.80,1133.34,47690.97,130550.75,110.75,9.72,0.75,0.75
12,?,?,?,?,?,?,?,0.75,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1138.05,47724.95,162400.73,100.73,12.00,?,0.73
15,794.59,47086.54,1131.14,47346.41,70630.75,80.75,5.23,0.73,0.75
16,796.34,47521.39,1130.24,47794.60,57250.75,50.75,4.29,0.75,0.75
17,803.56,47661.37,1132.34,47936.81,310970.75,270.75,23.17,0.75,0.75
18,807.72,47813.69,1144.65,48104.67,228530.77,170.77,17.23,0.75,0.77
19,?,?,?,?,?,?,?,0.77,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1151.79,48184.37,245180.77,140.77,18.73,?,0.77
22,808.23,47872.80,1152.16,48127.89,208760.77,160.77,15.82,0.77,0.77
23,808.40,47733.24,1153.46,47999.21,129600.76,80.76,9.91,0.77,0.76
24,811.80,47942.04,1150.21,48203.43,210360.76,120.76,16.14,0.76,0.76
25,812.99,47613.95,1156.62,47851.99,102790.75,80.75,7.71,0.76,0.75
26,?,?,?,?,?,?,?,0.75,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1160.03,47553.14,190130.75,100.75,14.28,?,0.75
29,815.93,47328.40,1163.93,47565.10,133290.75,90.75,9.84,0.75,0.75
30,815.59,46917.19,1153.92,47113.08,55160.74,60.74,4.13,0.75,0.74
31,817.14,46840.15,1159.78,47011.43,278860.75,160.75,20.43,0.74,0.75
32,818.68,46945.58,1158.21,47121.08,103590.76,110.76,7.88,0.75,0.76
33,?,?,?,?,?,?,?,0.76,?
