%310
@RELATION PLPAGED00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,204615.00,1915.00,30.56,?,15.00
3,48222.72,48505.50,2832.46,10614.96,414.96,1.58,15.00,14.96
4,47888.16,48143.94,2814.73,155014.97,914.97,23.16,14.96,14.97
5,?,?,?,?,?,?,14.97,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,269315.00,2415.00,40.23,?,15.00
8,47379.63,47624.67,2790.64,57815.15,715.15,8.67,15.00,15.15
9,47407.28,47668.58,2784.62,24215.15,315.15,3.67,15.15,15.15
10,47546.91,47798.66,2800.96,87015.15,1315.15,13.08,15.15,15.15
11,47440.80,47690.97,2815.88,131115.15,815.15,19.86,15.15,15.15
12,?,?,?,?,?,?,15.15,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,66715.15,315.15,9.73,?,15.15
15,47086.54,47346.41,2817.16,529114.84,2114.84,76.70,15.15,14.84
16,47521.39,47794.60,2825.40,447514.38,2214.38,64.39,14.84,14.38
17,47661.37,47936.81,2848.09,655614.48,1214.48,94.11,14.38,14.48
18,47813.69,48104.67,2864.72,765715.22,3715.22,115.07,14.48,15.22
19,?,?,?,?,?,?,15.22,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,1193415.59,3015.59,182.16,?,15.59
22,47872.80,48127.89,2892.80,58915.28,915.28,9.03,15.59,15.28
23,47733.24,47999.21,2890.57,015.28,015.28,0.00,15.28,15.28
24,47942.04,48203.43,2898.85,115.50,115.50,0.02,15.28,15.50
25,47613.95,47851.99,2897.93,537615.00,3815.00,81.26,15.50,15.00
26,?,?,?,?,?,?,15.00,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,385015.35,915.35,58.08,?,15.35
29,47328.40,47565.10,2878.58,3896215.40,2415.40,590.24,15.35,15.40
30,46917.19,47113.08,2876.68,147415.10,1515.10,22.53,15.40,15.10
31,46840.15,47011.43,2880.57,126715.00,1115.00,19.10,15.10,15.00
32,46945.58,47121.08,2883.81,40115.27,415.27,5.93,15.00,15.27
33,?,?,?,?,?,?,15.27,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,16515.05,515.05,2.44,?,15.05
36,46674.78,46862.43,2843.49,39015.00,315.00,5.85,15.05,15.00
37,46149.14,46341.54,2811.05,326115.23,1115.23,49.04,15.00,15.23
38,46329.66,46512.72,2815.91,149215.23,1415.23,22.40,15.23,15.23
39,46741.54,46931.40,2825.70,1157915.01,1915.01,174.84,15.23,15.01
40,?,?,?,?,?,?,15.01,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,6403815.60,4615.60,990.85,?,15.60
43,46399.26,46564.61,2821.25,1715.69,115.69,0.27,15.60,15.69
44,46406.74,46569.81,2825.02,43615.69,615.69,6.81,15.69,15.69
45,46211.54,46360.51,2825.15,68815.59,715.59,10.59,15.69,15.59
46,46370.13,46523.63,2838.22,13315.49,415.49,2.04,15.59,15.49
47,?,?,?,?,?,?,15.49,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,293715.15,2315.15,45.14,?,15.15
50,46490.89,46652.19,2843.90,9715.84,515.84,1.47,15.15,15.84
51,46051.76,46198.42,2831.71,172815.90,1315.90,27.38,15.84,15.90
52,45879.90,46050.52,2801.83,332916.19,2116.19,53.21,15.90,16.19
53,45948.12,46124.82,2817.57,100016.15,1616.15,15.89,16.19,16.15
54,?,?,?,?,?,?,16.15,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,265715.98,815.98,41.76,?,15.98
57,45868.35,46065.85,2831.16,124215.70,915.70,19.51,15.98,15.70
58,46241.92,46459.99,2855.69,15015.61,215.61,2.35,15.70,15.61
59,46280.36,46510.83,2865.27,376915.70,1915.70,59.70,15.61,15.70
60,46341.14,46622.90,2859.05,13416.23,216.23,2.18,15.70,16.23
61,?,?,?,?,?,?,16.23,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,707115.25,4815.25,105.81,?,15.25
