%310
@RELATION PLPCCIM00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,161221.55,191.55,24.17,?,1.55
3,783.15,48222.72,48505.50,2832.46,34911.55,161.55,5.30,1.55,1.55
4,781.69,47888.16,48143.94,2814.73,309131.63,261.63,49.69,1.55,1.63
5,?,?,?,?,?,?,?,1.63,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,82931.54,141.54,12.66,?,1.54
8,780.70,47379.63,47624.67,2790.64,11001.52,101.52,1.68,1.54,1.52
9,784.82,47407.28,47668.58,2784.62,39521.52,181.52,5.93,1.52,1.52
10,788.85,47546.91,47798.66,2800.96,167541.64,191.64,26.72,1.52,1.64
11,795.36,47440.80,47690.97,2815.88,229051.61,241.61,38.13,1.64,1.61
12,?,?,?,?,?,?,?,1.61,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,67771.66,121.66,11.07,?,1.66
15,794.59,47086.54,47346.41,2817.16,158081.77,221.77,27.40,1.66,1.77
16,796.34,47521.39,47794.60,2825.40,539151.81,441.81,97.14,1.77,1.81
17,803.56,47661.37,47936.81,2848.09,222611.76,211.76,38.54,1.81,1.76
18,807.72,47813.69,48104.67,2864.72,312831.67,421.67,52.33,1.76,1.67
19,?,?,?,?,?,?,?,1.67,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,25001.64,31.64,4.16,?,1.64
22,808.23,47872.80,48127.89,2892.80,23081.63,111.63,3.70,1.64,1.63
23,808.40,47733.24,47999.21,2890.57,5601.63,41.63,0.91,1.63,1.63
