%310
@RELATION PLPKN0000018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2626.21,48107.89,2644.06,3789.17,3791.86,3693.16,48389.84,69357652.00,235052.00,35725.87,?,52.00
3,2629.86,2628.36,48222.72,2649.70,3797.12,3794.96,3710.02,48505.50,67757252.40,236752.40,35393.34,52.00,52.40
4,2611.26,2601.73,47888.16,2625.17,3770.27,3756.50,3657.91,48143.94,118880051.30,216351.30,60808.48,52.40,51.30
5,?,?,?,?,?,?,?,?,?,?,?,51.30,?
6,?,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2578.48,47589.33,2607.87,3745.58,3722.95,3577.63,47820.24,102228649.70,180149.70,51036.93,?,49.70
8,2579.49,2562.63,47379.63,2600.99,3724.40,3700.06,3549.00,47624.67,105152349.09,286149.09,51885.76,49.70,49.09
9,2582.76,2567.59,47407.28,2600.72,3729.12,3707.22,3553.37,47668.58,44457449.20,110449.20,21852.64,49.09,49.20
10,2592.92,2573.62,47546.91,2611.00,3743.79,3715.93,3577.53,47798.66,104431048.75,209748.75,51598.09,49.20,48.75
11,2581.72,2557.93,47440.80,2601.78,3727.62,3693.27,3544.79,47690.97,51526648.70,125548.70,25100.66,48.75,48.70
12,?,?,?,?,?,?,?,?,?,?,?,48.70,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?
