%310
@RELATION PLPLSEP00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-ENERG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,3840.84,48389.84,2835.52,127828.70,1228.70,36.61,?,28.70
3,10554.18,48222.72,3905.64,48505.50,2832.46,119928.70,1528.70,34.00,28.70,28.70
4,10519.33,47888.16,3898.02,48143.94,2814.73,309129.20,2529.20,90.01,28.70,29.20
5,?,?,?,?,?,?,?,?,29.20,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,3921.36,47820.24,2793.31,156328.80,2328.80,45.60,?,28.80
8,10500.71,47379.63,3919.04,47624.67,2790.64,29529.00,629.00,8.52,28.80,29.00
9,10503.06,47407.28,3923.58,47668.58,2784.62,17229.14,529.14,5.01,29.00,29.14
10,10496.80,47546.91,3914.22,47798.66,2800.96,43628.60,728.60,12.48,29.14,28.60
11,10595.04,47440.80,3897.64,47690.97,2815.88,14828.50,628.50,4.22,28.60,28.50
12,?,?,?,?,?,?,?,?,28.50,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,3908.01,47724.95,2820.74,37928.10,1428.10,10.69,?,28.10
15,10638.06,47086.54,3830.35,47346.41,2817.16,75828.30,728.30,21.44,28.10,28.30
16,10673.05,47521.39,3845.49,47794.60,2825.40,22928.11,828.11,6.46,28.30,28.11
17,10767.29,47661.37,3859.71,47936.81,2848.09,32328.50,828.50,9.20,28.11,28.50
18,10903.93,47813.69,3869.29,48104.67,2864.72,773029.00,1629.00,223.74,28.50,29.00
19,?,?,?,?,?,?,?,?,29.00,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,3879.21,48184.37,2890.14,252229.50,2829.50,73.82,?,29.50
22,11073.63,47872.80,3875.84,48127.89,2892.80,465430.56,5330.56,139.61,29.50,30.56
23,11071.80,47733.24,3828.68,47999.21,2890.57,386230.77,3030.77,118.96,30.56,30.77
24,11108.21,47942.04,3806.18,48203.43,2898.85,105930.33,1330.33,32.22,30.77,30.33
25,11174.05,47613.95,3720.84,47851.99,2897.93,3130.33,230.33,0.94,30.33,30.33
26,?,?,?,?,?,?,?,?,30.33,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,3654.39,47553.14,2886.17,42729.70,1329.70,12.80,?,29.70
29,11165.66,47328.40,3667.30,47565.10,2878.58,177828.61,2528.61,51.50,29.70,28.61
30,11183.61,46917.19,3626.08,47113.08,2876.68,5529.01,329.01,1.59,28.61,29.01
31,11245.80,46840.15,3587.55,47011.43,2880.57,47228.99,628.99,13.65,29.01,28.99
32,11241.00,46945.58,3581.89,47121.08,2883.81,18229.00,629.00,5.24,28.99,29.00
33,?,?,?,?,?,?,?,?,29.00,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,3503.46,46735.25,2856.17,9528.80,828.80,2.75,?,28.80
36,11060.84,46674.78,3540.74,46862.43,2843.49,171428.60,2628.60,48.30,28.80,28.60
