%310
@RELATION PLPPWK000014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,2710.26,48389.84,2835.52,2903640.34,500.34,98.73,?,0.34
3,783.15,48222.72,2698.71,48505.50,2832.46,11620850.42,2250.42,464.31,0.34,0.42
4,781.69,47888.16,2695.86,48143.94,2814.73,5391060.41,1410.41,219.15,0.42,0.41
5,?,?,?,?,?,?,?,?,0.41,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,2663.04,47820.24,2793.31,1845770.41,520.41,73.78,?,0.41
8,780.70,47379.63,2620.57,47624.67,2790.64,1828130.41,240.41,74.83,0.41,0.41
9,784.82,47407.28,2619.40,47668.58,2784.62,2385320.40,450.40,93.11,0.41,0.40
10,788.85,47546.91,2677.70,47798.66,2800.96,692270.41,210.41,27.78,0.40,0.41
11,795.36,47440.80,2696.86,47690.97,2815.88,792120.41,190.41,31.41,0.41,0.41
12,?,?,?,?,?,?,?,?,0.41,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,2672.08,47724.95,2820.74,2861020.41,670.41,119.16,?,0.41
15,794.59,47086.54,2690.48,47346.41,2817.16,1238600.41,360.41,49.73,0.41,0.41
16,796.34,47521.39,2744.45,47794.60,2825.40,456020.40,180.40,18.37,0.41,0.40
17,803.56,47661.37,2771.35,47936.81,2848.09,1841800.40,420.40,74.19,0.40,0.40
18,807.72,47813.69,2772.18,48104.67,2864.72,2762480.39,440.39,108.37,0.40,0.39
19,?,?,?,?,?,?,?,?,0.39,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,2757.38,48184.37,2890.14,322710.40,90.40,12.61,?,0.40
22,808.23,47872.80,2736.45,48127.89,2892.80,477720.39,100.39,18.66,0.40,0.39
23,808.40,47733.24,2683.43,47999.21,2890.57,392000.40,140.40,15.24,0.39,0.40
24,811.80,47942.04,2707.85,48203.43,2898.85,6145910.42,1520.42,255.95,0.40,0.42
25,812.99,47613.95,2697.00,47851.99,2897.93,6332950.42,820.42,263.22,0.42,0.42
26,?,?,?,?,?,?,?,?,0.42,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,2704.07,47553.14,2886.17,442460.42,210.42,18.45,?,0.42
29,815.93,47328.40,2673.73,47565.10,2878.58,6863000.46,1450.46,301.70,0.42,0.46
30,815.59,46917.19,2682.83,47113.08,2876.68,5647230.48,1700.48,264.73,0.46,0.48
31,817.14,46840.15,2642.41,47011.43,2880.57,8608040.44,890.44,395.92,0.48,0.44
32,818.68,46945.58,2651.70,47121.08,2883.81,448660.45,200.45,19.81,0.44,0.45
33,?,?,?,?,?,?,?,?,0.45,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,2642.00,46735.25,2856.17,6033810.42,960.42,253.82,?,0.42
36,816.68,46674.78,2621.95,46862.43,2843.49,1876500.43,610.43,79.11,0.42,0.43
37,813.75,46149.14,2583.33,46341.54,2811.05,559170.43,170.43,23.55,0.43,0.43
38,811.13,46329.66,2569.88,46512.72,2815.91,425170.43,110.43,17.90,0.43,0.43
39,813.77,46741.54,2575.59,46931.40,2825.70,466340.43,180.43,19.64,0.43,0.43
40,?,?,?,?,?,?,?,?,0.43,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,2617.30,46988.04,2826.84,861780.43,390.43,36.86,?,0.43
43,817.32,46399.26,2620.19,46564.61,2821.25,939930.43,320.43,39.54,0.43,0.43
44,817.35,46406.74,2595.28,46569.81,2825.02,1520950.41,320.41,62.08,0.43,0.41
45,818.81,46211.54,2556.98,46360.51,2825.15,2670790.40,380.40,105.47,0.41,0.40
46,826.73,46370.13,2566.54,46523.63,2838.22,420300.40,180.40,16.43,0.40,0.40
47,?,?,?,?,?,?,?,?,0.40,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,2593.85,46665.39,2848.48,885810.42,240.42,35.91,?,0.42
50,832.30,46490.89,2591.45,46652.19,2843.90,1184070.42,270.42,48.64,0.42,0.42
51,830.62,46051.76,2578.63,46198.42,2831.71,800190.40,190.40,32.03,0.42,0.40
52,823.32,45879.90,2578.03,46050.52,2801.83,1404250.40,260.40,54.82,0.40,0.40
53,826.66,45948.12,2604.97,46124.82,2817.57,386350.40,80.40,15.10,0.40,0.40
54,?,?,?,?,?,?,?,?,0.40,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,2625.95,46487.05,2840.57,164600.41,50.41,6.59,?,0.41
57,828.81,45868.35,2621.52,46065.85,2831.16,713840.41,220.41,28.73,0.41,0.41
58,836.69,46241.92,2638.60,46459.99,2855.69,260490.41,80.41,10.62,0.41,0.41
59,844.08,46280.36,2641.23,46510.83,2865.27,244230.42,100.42,10.09,0.41,0.42
60,842.02,46341.14,2657.32,46622.90,2859.05,560890.41,200.41,23.01,0.42,0.41
61,?,?,?,?,?,?,?,?,0.41,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,2647.93,46454.13,2860.68,1298610.41,290.41,52.94,?,0.41
64,845.88,46676.09,2665.87,47001.38,2868.06,308970.41,150.41,12.67,0.41,0.41
65,849.88,46762.65,2658.78,47090.49,2872.90,4362650.42,770.42,186.31,0.41,0.42
66,855.99,46745.26,2661.06,47060.66,2873.49,4205710.43,370.43,176.79,0.42,0.43
67,861.67,47074.39,2653.14,47436.21,2906.74,3631570.42,720.42,149.43,0.43,0.42
68,?,?,?,?,?,?,?,?,0.42,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,2643.18,47269.75,2914.24,601030.41,260.41,24.74,?,0.41
71,866.79,47010.40,2716.00,47340.43,2911.38,734570.42,190.42,30.36,0.41,0.42
72,872.90,46888.37,2729.57,47235.72,2901.67,3834440.41,750.41,158.72,0.42,0.41
73,871.52,47223.68,2715.79,47606.16,2912.13,4004680.40,730.40,159.19,0.41,0.40
74,873.21,47125.93,2759.52,47522.10,2909.77,4145180.40,670.40,163.91,0.40,0.40
75,?,?,?,?,?,?,?,?,0.40,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,2727.89,47094.18,2900.59,581500.40,190.40,23.09,?,0.40
78,864.73,46029.35,2690.24,46473.62,2868.24,29690.39,40.39,1.16,0.40,0.39
79,862.97,46068.24,2690.29,46511.62,2874.75,344660.39,130.39,13.27,0.39,0.39
80,850.86,45580.47,2658.58,46017.88,2833.61,1369080.39,340.39,52.43,0.39,0.39
81,845.32,45066.18,2579.62,45473.08,2800.67,478170.38,240.38,18.07,0.39,0.38
82,?,?,?,?,?,?,?,?,0.38,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,2568.62,44946.32,2780.21,578240.39,180.39,21.79,?,0.39
85,830.80,44724.88,2566.53,45119.16,2774.13,3388090.38,530.38,124.33,0.39,0.38
86,835.51,45247.90,2581.44,45644.09,2785.46,776790.35,310.35,27.63,0.38,0.35
87,839.42,45147.57,2642.66,45528.85,2797.31,1608610.35,380.35,55.04,0.35,0.35
88,?,?,?,?,?,?,?,?,0.35,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,2638.99,45679.51,2814.33,1568060.34,440.34,52.28,?,0.34
93,828.79,44604.61,2614.45,44940.36,2769.02,1935010.34,390.34,64.61,0.34,0.34
94,824.35,44623.89,2599.89,44980.62,2766.19,108150.35,100.35,3.68,0.34,0.35
95,819.73,44597.66,2491.48,44960.02,2760.91,179580.36,230.36,6.22,0.35,0.36
96,?,?,?,?,?,?,?,?,0.36,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,2549.75,44963.96,2764.28,369510.34,160.34,12.72,?,0.34
