%310
@RELATION PLPTRLI00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,3693.16,48389.84,2835.52,18473401.45,7541.45,2672.00,?,1.45
3,2588.67,48222.72,3710.02,48505.50,2832.46,140717141.60,38471.60,21938.31,1.45,1.60
4,2588.47,47888.16,3657.91,48143.94,2814.73,142903221.52,35621.52,22710.22,1.60,1.52
5,?,?,?,?,?,?,?,?,1.52,?
6,?,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,3577.63,47820.24,2793.31,50241621.45,15061.45,7616.01,?,1.45
8,2587.38,47379.63,3549.00,47624.67,2790.64,75747131.46,17921.46,11141.45,1.45,1.46
9,2573.27,47407.28,3553.37,47668.58,2784.62,38104121.47,10801.47,5638.77,1.46,1.47
10,2592.53,47546.91,3577.53,47798.66,2800.96,21637471.43,7561.43,3155.93,1.47,1.43
11,2611.26,47440.80,3544.79,47690.97,2815.88,22026441.43,8181.43,3139.48,1.43,1.43
12,?,?,?,?,?,?,?,?,1.43,?
13,?,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,3566.85,47724.95,2820.74,20454911.43,7261.43,2929.18,?,1.43
15,2598.51,47086.54,3547.24,47346.41,2817.16,20737901.37,8481.37,2878.23,1.43,1.37
16,2598.53,47521.39,3670.64,47794.60,2825.40,21150171.39,8541.39,2890.55,1.37,1.39
17,2618.14,47661.37,3644.48,47936.81,2848.09,23747541.39,7231.39,3335.52,1.39,1.39
18,2626.72,47813.69,3698.62,48104.67,2864.72,12971731.39,4751.39,1806.88,1.39,1.39
19,?,?,?,?,?,?,?,?,1.39,?
20,?,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,3721.02,48184.37,2890.14,10497551.37,4541.37,1454.14,?,1.37
22,2636.01,47872.80,3722.27,48127.89,2892.80,30109331.34,9031.34,4065.45,1.37,1.34
23,2626.76,47733.24,3760.57,47999.21,2890.57,17752081.34,5451.34,2397.60,1.34,1.34
24,2646.20,47942.04,3778.89,48203.43,2898.85,30720131.32,9031.32,4081.63,1.34,1.32
