%310
@RELATION PLPZBDT00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,194083.28,283.28,65.94,?,3.28
3,783.15,48222.72,48505.50,2832.46,48503.24,83.24,16.06,3.28,3.24
4,781.69,47888.16,48143.94,2814.73,109803.29,73.29,36.20,3.24,3.29
5,?,?,?,?,?,?,?,3.29,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,603.38,33.38,0.20,?,3.38
8,780.70,47379.63,47624.67,2790.64,40953.25,63.25,13.32,3.38,3.25
9,784.82,47407.28,47668.58,2784.62,191383.19,173.19,61.29,3.25,3.19
10,788.85,47546.91,47798.66,2800.96,16113.45,43.45,5.20,3.19,3.45
11,795.36,47440.80,47690.97,2815.88,101013.25,73.25,32.82,3.45,3.25
12,?,?,?,?,?,?,?,3.25,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,27013.25,63.25,8.78,?,3.25
15,794.59,47086.54,47346.41,2817.16,6013.25,33.25,1.94,3.25,3.25
16,796.34,47521.39,47794.60,2825.40,9023.25,33.25,2.93,3.25,3.25
17,803.56,47661.37,47936.81,2848.09,3023.25,33.25,0.98,3.25,3.25
18,807.72,47813.69,48104.67,2864.72,72423.35,83.35,23.86,3.25,3.35
19,?,?,?,?,?,?,?,3.35,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,59553.45,83.45,19.97,?,3.45
22,808.23,47872.80,48127.89,2892.80,63.50,33.50,0.02,3.45,3.50
23,808.40,47733.24,47999.21,2890.57,727473.59,163.59,258.75,3.50,3.59
24,811.80,47942.04,48203.43,2898.85,42453.56,123.56,14.75,3.59,3.56
25,812.99,47613.95,47851.99,2897.93,13.55,13.55,0.00,3.56,3.55
26,?,?,?,?,?,?,?,3.55,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,23.54,23.54,0.01,?,3.54
29,815.93,47328.40,47565.10,2878.58,98333.55,153.55,34.95,3.54,3.55
30,815.59,46917.19,47113.08,2876.68,24013.54,63.54,8.51,3.55,3.54
