%310
@RELATION PLRDPOL00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,20317.92,177.92,16.25,?,7.92
3,10554.18,1118.84,48222.72,48505.50,2832.46,8028.00,108.00,6.42,7.92,8.00
4,10519.33,1111.36,47888.16,48143.94,2814.73,16638.00,198.00,13.29,8.00,8.00
5,?,?,?,?,?,?,?,?,8.00,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,23777.99,167.99,18.96,?,7.99
8,10500.71,1101.95,47379.63,47624.67,2790.64,516278.15,108.15,413.58,7.99,8.15
9,10503.06,1105.51,47407.28,47668.58,2784.62,296588.15,218.15,237.85,8.15,8.15
10,10496.80,1109.02,47546.91,47798.66,2800.96,4548.12,88.12,3.70,8.15,8.12
11,10595.04,1106.07,47440.80,47690.97,2815.88,21098.20,198.20,17.15,8.12,8.20
12,?,?,?,?,?,?,?,?,8.20,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,6108.20,98.20,4.94,?,8.20
15,10638.06,1098.41,47086.54,47346.41,2817.16,23878.22,158.22,19.55,8.20,8.22
16,10673.05,1100.21,47521.39,47794.60,2825.40,16098.36,128.36,13.36,8.22,8.36
17,10767.29,1100.21,47661.37,47936.81,2848.09,79148.70,348.70,67.98,8.36,8.70
18,10903.93,1104.63,47813.69,48104.67,2864.72,17618.80,78.80,15.37,8.70,8.80
19,?,?,?,?,?,?,?,?,8.80,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,97298.95,178.95,86.87,?,8.95
22,11073.63,1099.21,47872.80,48127.89,2892.80,55099.16,219.16,49.37,8.95,9.16
23,11071.80,1091.82,47733.24,47999.21,2890.57,33299.25,129.25,30.62,9.16,9.25
24,11108.21,1093.21,47942.04,48203.43,2898.85,9409.09,69.09,8.54,9.25,9.09
25,11174.05,1084.16,47613.95,47851.99,2897.93,39699.08,129.08,35.72,9.09,9.08
26,?,?,?,?,?,?,?,?,9.08,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,1079.13,47324.06,47553.14,2886.17,3109.10,69.10,2.83,?,9.10
29,11165.66,1078.99,47328.40,47565.10,2878.58,67058.80,348.80,57.13,9.10,8.80
30,11183.61,1071.11,46917.19,47113.08,2876.68,13558.60,118.60,12.00,8.80,8.60
31,11245.80,1070.81,46840.15,47011.43,2880.57,7908.71,108.71,6.95,8.60,8.71
32,11241.00,1073.47,46945.58,47121.08,2883.81,67478.79,198.79,59.89,8.71,8.79
33,?,?,?,?,?,?,?,?,8.79,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,1061.01,46556.55,46735.25,2856.17,212229.00,59.00,188.65,?,9.00
36,11060.84,1066.05,46674.78,46862.43,2843.49,39859.00,99.00,35.68,9.00,9.00
37,10953.57,1054.01,46149.14,46341.54,2811.05,24928.98,138.98,21.93,9.00,8.98
38,10950.03,1057.65,46329.66,46512.72,2815.91,513578.88,128.88,446.85,8.98,8.88
39,10986.53,1068.97,46741.54,46931.40,2825.70,26438.79,248.79,22.73,8.88,8.79
40,?,?,?,?,?,?,?,?,8.79,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,1067.80,46786.74,46988.04,2826.84,3608.81,48.81,3.18,?,8.81
43,10981.98,1038.81,46399.26,46564.61,2821.25,1368.62,48.62,1.18,8.81,8.62
44,11022.58,1034.74,46406.74,46569.81,2825.02,3908.78,58.78,3.42,8.62,8.78
45,11017.48,1024.61,46211.54,46360.51,2825.15,19318.74,148.74,16.35,8.78,8.74
46,11071.18,1029.14,46370.13,46523.63,2838.22,2708.76,48.76,2.33,8.74,8.76
47,?,?,?,?,?,?,?,?,8.76,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,1033.03,46508.27,46665.39,2848.48,19558.76,108.76,16.75,?,8.76
50,11119.72,1028.99,46490.89,46652.19,2843.90,17528.72,118.72,14.89,8.76,8.72
51,11014.53,1013.84,46051.76,46198.42,2831.71,2238.55,58.55,1.92,8.72,8.55
52,10948.88,1009.79,45879.90,46050.52,2801.83,48558.64,118.64,40.94,8.55,8.64
53,10985.79,1008.41,45948.12,46124.82,2817.57,13038.56,98.56,10.98,8.64,8.56
54,?,?,?,?,?,?,?,?,8.56,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,1013.72,46286.28,46487.05,2840.57,11128.79,78.79,9.71,?,8.79
57,10972.28,1007.53,45868.35,46065.85,2831.16,61398.65,258.65,51.13,8.79,8.65
58,11039.20,1014.91,46241.92,46459.99,2855.69,4578.64,48.64,3.85,8.65,8.64
59,11052.03,1015.09,46280.36,46510.83,2865.27,608.67,38.67,0.52,8.64,8.67
60,11010.83,1019.44,46341.14,46622.90,2859.05,4488.66,68.66,3.83,8.67,8.66
61,?,?,?,?,?,?,?,?,8.66,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,1017.25,46137.70,46454.13,2860.68,11448.59,108.59,9.55,?,8.59
64,10997.33,1023.77,46676.09,47001.38,2868.06,3758.55,58.55,3.19,8.59,8.55
65,11042.47,1022.74,46762.65,47090.49,2872.90,8298.57,78.57,7.02,8.55,8.57
66,11042.08,1022.01,46745.26,47060.66,2873.49,198019.00,549.00,176.88,8.57,9.00
67,11119.06,1029.77,47074.39,47436.21,2906.74,271569.30,619.30,255.61,9.00,9.30
68,?,?,?,?,?,?,?,?,9.30,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,1029.96,46933.03,47269.75,2914.24,217359.45,399.45,205.05,?,9.45
71,11150.86,1027.64,47010.40,47340.43,2911.38,74509.19,469.19,68.96,9.45,9.19
72,11194.08,1026.57,46888.37,47235.72,2901.67,232929.00,599.00,209.23,9.19,9.00
73,11231.22,1033.40,47223.68,47606.16,2912.13,35478.95,198.95,31.84,9.00,8.95
74,11228.39,1030.99,47125.93,47522.10,2909.77,10359.15,89.15,9.12,8.95,9.15
75,?,?,?,?,?,?,?,?,9.15,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,1019.65,46668.41,47094.18,2900.59,16879.29,169.29,15.31,?,9.29
78,11135.62,1004.18,46029.35,46473.62,2868.24,2709.25,49.25,2.44,9.29,9.25
79,11168.63,1001.19,46068.24,46511.62,2874.75,32739.11,109.11,29.75,9.25,9.11
80,11069.03,992.85,45580.47,46017.88,2833.61,84808.97,228.97,77.30,9.11,8.97
81,10908.77,982.63,45066.18,45473.08,2800.67,44829.00,129.00,39.69,8.97,9.00
82,?,?,?,?,?,?,?,?,9.00,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,971.44,44585.10,44946.32,2780.21,36848.70,208.70,32.06,?,8.70
85,10815.43,974.15,44724.88,45119.16,2774.13,589448.62,808.62,479.88,8.70,8.62
86,10867.86,981.90,45247.90,45644.09,2785.46,8968.63,68.63,7.66,8.62,8.63
87,10938.55,986.42,45147.57,45528.85,2797.31,110258.80,178.80,96.92,8.63,8.80
88,?,?,?,?,?,?,?,?,8.80,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
