%310
@RELATION PLSCOPK00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,22213.22,213.22,2.93,?,13.22
3,2832.46,12613.10,213.10,1.66,13.22,13.10
4,2814.73,12813.50,513.50,1.72,13.10,13.50
5,?,?,?,?,13.50,?
6,?,?,?,?,?,?
7,2793.31,313.64,213.64,0.04,?,13.64
8,2790.64,1000113.64,213.64,135.01,13.64,13.64
9,2784.62,2013.64,113.64,0.27,13.64,13.64
10,2800.96,013.64,013.64,0.00,13.64,13.64
11,2815.88,013.64,013.64,0.00,13.64,13.64
12,?,?,?,?,13.64,?
13,?,?,?,?,?,?
14,2820.74,013.64,013.64,0.00,?,13.64
15,2817.16,013.64,013.64,0.00,13.64,13.64
16,2825.40,013.64,013.64,0.00,13.64,13.64
17,2848.09,013.64,013.64,0.00,13.64,13.64
18,2864.72,27213.50,413.50,3.69,13.64,13.50
19,?,?,?,?,13.50,?
20,?,?,?,?,?,?
21,2890.14,013.50,013.50,0.00,?,13.50
22,2892.80,013.50,013.50,0.00,13.50,13.50
23,2890.57,23513.50,413.50,3.18,13.50,13.50
24,2898.85,20013.50,113.50,2.70,13.50,13.50
25,2897.93,013.50,013.50,0.00,13.50,13.50
26,?,?,?,?,13.50,?
27,?,?,?,?,?,?
28,2886.17,013.50,013.50,0.00,?,13.50
29,2878.58,013.50,013.50,0.00,13.50,13.50
30,2876.68,21413.77,313.77,2.95,13.50,13.77
31,2880.57,013.77,013.77,0.00,13.77,13.77
32,2883.81,013.77,013.77,0.00,13.77,13.77
33,?,?,?,?,13.77,?
34,?,?,?,?,?,?
35,2856.17,18614.00,414.00,2.60,?,14.00
36,2843.49,3007014.00,214.00,420.94,14.00,14.00
37,2811.05,36414.00,214.00,5.10,14.00,14.00
38,2815.91,714.06,314.06,0.10,14.00,14.06
39,2825.70,1055314.20,814.20,147.78,14.06,14.20
40,?,?,?,?,14.20,?
41,?,?,?,?,?,?
42,2826.84,49614.73,514.73,7.10,?,14.73
43,2821.25,90315.20,1015.20,13.55,14.73,15.20
44,2825.02,6115.00,415.00,0.94,15.20,15.00
45,2825.15,10115.00,315.00,1.52,15.00,15.00
46,2838.22,56415.43,515.43,8.51,15.00,15.43
47,?,?,?,?,15.43,?
48,?,?,?,?,?,?
49,2848.48,10515.74,215.74,1.62,?,15.74
50,2843.90,124416.00,716.00,19.75,15.74,16.00
51,2831.71,48415.50,215.50,7.50,16.00,15.50
52,2801.83,58515.00,715.00,8.88,15.50,15.00
53,2817.57,7814.99,414.99,1.15,15.00,14.99
54,?,?,?,?,14.99,?
55,?,?,?,?,?,?
56,2840.57,5014.95,114.95,0.75,?,14.95
57,2831.16,7114.95,214.95,1.02,14.95,14.95
58,2855.69,10014.40,114.40,1.44,14.95,14.40
59,2865.27,1714.69,214.69,0.24,14.40,14.69
60,2859.05,21114.69,314.69,3.10,14.69,14.69
