%310
@RELATION PLSIMPL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1136.16,48389.84,1007.28,27.28,0.72,?,7.28
3,783.15,48222.72,1132.73,48505.50,2927.25,37.25,2.12,7.28,7.25
4,781.69,47888.16,1123.30,48143.94,667.20,27.20,0.48,7.25,7.20
5,?,?,?,?,?,?,?,7.20,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1117.54,47820.24,13667.07,87.07,9.73,?,7.07
8,780.70,47379.63,1107.35,47624.67,7177.08,37.08,5.08,7.07,7.08
9,784.82,47407.28,1113.00,47668.58,14297.02,57.02,10.05,7.08,7.02
10,788.85,47546.91,1127.31,47798.66,18536.76,116.76,12.64,7.02,6.76
11,795.36,47440.80,1133.34,47690.97,336.69,36.69,0.22,6.76,6.69
12,?,?,?,?,?,?,?,6.69,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1138.05,47724.95,2396.60,46.60,1.55,?,6.60
15,794.59,47086.54,1131.14,47346.41,2706.61,36.61,1.79,6.60,6.61
16,796.34,47521.39,1130.24,47794.60,12286.85,56.85,8.39,6.61,6.85
17,803.56,47661.37,1132.34,47936.81,3057.30,37.30,2.12,6.85,7.30
18,807.72,47813.69,1144.65,48104.67,3057.05,47.05,2.20,7.30,7.05
19,?,?,?,?,?,?,?,7.05,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1151.79,48184.37,12487.19,67.19,8.61,?,7.19
22,808.23,47872.80,1152.16,48127.89,937.09,37.09,0.66,7.19,7.09
23,808.40,47733.24,1153.46,47999.21,257.29,27.29,0.18,7.09,7.29
24,811.80,47942.04,1150.21,48203.43,6977.28,57.28,5.01,7.29,7.28
25,812.99,47613.95,1156.62,47851.99,07.28,07.28,0.00,7.28,7.28
26,?,?,?,?,?,?,?,7.28,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1160.03,47553.14,17.13,17.13,0.01,?,7.13
29,815.93,47328.40,1163.93,47565.10,17.29,17.29,0.01,7.13,7.29
30,815.59,46917.19,1153.92,47113.08,1827.18,57.18,1.29,7.29,7.18
31,817.14,46840.15,1159.78,47011.43,4777.29,47.29,3.33,7.18,7.29
32,818.68,46945.58,1158.21,47121.08,67.28,27.28,0.04,7.29,7.28
33,?,?,?,?,?,?,?,7.28,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1147.63,46735.25,157.14,27.14,0.11,?,7.14
36,816.68,46674.78,1152.32,46862.43,147.09,37.09,0.10,7.14,7.09
37,813.75,46149.14,1128.47,46341.54,4427.05,37.05,3.08,7.09,7.05
38,811.13,46329.66,1129.48,46512.72,1357.06,27.06,0.95,7.05,7.06
39,813.77,46741.54,1129.43,46931.40,87.08,37.08,0.06,7.06,7.08
