%310
@RELATION PLSUWAR00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,1017.75,117.75,0.18,?,17.75
3,783.15,48222.72,48505.50,2832.46,9017.50,217.50,1.58,17.75,17.50
4,781.69,47888.16,48143.94,2814.73,5017.70,117.70,0.89,17.50,17.70
5,?,?,?,?,?,?,?,17.70,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,7017.50,317.50,1.23,?,17.50
8,780.70,47379.63,47624.67,2790.64,4018.00,218.00,0.72,17.50,18.00
9,784.82,47407.28,47668.58,2784.62,518.00,118.00,0.09,18.00,18.00
10,788.85,47546.91,47798.66,2800.96,67517.15,717.15,11.49,18.00,17.15
11,795.36,47440.80,47690.97,2815.88,1017.50,117.50,0.18,17.15,17.50
12,?,?,?,?,?,?,?,17.50,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,2217.50,217.50,0.39,?,17.50
15,794.59,47086.54,47346.41,2817.16,217.50,117.50,0.04,17.50,17.50
16,796.34,47521.39,47794.60,2825.40,517.50,117.50,0.09,17.50,17.50
17,803.56,47661.37,47936.81,2848.09,217.50,117.50,0.04,17.50,17.50
18,807.72,47813.69,48104.67,2864.72,217.50,117.50,0.04,17.50,17.50
19,?,?,?,?,?,?,?,17.50,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,217.50,117.50,0.04,?,17.50
22,808.23,47872.80,48127.89,2892.80,10317.50,317.50,1.80,17.50,17.50
23,808.40,47733.24,47999.21,2890.57,15017.40,417.40,2.61,17.50,17.40
24,811.80,47942.04,48203.43,2898.85,10017.40,217.40,1.74,17.40,17.40
25,812.99,47613.95,47851.99,2897.93,317.30,117.30,0.05,17.40,17.30
26,?,?,?,?,?,?,?,17.30,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,7017.25,217.25,1.21,?,17.25
29,815.93,47328.40,47565.10,2878.58,20516.95,416.95,3.50,17.25,16.95
30,815.59,46917.19,47113.08,2876.68,20516.70,316.70,3.45,16.95,16.70
31,817.14,46840.15,47011.43,2880.57,130316.82,1316.82,21.14,16.70,16.82
32,818.68,46945.58,47121.08,2883.81,14416.11,416.11,2.31,16.82,16.11
33,?,?,?,?,?,?,?,16.11,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,109216.00,416.00,17.46,?,16.00
36,816.68,46674.78,46862.43,2843.49,216.00,116.00,0.03,16.00,16.00
37,813.75,46149.14,46341.54,2811.05,516.35,116.35,0.08,16.00,16.35
38,811.13,46329.66,46512.72,2815.91,516.55,116.55,0.08,16.35,16.55
39,813.77,46741.54,46931.40,2825.70,108617.47,817.47,18.35,16.55,17.47
40,?,?,?,?,?,?,?,17.47,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,30117.00,917.00,5.09,?,17.00
43,817.32,46399.26,46564.61,2821.25,39617.00,817.00,6.69,17.00,17.00
44,817.35,46406.74,46569.81,2825.02,41516.85,616.85,6.81,17.00,16.85
45,818.81,46211.54,46360.51,2825.15,216.90,116.90,0.03,16.85,16.90
46,826.73,46370.13,46523.63,2838.22,18216.59,516.59,2.96,16.90,16.59
47,?,?,?,?,?,?,?,16.59,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2848.48,5716.68,216.68,0.95,?,16.68
50,832.30,46490.89,46652.19,2843.90,38216.25,716.25,6.09,16.68,16.25
51,830.62,46051.76,46198.42,2831.71,216.56,116.56,0.03,16.25,16.56
52,823.32,45879.90,46050.52,2801.83,316.59,116.59,0.05,16.56,16.59
53,826.66,45948.12,46124.82,2817.57,60916.00,1216.00,9.63,16.59,16.00
54,?,?,?,?,?,?,?,16.00,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,2840.57,216.00,116.00,0.03,?,16.00
57,828.81,45868.35,46065.85,2831.16,216.20,116.20,0.03,16.00,16.20
58,836.69,46241.92,46459.99,2855.69,216.40,116.40,0.03,16.20,16.40
59,844.08,46280.36,46510.83,2865.27,8016.60,516.60,1.30,16.40,16.60
60,842.02,46341.14,46622.90,2859.05,7516.50,216.50,1.20,16.60,16.50
61,?,?,?,?,?,?,?,16.50,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,2860.68,43515.70,815.70,6.81,?,15.70
64,845.88,46676.09,47001.38,2868.06,9716.30,216.30,1.58,15.70,16.30
65,849.88,46762.65,47090.49,2872.90,216.25,116.25,0.03,16.30,16.25
66,855.99,46745.26,47060.66,2873.49,316.40,116.40,0.05,16.25,16.40
67,861.67,47074.39,47436.21,2906.74,516.40,116.40,0.08,16.40,16.40
68,?,?,?,?,?,?,?,16.40,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,2914.24,72415.70,1315.70,11.27,?,15.70
71,866.79,47010.40,47340.43,2911.38,215.90,115.90,0.03,15.70,15.90
72,872.90,46888.37,47235.72,2901.67,42615.29,715.29,6.44,15.90,15.29
73,871.52,47223.68,47606.16,2912.13,9015.50,215.50,1.40,15.29,15.50
74,873.21,47125.93,47522.10,2909.77,215.60,115.60,0.03,15.50,15.60
75,?,?,?,?,?,?,?,15.60,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,2900.59,32815.30,515.30,5.01,?,15.30
78,864.73,46029.35,46473.62,2868.24,315.55,115.55,0.05,15.30,15.55
79,862.97,46068.24,46511.62,2874.75,215.60,115.60,0.03,15.55,15.60
