%310
@RELATION PLTRNSU00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,157262.00,142.00,31.36,?,2.00
3,783.15,48222.72,1422.15,48505.50,2832.46,255302.00,212.00,50.93,2.00,2.00
4,781.69,47888.16,1424.57,48143.94,2814.73,18881.99,51.99,3.74,2.00,1.99
5,?,?,?,?,?,?,?,?,1.99,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,120121.99,131.99,24.00,?,1.99
8,780.70,47379.63,1416.22,47624.67,2790.64,132632.00,212.00,26.51,1.99,2.00
9,784.82,47407.28,1418.24,47668.58,2784.62,496732.15,422.15,102.34,2.00,2.15
10,788.85,47546.91,1427.00,47798.66,2800.96,81592.15,142.15,17.43,2.15,2.15
11,795.36,47440.80,1431.50,47690.97,2815.88,20542.14,52.14,4.24,2.15,2.14
12,?,?,?,?,?,?,?,?,2.14,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,25112.14,52.14,5.28,?,2.14
15,794.59,47086.54,1424.03,47346.41,2817.16,77542.20,72.20,16.78,2.14,2.20
16,796.34,47521.39,1459.06,47794.60,2825.40,103662.23,142.23,22.90,2.20,2.23
17,803.56,47661.37,1480.62,47936.81,2848.09,76272.29,112.29,17.15,2.23,2.29
18,807.72,47813.69,1463.04,48104.67,2864.72,168282.35,132.35,39.07,2.29,2.35
19,?,?,?,?,?,?,?,?,2.35,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,361692.42,352.42,88.45,?,2.42
22,808.23,47872.80,1474.10,48127.89,2892.80,219072.46,212.46,53.41,2.42,2.46
23,808.40,47733.24,1466.26,47999.21,2890.57,817492.49,562.49,204.59,2.46,2.49
24,811.80,47942.04,1462.14,48203.43,2898.85,716962.44,272.44,172.64,2.49,2.44
25,812.99,47613.95,1453.75,47851.99,2897.93,2002.43,22.43,0.49,2.44,2.43
26,?,?,?,?,?,?,?,?,2.43,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1428.40,47553.14,2886.17,2752.44,22.44,0.67,?,2.44
29,815.93,47328.40,1414.71,47565.10,2878.58,202.44,12.44,0.05,2.44,2.44
30,815.59,46917.19,1409.63,47113.08,2876.68,59492.29,92.29,13.95,2.44,2.29
31,817.14,46840.15,1412.77,47011.43,2880.57,81582.30,92.30,18.43,2.29,2.30
32,818.68,46945.58,1424.75,47121.08,2883.81,161542.32,172.32,37.41,2.30,2.32
33,?,?,?,?,?,?,?,?,2.32,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1376.74,46735.25,2856.17,106682.33,222.33,24.74,?,2.33
36,816.68,46674.78,1376.05,46862.43,2843.49,55102.30,102.30,12.47,2.33,2.30
37,813.75,46149.14,1368.56,46341.54,2811.05,65952.32,152.32,15.14,2.30,2.32
38,811.13,46329.66,1379.50,46512.72,2815.91,21792.24,92.24,4.93,2.32,2.24
39,813.77,46741.54,1389.85,46931.40,2825.70,10092.30,92.30,2.28,2.24,2.30
40,?,?,?,?,?,?,?,?,2.30,?
41,?,?,?,?,?,?,?,?,?,?
