%310
@RELATION PLVENTS00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-TELKOM NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,1110.65,48389.84,2835.52,28265123.49,20953.49,10185.77,?,3.49
3,2588.67,48222.72,1112.25,48505.50,2832.46,18363693.47,11713.47,6406.68,3.49,3.47
4,2588.47,47888.16,1140.70,48143.94,2814.73,9317233.45,6333.45,3198.57,3.47,3.45
5,?,?,?,?,?,?,?,?,3.45,?
6,?,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,1164.05,47820.24,2793.31,7725283.40,6853.40,2623.25,?,3.40
8,2587.38,47379.63,1155.92,47624.67,2790.64,28537833.59,16913.59,10087.59,3.40,3.59
9,2573.27,47407.28,1155.75,47668.58,2784.62,5343613.62,4303.62,1919.04,3.59,3.62
10,2592.53,47546.91,1159.85,47798.66,2800.96,5870333.59,5493.59,2129.23,3.62,3.59
11,2611.26,47440.80,1157.18,47690.97,2815.88,7548313.51,5773.51,2656.88,3.59,3.51
12,?,?,?,?,?,?,?,?,3.51,?
13,?,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,1156.90,47724.95,2820.74,3253013.53,2553.53,1149.96,?,3.53
15,2598.51,47086.54,1158.87,47346.41,2817.16,3336193.49,4043.49,1157.55,3.53,3.49
16,2598.53,47521.39,1149.07,47794.60,2825.40,2243493.51,2713.51,778.74,3.49,3.51
17,2618.14,47661.37,1148.82,47936.81,2848.09,6563913.48,4273.48,2296.52,3.51,3.48
18,2626.72,47813.69,1163.21,48104.67,2864.72,14766913.58,7043.58,5290.06,3.48,3.58
19,?,?,?,?,?,?,?,?,3.58,?
20,?,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,1156.23,48184.37,2890.14,7922943.59,6313.59,2881.82,?,3.59
22,2636.01,47872.80,1129.52,48127.89,2892.80,4482623.60,3383.60,1609.31,3.59,3.60
23,2626.76,47733.24,1110.91,47999.21,2890.57,1626513.59,1303.59,579.82,3.60,3.59
24,2646.20,47942.04,1117.39,48203.43,2898.85,1991973.57,1503.57,713.45,3.59,3.57
25,2642.64,47613.95,1095.11,47851.99,2897.93,1499873.58,1933.58,535.63,3.57,3.58
26,?,?,?,?,?,?,?,?,3.58,?
27,?,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,1099.98,47553.14,2886.17,3193773.53,3493.53,1127.42,?,3.53
29,2623.78,47328.40,1099.53,47565.10,2878.58,2913143.47,2423.47,1011.95,3.53,3.47
30,2612.20,46917.19,1096.62,47113.08,2876.68,4278953.47,4003.47,1490.89,3.47,3.47
31,2597.73,46840.15,1100.15,47011.43,2880.57,1653003.46,1813.46,574.32,3.47,3.46
32,2603.21,46945.58,1100.07,47121.08,2883.81,2743633.45,2193.45,949.25,3.46,3.45
33,?,?,?,?,?,?,?,?,3.45,?
34,?,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,1077.39,46735.25,2856.17,9196763.51,7973.51,3263.15,?,3.51
36,2595.69,46674.78,1070.67,46862.43,2843.49,16615243.33,13313.33,5606.84,3.51,3.33
37,2567.59,46149.14,1072.62,46341.54,2811.05,5374153.29,5723.29,1775.07,3.33,3.29
38,2577.94,46329.66,1063.99,46512.72,2815.91,2220263.32,2913.32,737.43,3.29,3.32
39,2587.53,46741.54,1073.94,46931.40,2825.70,829673.34,1223.34,276.66,3.32,3.34
40,?,?,?,?,?,?,?,?,3.34,?
41,?,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,1067.89,46988.04,2826.84,4130993.28,4563.28,1372.24,?,3.28
43,2581.18,46399.26,805.51,46564.61,2821.25,15629753.21,12413.21,5037.53,3.28,3.21
44,2576.84,46406.74,759.92,46569.81,2825.02,7196103.29,6193.29,2379.46,3.21,3.29
45,2578.13,46211.54,708.33,46360.51,2825.15,4831863.32,2453.32,1589.76,3.29,3.32
46,2570.25,46370.13,715.00,46523.63,2838.22,2506083.27,2113.27,822.94,3.32,3.27
47,?,?,?,?,?,?,?,?,3.27,?
48,?,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,733.16,46665.39,2848.48,3728723.25,2513.25,1220.05,?,3.25
50,2566.72,46490.89,720.22,46652.19,2843.90,11545323.55,7233.55,3904.38,3.25,3.55
51,2577.60,46051.76,710.62,46198.42,2831.71,14468203.50,9683.50,5127.23,3.55,3.50
52,2566.08,45879.90,693.28,46050.52,2801.83,4349723.49,4253.49,1493.95,3.50,3.49
53,2577.64,45948.12,691.78,46124.82,2817.57,4181543.56,4593.56,1473.27,3.49,3.56
54,?,?,?,?,?,?,?,?,3.56,?
55,?,?,?,?,?,?,?,?,?,?
56,2602.92,46286.28,704.50,46487.05,2840.57,9699113.50,6533.50,3470.04,?,3.50
57,2589.15,45868.35,709.00,46065.85,2831.16,2284933.51,2573.51,793.17,3.50,3.51
58,2608.94,46241.92,706.84,46459.99,2855.69,2076103.51,1803.51,725.16,3.51,3.51
59,2608.20,46280.36,721.89,46510.83,2865.27,2336963.54,2093.54,821.72,3.51,3.54
60,2626.22,46341.14,759.73,46622.90,2859.05,5202583.54,3473.54,1821.16,3.54,3.54
61,?,?,?,?,?,?,?,?,3.54,?
62,?,?,?,?,?,?,?,?,?,?
63,2623.37,46137.70,761.79,46454.13,2860.68,5620283.54,3943.54,1996.65,?,3.54
64,2628.44,46676.09,757.35,47001.38,2868.06,3779923.51,3033.51,1343.18,3.54,3.51
65,2632.38,46762.65,755.78,47090.49,2872.90,3315093.54,2883.54,1174.94,3.51,3.54
66,2653.74,46745.26,741.77,47060.66,2873.49,5357993.47,2993.47,1881.35,3.54,3.47
67,2675.88,47074.39,747.40,47436.21,2906.74,5793863.50,3673.50,2020.87,3.47,3.50
68,?,?,?,?,?,?,?,?,3.50,?
69,?,?,?,?,?,?,?,?,?,?
70,2678.09,46933.03,735.64,47269.75,2914.24,3932953.46,3163.46,1366.59,?,3.46
71,2689.51,47010.40,731.42,47340.43,2911.38,3628233.45,2893.45,1261.40,3.46,3.45
72,2687.66,46888.37,717.76,47235.72,2901.67,6613463.38,4723.38,2251.99,3.45,3.38
73,2687.81,47223.68,723.75,47606.16,2912.13,3269993.46,2573.46,1125.30,3.38,3.46
74,2708.28,47125.93,710.13,47522.10,2909.77,2617303.46,2193.46,904.05,3.46,3.46
75,?,?,?,?,?,?,?,?,3.46,?
76,?,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,715.27,47094.18,2900.59,2683963.43,2233.43,913.50,?,3.43
78,2658.94,46029.35,697.24,46473.62,2868.24,3820313.36,2603.36,1301.10,3.43,3.36
79,2663.64,46068.24,701.57,46511.62,2874.75,3549583.35,3013.35,1185.82,3.36,3.35
80,2635.54,45580.47,707.10,46017.88,2833.61,5726303.31,4053.31,1885.82,3.35,3.31
81,2596.69,45066.18,702.85,45473.08,2800.67,28590683.08,20643.08,8616.35,3.31,3.08
82,?,?,?,?,?,?,?,?,3.08,?
83,?,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,691.40,44946.32,2780.21,32555422.83,23402.83,9254.94,?,2.83
85,2578.94,44724.88,675.27,45119.16,2774.13,21216663.03,11753.03,6143.40,2.83,3.03
86,2601.44,45247.90,674.59,45644.09,2785.46,14415973.14,9223.14,4391.65,3.03,3.14
87,2624.74,45147.57,691.67,45528.85,2797.31,6769833.00,5363.00,2055.91,3.14,3.00
88,?,?,?,?,?,?,?,?,3.00,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,696.21,45679.51,2814.33,4698652.87,4062.87,1371.55,?,2.87
93,2608.26,44604.61,674.57,44940.36,2769.02,4761142.82,3422.82,1364.01,2.87,2.82
94,2594.74,44623.89,680.71,44980.62,2766.19,5750702.68,5122.68,1571.09,2.82,2.68
95,2572.61,44597.66,669.97,44960.02,2760.91,5704392.72,4352.72,1551.63,2.68,2.72
96,?,?,?,?,?,?,?,?,2.72,?
97,?,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,662.84,44963.96,2764.28,26068462.99,16952.99,7798.59,?,2.99
99,2592.09,44725.03,660.43,45096.35,2767.26,8885592.83,7072.83,2600.93,2.99,2.83
100,2601.25,45091.63,658.54,45495.34,2780.21,17285763.04,9633.04,5128.07,2.83,3.04
101,2623.22,45688.48,671.29,46131.66,2794.43,14099923.12,9683.12,4395.49,3.04,3.12
102,2630.40,45525.92,691.90,45960.10,2783.53,5621543.00,5663.00,1698.93,3.12,3.00
103,?,?,?,?,?,?,?,?,3.00,?
104,?,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,689.59,45167.65,2754.91,4940312.88,4302.88,1452.14,?,2.88
106,?,?,?,?,?,?,?,?,2.88,?
107,2555.73,43916.24,691.29,44404.81,2705.88,4156832.82,4322.82,1170.65,?,2.82
108,2520.54,43364.70,677.37,43850.06,2695.55,4397562.85,3282.85,1244.05,2.82,2.85
109,2522.32,43447.75,688.33,43993.98,2685.57,8166733.00,6183.00,2409.97,2.85,3.00
110,?,?,?,?,?,?,?,?,3.00,?
111,?,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,687.75,43892.82,2660.28,5485093.02,4483.02,1670.54,?,3.02
113,2471.39,43159.57,689.86,43707.88,2624.40,3348402.95,2802.95,997.85,3.02,2.95
114,2472.28,43356.73,688.51,43908.95,2636.70,4586342.92,4042.92,1326.56,2.95,2.92
115,2492.91,43482.18,687.54,44027.03,2658.57,2591242.91,2222.91,759.07,2.92,2.91
116,2520.03,43665.21,688.39,44226.06,2669.93,1448542.93,1622.93,423.77,2.91,2.93
117,?,?,?,?,?,?,?,?,2.93,?
118,?,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,693.53,44420.22,2685.14,1865872.90,1622.90,539.22,?,2.90
120,2550.91,44162.18,717.51,44653.34,2704.84,2128242.86,1932.86,608.65,2.90,2.86
121,?,?,?,?,?,?,?,?,2.86,?
122,2543.60,43991.51,745.56,44466.89,2695.22,2024442.83,2022.83,575.30,?,2.83
123,?,?,?,?,?,?,?,?,2.83,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,2568.68,44541.73,754.94,45060.80,2714.72,2325482.82,1972.82,660.68,?,2.82
127,2587.84,44742.22,740.27,45244.29,2733.96,5449812.87,4462.87,1571.91,2.82,2.87
128,2610.73,45117.94,753.37,45647.76,2752.14,3245112.96,2662.96,952.09,2.87,2.96
129,2630.10,44943.16,761.78,45475.08,2760.20,5052842.98,4612.98,1513.69,2.96,2.98
130,2654.43,44895.35,761.07,45408.06,2769.85,1379232.98,1512.98,410.63,2.98,2.98
131,?,?,?,?,?,?,?,?,2.98,?
132,?,?,?,?,?,?,?,?,?,?
133,2678.95,45207.84,770.18,45746.01,2790.62,3008503.01,2773.01,896.13,?,3.01
134,2713.50,45771.11,796.41,46336.62,2822.41,9113443.15,6933.15,2830.40,3.01,3.15
135,2720.73,46102.42,790.53,46676.61,2848.38,6651213.13,5673.13,2111.57,3.15,3.13
136,2740.12,45992.03,782.75,46581.16,2871.70,13134152.97,9302.97,3977.58,3.13,2.97
137,2751.78,46078.68,780.26,46646.58,2885.19,14769772.86,9802.86,4274.78,2.97,2.86
138,?,?,?,?,?,?,?,?,2.86,?
139,?,?,?,?,?,?,?,?,?,?
140,2788.61,46041.35,782.37,46615.31,2921.95,8346352.82,6132.82,2355.74,?,2.82
141,2759.55,45851.80,770.66,46439.10,2893.12,5255392.79,3722.79,1481.30,2.82,2.79
142,2771.55,45933.66,760.17,46529.96,2912.70,19374012.69,15022.69,5280.40,2.79,2.69
143,2756.32,45687.76,761.62,46311.26,2894.53,11583672.58,10482.58,2977.13,2.69,2.58
144,2776.52,46145.44,778.68,46783.61,2929.62,7958442.73,8072.73,2140.95,2.58,2.73
145,?,?,?,?,?,?,?,?,2.73,?
146,?,?,?,?,?,?,?,?,?,?
147,2828.89,47277.10,803.36,47957.54,2976.83,16532792.77,13822.77,4592.10,?,2.77
148,2829.62,47579.87,804.57,48258.02,2997.81,10375132.80,8102.80,2917.70,2.77,2.80
149,2809.70,47476.64,812.52,48138.07,3000.58,14470932.85,9812.85,4158.05,2.80,2.85
150,?,?,?,?,?,?,?,?,2.85,?
151,2812.75,47806.34,812.32,48503.87,2994.25,2568502.87,2992.87,734.48,?,2.87
152,?,?,?,?,?,?,?,?,2.87,?
153,?,?,?,?,?,?,?,?,?,?
154,2796.00,47175.79,790.31,47868.36,2970.24,3656802.82,2922.82,1035.48,?,2.82
155,2837.22,47620.68,787.69,48323.88,2998.79,4116102.84,3242.84,1169.11,2.82,2.84
156,2888.79,47805.94,788.29,48513.29,3026.87,11361782.73,8072.73,3134.22,2.84,2.73
157,2875.78,47573.66,795.07,48259.19,3020.15,13128502.65,9212.65,3525.76,2.73,2.65
158,2886.30,48209.65,797.69,48918.37,3044.38,6386762.70,4172.70,1720.33,2.65,2.70
159,?,?,?,?,?,?,?,?,2.70,?
160,?,?,?,?,?,?,?,?,?,?
161,2904.56,48495.01,801.50,49207.65,3065.91,12027462.67,8242.67,3256.06,?,2.67
162,2931.48,48324.52,807.77,49050.96,3074.89,42054702.83,23312.83,11615.57,2.67,2.83
163,2943.65,48383.93,808.77,49098.70,3098.83,28660722.73,18072.73,8086.50,2.83,2.73
164,2925.31,48152.82,806.93,48890.47,3089.32,13969162.69,9932.69,3758.58,2.73,2.69
165,2942.25,48273.42,805.91,49057.66,3092.65,5740982.68,4122.68,1545.41,2.69,2.68
166,?,?,?,?,?,?,?,?,2.68,?
167,?,?,?,?,?,?,?,?,?,?
168,2956.40,48131.61,800.58,48917.56,3100.24,4766442.66,3682.66,1268.63,?,2.66
169,2979.55,48119.72,805.64,48891.04,3120.39,3295632.65,2882.65,869.80,2.66,2.65
170,2974.95,47743.10,806.58,48509.84,3122.21,4355452.65,3262.65,1162.23,2.65,2.65
171,2905.31,45870.00,802.15,46587.68,3038.18,13603732.48,10142.48,3485.30,2.65,2.48
172,2844.16,44732.92,746.48,45456.77,3001.68,10411482.39,9332.39,2521.14,2.48,2.39
173,?,?,?,?,?,?,?,?,2.39,?
174,?,?,?,?,?,?,?,?,?,?
175,2824.47,44824.62,766.14,45531.46,2990.89,2553422.40,2872.40,609.26,?,2.40
176,2821.05,44966.09,782.20,45672.10,2999.31,5375312.42,3672.42,1308.84,2.40,2.42
177,2807.75,44893.99,794.70,45601.51,2972.55,5725032.45,5482.45,1374.67,2.42,2.45
178,2736.47,43667.37,790.83,44326.49,2915.58,5462102.48,5562.48,1365.80,2.45,2.48
179,2776.93,44747.79,797.01,45442.51,2948.80,3754202.42,3152.42,914.70,2.48,2.42
180,?,?,?,?,?,?,?,?,2.42,?
181,?,?,?,?,?,?,?,?,?,?
182,2809.58,44769.00,791.24,45461.06,2963.91,3523382.39,3352.39,848.05,?,2.39
183,2832.22,45533.94,802.01,46254.71,2981.48,12871642.70,8662.70,3306.90,2.39,2.70
184,2815.62,45184.98,802.26,45899.36,2971.57,10639182.63,9172.63,2820.47,2.70,2.63
185,2833.65,45613.75,813.75,46344.42,2988.19,2965312.67,2642.67,786.81,2.63,2.67
186,2823.50,45110.89,816.98,45805.34,2977.06,10849422.68,7112.68,2957.87,2.67,2.68
187,?,?,?,?,?,?,?,?,2.68,?
188,?,?,?,?,?,?,?,?,?,?
189,2780.48,44534.34,804.61,45172.40,2948.16,3996862.63,2952.63,1053.98,?,2.63
190,2753.06,44342.23,805.77,44969.23,2924.69,7913822.50,6152.50,2008.90,2.63,2.50
191,2792.18,45068.55,822.40,45727.71,2962.09,2946072.52,2932.52,734.89,2.50,2.52
192,2830.11,45712.72,821.82,46390.36,2992.86,2101602.54,1922.54,536.05,2.52,2.54
193,2859.48,46150.78,829.76,46839.89,3017.66,2094402.51,1722.51,531.41,2.54,2.51
194,?,?,?,?,?,?,?,?,2.51,?
195,?,?,?,?,?,?,?,?,?,?
196,2869.26,46218.05,826.24,46922.43,3022.70,1201632.55,1492.55,303.94,?,2.55
197,2865.65,46155.10,833.89,46860.35,3017.11,2282812.47,2492.47,568.07,2.55,2.47
198,2869.34,46287.08,841.12,47003.76,3021.27,7088202.39,5662.39,1720.58,2.47,2.39
199,2886.09,46221.23,838.07,46919.83,3023.16,15035612.30,11372.30,3425.50,2.39,2.30
200,2881.70,46399.74,843.46,47120.88,3019.85,5271152.27,4312.27,1201.80,2.30,2.27
201,?,?,?,?,?,?,?,?,2.27,?
202,?,?,?,?,?,?,?,?,?,?
203,2871.14,46361.70,838.10,47075.43,3021.70,2539152.31,3032.31,579.25,?,2.31
204,2908.96,46714.43,838.88,47454.90,3029.97,11366642.48,8662.48,2732.46,2.31,2.48
205,2923.77,46835.98,835.03,47575.74,3050.63,4213222.46,3972.46,1032.18,2.48,2.46
206,2914.72,46713.02,816.24,47446.69,3036.16,3153702.41,2662.41,764.24,2.46,2.41
207,2886.24,46258.91,809.91,46981.22,3015.00,2406802.40,2782.40,575.72,2.41,2.40
208,?,?,?,?,?,?,?,?,2.40,?
209,?,?,?,?,?,?,?,?,?,?
210,2914.05,46480.62,819.34,47214.30,3032.94,16834782.52,9672.52,4212.30,?,2.52
211,2928.38,46663.41,820.25,47398.08,3038.42,4635842.52,3342.52,1162.91,2.52,2.52
212,2924.02,46925.65,811.01,47676.43,3046.08,8715912.65,6342.65,2258.88,2.52,2.65
213,2945.73,47370.81,823.49,48147.76,3060.17,7175892.73,5972.73,1948.29,2.65,2.73
214,3020.01,48325.33,826.29,49133.14,3110.79,5300172.71,3902.71,1440.31,2.73,2.71
215,?,?,?,?,?,?,?,?,2.71,?
216,?,?,?,?,?,?,?,?,?,?
217,3032.65,48458.44,820.97,49272.86,3127.41,2914912.70,2302.70,788.47,?,2.70
