%310
@RELATION PLZPCOT00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,2835.52,690910.92,5210.92,75.27,?,10.92
3,783.15,48222.72,3696.13,48505.50,2832.46,1329011.00,7011.00,146.70,10.92,11.00
4,781.69,47888.16,3651.18,48143.94,2814.73,427711.20,2811.20,47.01,11.00,11.20
5,?,?,?,?,?,?,?,?,11.20,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,2793.31,803111.87,7011.87,92.65,?,11.87
8,780.70,47379.63,3576.33,47624.67,2790.64,883012.20,5712.20,106.22,11.87,12.20
9,784.82,47407.28,3508.84,47668.58,2784.62,824111.90,3811.90,96.58,12.20,11.90
10,788.85,47546.91,3558.48,47798.66,2800.96,465512.04,2012.04,55.19,11.90,12.04
11,795.36,47440.80,3558.82,47690.97,2815.88,141112.00,1112.00,16.86,12.04,12.00
12,?,?,?,?,?,?,?,?,12.00,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,2820.74,217811.86,2111.86,25.86,?,11.86
15,794.59,47086.54,3558.20,47346.41,2817.16,106111.90,1811.90,12.64,11.86,11.90
16,796.34,47521.39,3558.19,47794.60,2825.40,522411.75,3011.75,60.47,11.90,11.75
17,803.56,47661.37,3543.16,47936.81,2848.09,299011.60,1811.60,34.48,11.75,11.60
18,807.72,47813.69,3562.92,48104.67,2864.72,106411.65,1011.65,12.36,11.60,11.65
19,?,?,?,?,?,?,?,?,11.65,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,2890.14,214911.80,1411.80,25.28,?,11.80
22,808.23,47872.80,3655.10,48127.89,2892.80,593612.30,3612.30,71.45,11.80,12.30
23,808.40,47733.24,3659.94,47999.21,2890.57,428912.50,4212.50,53.52,12.30,12.50
24,811.80,47942.04,3700.17,48203.43,2898.85,164112.61,1412.61,20.70,12.50,12.61
25,812.99,47613.95,3718.94,47851.99,2897.93,353512.45,1812.45,44.04,12.61,12.45
26,?,?,?,?,?,?,?,?,12.45,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,3735.07,47553.14,2886.17,308912.70,1912.70,39.24,?,12.70
29,815.93,47328.40,3714.68,47565.10,2878.58,759212.90,4312.90,98.29,12.70,12.90
30,815.59,46917.19,3756.63,47113.08,2876.68,372513.00,2313.00,48.63,12.90,13.00
31,817.14,46840.15,3809.65,47011.43,2880.57,138712.90,1412.90,17.85,13.00,12.90
32,818.68,46945.58,3793.66,47121.08,2883.81,96312.68,1412.68,12.31,12.90,12.68
33,?,?,?,?,?,?,?,?,12.68,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,3715.56,46735.25,2856.17,2281213.33,10313.33,300.86,?,13.33
36,816.68,46674.78,3715.75,46862.43,2843.49,2748313.50,8113.50,369.35,13.33,13.50
37,813.75,46149.14,3658.81,46341.54,2811.05,838513.58,4013.58,113.31,13.50,13.58
38,811.13,46329.66,3691.32,46512.72,2815.91,648513.91,4713.91,89.10,13.58,13.91
39,813.77,46741.54,3696.69,46931.40,2825.70,2237514.42,10414.42,321.28,13.91,14.42
40,?,?,?,?,?,?,?,?,14.42,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,3695.92,46988.04,2826.84,722914.23,5514.23,103.00,?,14.23
43,817.32,46399.26,3702.31,46564.61,2821.25,792313.72,6713.72,109.67,14.23,13.72
44,817.35,46406.74,3714.64,46569.81,2825.02,555013.54,4313.54,75.30,13.72,13.54
45,818.81,46211.54,3733.52,46360.51,2825.15,267713.40,2113.40,35.96,13.54,13.40
46,826.73,46370.13,3763.34,46523.63,2838.22,391113.63,2613.63,53.23,13.40,13.63
47,?,?,?,?,?,?,?,?,13.63,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,3757.44,46665.39,2848.48,215113.41,2613.41,28.98,?,13.41
50,832.30,46490.89,3763.52,46652.19,2843.90,304613.40,2813.40,40.69,13.41,13.40
51,830.62,46051.76,3745.72,46198.42,2831.71,51313.44,1213.44,6.89,13.40,13.44
52,823.32,45879.90,3760.90,46050.52,2801.83,977012.86,6312.86,125.81,13.44,12.86
53,826.66,45948.12,3733.92,46124.82,2817.57,267912.82,2512.82,34.25,12.86,12.82
54,?,?,?,?,?,?,?,?,12.82,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,3698.83,46487.05,2840.57,328512.63,3512.63,41.34,?,12.63
57,828.81,45868.35,3687.46,46065.85,2831.16,506412.49,4012.49,62.42,12.63,12.49
58,836.69,46241.92,3723.24,46459.99,2855.69,589713.10,4313.10,76.90,12.49,13.10
59,844.08,46280.36,3694.46,46510.83,2865.27,115813.20,1813.20,15.42,13.10,13.20
60,842.02,46341.14,3596.60,46622.90,2859.05,258013.28,2513.28,33.81,13.20,13.28
61,?,?,?,?,?,?,?,?,13.28,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,3528.81,46454.13,2860.68,99113.20,1413.20,13.10,?,13.20
64,845.88,46676.09,3522.56,47001.38,2868.06,315413.37,2613.37,41.74,13.20,13.37
65,849.88,46762.65,3541.17,47090.49,2872.90,268413.60,2813.60,36.25,13.37,13.60
66,855.99,46745.26,3558.65,47060.66,2873.49,110413.82,1313.82,15.21,13.60,13.82
67,861.67,47074.39,3529.57,47436.21,2906.74,150413.71,1313.71,20.71,13.82,13.71
68,?,?,?,?,?,?,?,?,13.71,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,3595.74,47269.75,2914.24,147013.35,1713.35,19.78,?,13.35
71,866.79,47010.40,3613.57,47340.43,2911.38,85513.36,1213.36,11.48,13.35,13.36
72,872.90,46888.37,3595.65,47235.72,2901.67,50313.45,1013.45,6.71,13.36,13.45
73,871.52,47223.68,3593.14,47606.16,2912.13,123913.43,1113.43,16.50,13.45,13.43
74,873.21,47125.93,3575.34,47522.10,2909.77,48113.25,813.25,6.40,13.43,13.25
75,?,?,?,?,?,?,?,?,13.25,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,3531.93,47094.18,2900.59,177913.20,1413.20,23.41,?,13.20
78,864.73,46029.35,3446.97,46473.62,2868.24,292712.90,2512.90,37.43,13.20,12.90
79,862.97,46068.24,3416.12,46511.62,2874.75,125312.89,1712.89,15.99,12.90,12.89
80,850.86,45580.47,3320.24,46017.88,2833.61,242812.50,2712.50,30.26,12.89,12.50
81,845.32,45066.18,3327.55,45473.08,2800.67,555711.80,5911.80,64.74,12.50,11.80
82,?,?,?,?,?,?,?,?,11.80,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,3387.98,44946.32,2780.21,231411.80,2811.80,27.06,?,11.80
85,830.80,44724.88,3369.87,45119.16,2774.13,1011.80,111.80,0.12,11.80,11.80
86,835.51,45247.90,3430.06,45644.09,2785.46,300811.36,2911.36,33.92,11.80,11.36
87,839.42,45147.57,3478.60,45528.85,2797.31,411211.30,2111.30,46.09,11.36,11.30
88,?,?,?,?,?,?,?,?,11.30,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,3523.68,45679.51,2814.33,311911.20,2111.20,34.75,?,11.20
93,828.79,44604.61,3482.18,44940.36,2769.02,34611.26,1011.26,3.87,11.20,11.26
94,824.35,44623.89,3486.55,44980.62,2766.19,38711.13,1211.13,4.34,11.26,11.13
95,819.73,44597.66,3479.32,44960.02,2760.91,82111.20,711.20,9.20,11.13,11.20
96,?,?,?,?,?,?,?,?,11.20,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,3450.97,44963.96,2764.28,44211.15,811.15,4.95,?,11.15
99,815.74,44725.03,3474.49,45096.35,2767.26,121311.00,1211.00,13.40,11.15,11.00
100,820.16,45091.63,3463.81,45495.34,2780.21,367311.10,1311.10,40.80,11.00,11.10
101,824.04,45688.48,3504.28,46131.66,2794.43,241411.20,1011.20,26.92,11.10,11.20
102,819.29,45525.92,3481.04,45960.10,2783.53,168211.07,1411.07,18.86,11.20,11.07
103,?,?,?,?,?,?,?,?,11.07,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,3368.83,45167.65,2754.91,411611.00,1811.00,45.32,?,11.00
106,?,?,?,?,?,?,?,?,11.00,?
107,796.68,43916.24,3195.69,44404.81,2705.88,370210.70,2410.70,39.89,?,10.70
108,787.39,43364.70,3142.65,43850.06,2695.55,247410.60,2010.60,25.44,10.70,10.60
109,783.37,43447.75,2992.95,43993.98,2685.57,97410.74,1110.74,10.38,10.60,10.74
110,?,?,?,?,?,?,?,?,10.74,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,3007.40,43892.82,2660.28,137510.65,1610.65,14.79,?,10.65
113,769.16,43159.57,3011.64,43707.88,2624.40,275710.40,1810.40,28.44,10.65,10.40
114,769.82,43356.73,3012.77,43908.95,2636.70,207810.45,1610.45,21.33,10.40,10.45
115,774.88,43482.18,2993.56,44027.03,2658.57,106010.45,810.45,10.87,10.45,10.45
116,777.86,43665.21,3051.09,44226.06,2669.93,69110.65,910.65,7.31,10.45,10.65
117,?,?,?,?,?,?,?,?,10.65,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,3107.87,44420.22,2685.14,83810.90,1210.90,9.07,?,10.90
120,784.81,44162.18,3270.96,44653.34,2704.84,232211.29,1511.29,25.95,10.90,11.29
121,?,?,?,?,?,?,?,?,11.29,?
122,787.45,43991.51,3273.77,44466.89,2695.22,696610.98,2610.98,75.90,?,10.98
123,?,?,?,?,?,?,?,?,10.98,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,3221.83,45060.80,2714.72,61010.85,810.85,6.62,?,10.85
