%310
@RELATION PLZPUE000012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,7249.20,2249.20,1.74,?,249.20
3,10554.18,48222.72,48505.50,2832.46,46249.00,6249.00,11.47,249.20,249.00
4,10519.33,47888.16,48143.94,2814.73,88246.00,17246.00,21.40,249.00,246.00
5,?,?,?,?,?,?,?,246.00,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,27243.00,5243.00,6.58,?,243.00
8,10500.71,47379.63,47624.67,2790.64,172250.00,10250.00,42.70,243.00,250.00
9,10503.06,47407.28,47668.58,2784.62,466250.60,12250.60,117.53,250.00,250.60
10,10496.80,47546.91,47798.66,2800.96,10344250.00,9250.00,2586.40,250.60,250.00
11,10595.04,47440.80,47690.97,2815.88,269257.50,15257.50,68.60,250.00,257.50
12,?,?,?,?,?,?,?,257.50,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,393260.00,20260.00,102.17,?,260.00
15,10638.06,47086.54,47346.41,2817.16,579268.80,38268.80,153.34,260.00,268.80
16,10673.05,47521.39,47794.60,2825.40,751269.90,30269.90,202.01,268.80,269.90
17,10767.29,47661.37,47936.81,2848.09,604275.00,27275.00,163.38,269.90,275.00
18,10903.93,47813.69,48104.67,2864.72,266278.00,28278.00,73.45,275.00,278.00
19,?,?,?,?,?,?,?,278.00,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,701305.90,43305.90,202.28,?,305.90
22,11073.63,47872.80,48127.89,2892.80,1017347.80,100347.80,329.43,305.90,347.80
23,11071.80,47733.24,47999.21,2890.57,10962330.00,132330.00,3810.85,347.80,330.00
24,11108.21,47942.04,48203.43,2898.85,225331.00,31331.00,74.91,330.00,331.00
25,11174.05,47613.95,47851.99,2897.93,321313.00,52313.00,100.85,331.00,313.00
26,?,?,?,?,?,?,?,313.00,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,898300.00,63300.00,269.42,?,300.00
29,11165.66,47328.40,47565.10,2878.58,210305.00,18305.00,63.46,300.00,305.00
30,11183.61,46917.19,47113.08,2876.68,341302.00,23302.00,103.90,305.00,302.00
31,11245.80,46840.15,47011.43,2880.57,163300.00,16300.00,48.80,302.00,300.00
32,11241.00,46945.58,47121.08,2883.81,81300.00,13300.00,24.33,300.00,300.00
33,?,?,?,?,?,?,?,300.00,?
34,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,2856.17,172302.00,27302.00,52.02,?,302.00
36,11060.84,46674.78,46862.43,2843.49,42295.00,13295.00,12.50,302.00,295.00
37,10953.57,46149.14,46341.54,2811.05,87294.00,7294.00,25.61,295.00,294.00
38,10950.03,46329.66,46512.72,2815.91,105294.00,8294.00,30.94,294.00,294.00
39,10986.53,46741.54,46931.40,2825.70,99299.00,15299.00,29.44,294.00,299.00
40,?,?,?,?,?,?,?,299.00,?
41,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,46988.04,2826.84,619299.00,40299.00,185.64,?,299.00
43,10981.98,46399.26,46564.61,2821.25,584300.40,11300.40,175.40,299.00,300.40
44,11022.58,46406.74,46569.81,2825.02,239302.00,13302.00,72.41,300.40,302.00
45,11017.48,46211.54,46360.51,2825.15,228305.00,14305.00,69.47,302.00,305.00
46,11071.18,46370.13,46523.63,2838.22,397305.00,10305.00,119.96,305.00,305.00
47,?,?,?,?,?,?,?,305.00,?
48,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,46665.39,2848.48,79304.90,11304.90,24.16,?,304.90
50,11119.72,46490.89,46652.19,2843.90,75306.00,17306.00,22.78,304.90,306.00
51,11014.53,46051.76,46198.42,2831.71,332312.00,22312.00,102.70,306.00,312.00
52,10948.88,45879.90,46050.52,2801.83,263309.90,32309.90,79.54,312.00,309.90
53,10985.79,45948.12,46124.82,2817.57,83312.00,22312.00,26.12,309.90,312.00
54,?,?,?,?,?,?,?,312.00,?
55,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,46487.05,2840.57,210315.00,21315.00,66.40,?,315.00
57,10972.28,45868.35,46065.85,2831.16,288320.00,32320.00,91.54,315.00,320.00
58,11039.20,46241.92,46459.99,2855.69,209330.00,26330.00,67.42,320.00,330.00
59,11052.03,46280.36,46510.83,2865.27,695334.00,36334.00,230.42,330.00,334.00
60,11010.83,46341.14,46622.90,2859.05,197330.00,22330.00,64.71,334.00,330.00
61,?,?,?,?,?,?,?,330.00,?
62,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,46454.13,2860.68,216320.00,32320.00,70.59,?,320.00
64,10997.33,46676.09,47001.38,2868.06,140327.50,10327.50,44.81,320.00,327.50
65,11042.47,46762.65,47090.49,2872.90,180329.50,18329.50,58.64,327.50,329.50
66,11042.08,46745.26,47060.66,2873.49,173327.10,16327.10,56.01,329.50,327.10
67,11119.06,47074.39,47436.21,2906.74,50328.00,6328.00,16.37,327.10,328.00
68,?,?,?,?,?,?,?,328.00,?
69,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,47269.75,2914.24,680339.00,65339.00,230.23,?,339.00
71,11150.86,47010.40,47340.43,2911.38,347339.40,25339.40,115.58,339.00,339.40
72,11194.08,46888.37,47235.72,2901.67,1431343.00,28343.00,486.10,339.40,343.00
73,11231.22,47223.68,47606.16,2912.13,209339.90,20339.90,71.01,343.00,339.90
74,11228.39,47125.93,47522.10,2909.77,63333.00,6333.00,20.98,339.90,333.00
75,?,?,?,?,?,?,?,333.00,?
76,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,47094.18,2900.59,7340.00,3340.00,2.34,?,340.00
78,11135.62,46029.35,46473.62,2868.24,92340.00,20340.00,31.34,340.00,340.00
79,11168.63,46068.24,46511.62,2874.75,63339.00,20339.00,21.10,340.00,339.00
80,11069.03,45580.47,46017.88,2833.61,238337.60,30337.60,80.19,339.00,337.60
81,10908.77,45066.18,45473.08,2800.67,434339.00,25339.00,147.46,337.60,339.00
82,?,?,?,?,?,?,?,339.00,?
83,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,44946.32,2780.21,181336.80,26336.80,60.52,?,336.80
85,10815.43,44724.88,45119.16,2774.13,264326.00,45326.00,84.48,336.80,326.00
86,10867.86,45247.90,45644.09,2785.46,1381326.50,33326.50,443.64,326.00,326.50
87,10938.55,45147.57,45528.85,2797.31,3746321.20,133321.20,1208.96,326.50,321.20
88,?,?,?,?,?,?,?,321.20,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,45679.51,2814.33,143332.40,16332.40,47.17,?,332.40
93,10809.87,44604.61,44940.36,2769.02,257321.00,24321.00,84.40,332.40,321.00
94,10817.23,44623.89,44980.62,2766.19,120322.00,14322.00,38.53,321.00,322.00
95,10803.99,44597.66,44960.02,2760.91,188320.60,12320.60,59.83,322.00,320.60
96,?,?,?,?,?,?,?,320.60,?
97,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,44963.96,2764.28,402321.00,14321.00,129.00,?,321.00
99,10820.89,44725.03,45096.35,2767.26,39324.00,5324.00,12.49,321.00,324.00
100,10845.27,45091.63,45495.34,2780.21,491321.50,17321.50,155.68,324.00,321.50
101,10908.65,45688.48,46131.66,2794.43,375320.00,14320.00,119.82,321.50,320.00
102,10807.45,45525.92,45960.10,2783.53,436320.00,14320.00,139.11,320.00,320.00
103,?,?,?,?,?,?,?,320.00,?
104,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,45167.65,2754.91,1323.30,1323.30,0.32,?,323.30
